edition_id,event_id,edition_label,edition_url,start_date,end_date,date_status,city,country,mode,language,cfp_url,guidelines_url,cfp_status,eligibility,formats_and_durations,submission_requirements,compensation,travel_support,speaker_costs,recording_rights,accessibility,attendance_value,attendance_year,verified_at,source_ids,unknowns
ed-ucf-tlai-2027,evt-ucf-tlai,Teaching and Learning with AI 2027,https://aiforall.ucf.edu/teachwithai/,2027-06-01,2027-06-03,exact,Orlando,USA,in-person,English,https://aiforall.ucf.edu/teachwithai/,https://aiforall.ucf.edu/teachwithai/,announced-not-open,"Higher-education professionals, researchers, and policymakers; detailed 2027 eligibility forthcoming","30-minute concurrent slots visible in agenda-at-a-glance; other formats forthcoming","Guidelines not yet posted",unknown,unknown,"All presenters must register; presenter price TBA",unknown,unknown,"International higher-education AI-specialist audience; fifth annual edition",2027,2026-09-04T23:00:00-06:00,ev-019;ev-020;ev-071;ev-072,"Submission schema, eligibility, presenter price, compensation, travel, rights, accessibility, and Dan's affiliation unknown"
ed-fl-innovation-2027,evt-fl-innovation,Florida Online Innovation Summit 2027,https://digitallearning.ucf.edu/ilab/innovation-summit/,2027-04-27,2027-04-27,exact,Orlando,USA,in-person,English,https://digitallearning.ucf.edu/ilab/innovation-summit/proposals/,https://digitallearning.ucf.edu/ilab/innovation-summit/proposals/,announced-not-open,"Higher-education participants from any region; vendors require a higher-ed co-presenter; students generally excluded","45-minute presentation/panel or 10-15-minute digital poster","50-word abstract, 500-word description, impact and measurement, presenter data, audience, format",unknown,unknown,"Free for Florida public-system participants; USD 175/200 for others; presenters' rate not separately stated",unknown,unknown,"Regional higher-education digital-learning audience; public program archive since 2020",2026,2026-09-04T23:00:00-06:00,ev-021;ev-022;ev-073;ev-074,"Dan's vendor/institutional status, travel, compensation, rights, accessibility, and presenter discount unknown"
ed-osu-ldd-2027,evt-osu-learning-design,Ohio State Learning Design Day 2027,https://cete.osu.edu/ohio-state-learning-design-day-call-for-proposals/,2027-05-13,2027-05-13,exact,Columbus,USA,in-person,English,https://cete.osu.edu/ohio-state-learning-design-day-call-for-proposals/,https://cete.osu.edu/ohio-state-learning-design-day-call-for-proposals/,open,"Public page invites proposals but repeatedly frames the event as learning design at OSU; external-presenter eligibility is not explicit","45-50-minute presentation, workshop, or demonstration","Abstract max 500 words; 50-word description; 1-3 objectives; max two facilitators; accessibility integrated into materials",unknown,unknown,unknown,unknown,"Presenters must ensure accessible materials","Inaugural local symposium; at least eight breakouts planned",2027,2026-09-04T23:00:00-06:00,ev-023,"External eligibility, registration, compensation, travel, rights, and attendance unknown"
ed-ala-2027,evt-ala-annual,ALA Annual Conference 2027,https://www.ala.org/conferencesevents/,2027-06-24,2027-06-28,exact,"New Orleans",USA,in-person,English,https://www.ala.org/conferencesevents/ala-annual-2027-call-proposals,https://www.ala.org/conferencesevents/ala-annual-2027-call-proposals,open,"Education program and poster calls are open; library relevance must be made explicit","Education program or poster; duration in submission guide not reviewed","Separate proposal systems; learning objectives and rubric supplied",unknown,none,"Presenters pay travel, lodging, and registration; exclusive presenter discount",unknown,"Conference conduct policy; possible recording consent","Large national library audience",2027,2026-09-04T23:00:00-06:00,ev-024,"Weak direct library fit unless pitched for librarians/faculty partners; rates, rights, accessibility, and Dan's library experience unknown"
ed-learner-2027,evt-learner-conference,Thirty-Fourth International Conference on Learning,https://thelearner.com/2027-conference,2027-07-07,2027-07-09,exact,Thessaloniki,Greece,hybrid,English,https://thelearner.com/2027-conference/call-for-papers,https://thelearner.com/2027-conference/call-for-papers,open,"Educators, researchers, policymakers, and practitioners; publication-oriented review","Presentation formats not fully captured in this run","Proposal plus optional publication path; exact requirements not captured",unknown,unknown,unknown,unknown,unknown,"International multidisciplinary learning-research network",2027,2026-09-04T23:00:00-06:00,ev-025,"Deadline, fees, speaker economics, rights, accessibility, and research-evidence expectations need direct guideline review"
ed-icaied-2027,evt-icaied,ICAIED 2027,https://www.icaied.org/,2027-03-19,2027-03-21,exact,London,UK,hybrid,English,https://www.icaied.org/call-for-papers,https://www.icaied.org/call-for-papers,open,"Researchers, educators, doctoral candidates, and practitioners","Abstract presentation; exact duration not captured","200-250-word abstract and 3-5 keywords; double-blind review; optional full paper afterward",unknown,unknown,unknown,unknown,unknown,"New event; no verified attendance or archive",2027,2026-09-04T23:00:00-06:00,ev-026,"First-edition organizer reputation, committee verification, fees, rights, economics, accessibility, and whether a non-study talk will pass review unknown"
ed-hec-2027,evt-hec-honolulu,Honolulu Education Conference 2027,https://intesda.org/education-conference/,2027-03-10,2027-03-12,exact,Honolulu,USA,hybrid,English,https://intesda.org/education-conference/,https://intesda.org/education-conference/,open,"Education proposals across AI, testing, higher education, and EdTech","Oral, poster, or online virtual presentation","Proposal up to 300 words",unknown,unknown,unknown,unknown,unknown,"International academic conference; reach unverified",2027,2026-09-04T23:00:00-06:00,ev-027,"Organizer credibility, exact format duration, final deadline beyond advance round, fees, rights, accessibility, and economics require review"
ed-elearning-africa-2027,evt-elearning-africa,eLearning Africa 2027,https://www.elearning-africa.com/conference2027/,2027-05-26,2027-05-28,exact,Lome,Togo,in-person,"English; French",https://proposals.elearning-africa.com/,https://proposals.elearning-africa.com/,unknown,"Preference for African experts and practitioners; commercial proposals routed to paid partnerships","Multiple interactive session types; detailed 2027 format list not captured","Synopsis max 300 words, audience, outcomes, materials, experience, bio, headshot, organization details","Not stated",none,"Accepted speakers must fund flight, accommodation, and registration; regular fee EUR 790 early / EUR 890 standard",unknown,unknown,"Official history: 24,000 participants from 100+ countries over 20 years; 80%+ from Africa",2027,2026-09-04T23:00:00-06:00,ev-028;ev-029;ev-075;ev-076,"2027 topic pages link to a form that still says 2026 deadline passed; status and deadline conflict; Dan's Africa connection and budget unknown"
ed-herdsa-2027,evt-herdsa,HERDSA 2027,https://conference.herdsa.org.au/2027/,2027-07-05,2027-07-08,exact,Canberra,Australia,hybrid,English,https://conference.herdsa.org.au/2027/,https://conference.herdsa.org.au/2027/,announced-not-open,"Higher-education educators, researchers, developers, designers, leaders, students, and stakeholders","Workshops, scholarly presentations, interactive sessions; dedicated virtual day July 6","2027 call not yet posted; historical 2026 cycle suggests research/practice submissions",unknown,"Student and early-career grants up to AUD 1,500 for eligible applicants",unknown,unknown,unknown,"Established Australasian higher-education teaching-and-learning association",2027,2026-09-04T23:00:00-06:00,ev-030;ev-031,"Official page shows stale 2022/2023 important dates; do not use them. 2027 CFP dates, fees, rights, economics, and eligibility unknown"
ed-educause-2027,evt-educause-annual,EDUCAUSE 2027 Annual Conference,https://events.educause.edu/annual-conference,2027-10-18,2027-10-21,exact,Orlando,USA,hybrid,English,https://events.educause.edu/annual-conference/call-for-proposals,https://events.educause.edu/annual-conference/call-for-proposals,no-current-cfp,"Historically open to practitioners; corporate educational CFPs require a higher-ed institutional co-presenter when product/company-specific","Historical formats include presentations, workshops, posters, meetups, panels, and online delivery","2027 submission rules not announced",unknown,unknown,"Historical 2026 presenters pay registration/travel/lodging except workshop benefits; not confirmed for 2027",unknown,unknown,"Officially projected around 10,000 participants for future annual conferences",2027,2026-09-04T23:00:00-06:00,ev-032;ev-033;ev-077;ev-078,"2027 CFP dates/rules/economics not announced; Orlando is in horizon, 2028 is outside horizon; Dan's affiliation unknown"
ed-nercomp-2027,evt-nercomp,NERCOMP Annual Conference 2027,https://events.educause.edu/nercomp-annual-conference/2027,2027-03-08,2027-03-10,exact,Providence,USA,in-person,English,https://events.educause.edu/nercomp-annual-conference/2027,https://events.educause.edu/nercomp-annual-conference/2027,no-current-cfp,"Higher-education IT/library/faculty community; historical submission requires EDUCAUSE profile","Historical formats include presentation, discussion, poster, and workshop; 2027 details absent","2027 proposal requirements not posted",unknown,unknown,"Historical 2026: one presenter per presentation received registration; others paid registration/travel/lodging",unknown,unknown,"Regional Northeast higher-ed community",2027,2026-09-04T23:00:00-06:00,ev-034;ev-035,"2027 CFP dates, terms, formats, economics, rights, accessibility, and Dan's regional/affiliation fit unknown"
ed-tpc-2027,evt-teaching-professor,Teaching Professor Conference 2027,https://www.magnapubs.com/teaching-professor-conference-2027/,2027-06-11,2027-06-13,exact,Atlanta,USA,in-person,English,https://www.magnapubs.com/teaching-professor-conference/call-for-proposals/,https://www.magnapubs.com/teaching-professor-conference/call-for-proposals,no-current-cfp,"Higher-education teaching practitioners; historical call open to peers with practical evidence-based ideas","Historical 2026 formats: 20- and 60-minute concurrent sessions and posters","2027 CFP not posted; historical proposal required learning outcomes and practical fit",unknown,none,"Historical 2026 presenters paid registration, lodging, travel, and handout costs; 2027 attendee registration starts USD 899",unknown,unknown,"24th annual practical college-teaching conference",2027,2026-09-04T23:00:00-06:00,ev-036;ev-037,"2027 CFP dates and speaker rate unknown; no current route verified"
ed-atd-2027,evt-atd-ice,ATD27,https://atdconference.td.org/,2027-05-16,2027-05-19,exact,Boston,USA,in-person,English,https://www.td.org/international-conference-and-expo-speaking-opportunities,https://www.td.org/atd-international-conference-and-expo-proposal-selection-criteria,closed,"Talent-development professionals; previous ATD speaking experience may be considered","Conference education session; precise durations not captured","Maximum two proposals per individual/company; practical strategies and real-world experience","Unpaid",none,"One complimentary full-conference registration per speaker; speaker pays travel and living expenses",unknown,"Accessibility requests supported by stated deadline","Large global L&D audience; organizer calls it world's largest L&D conference",2027,2026-09-04T23:00:00-06:00,ev-038;ev-039,"Recording rights and Dan's workplace-L&D credibility unknown; deadline passed"
ed-sxswedu-2027,evt-sxsw-edu,SXSW EDU 2027,https://sxswedu.com/,2027-03-13,2027-03-16,exact,Austin,USA,in-person,English,https://sxswedu.com/panelpicker/,https://sxswedu.com/panelpicker/,closed,"Education professionals worldwide; session proposals require presenter bios/organizations and consent","Multiple formats including solo workshops and panels; format limits in PanelPicker","One proposal per account; short description, three takeaways, track/focus, supporting video/visual, speaker details",unknown,unknown,"Badge/travel obligations not established for accepted speakers in reviewed sources",unknown,"Proposal video captions encouraged","Organizer reports 11,000+ attendees, 300+ sessions, 63 industries",2027,2026-09-04T23:00:00-06:00,ev-040;ev-041;ev-079;ev-080,"Accepted-speaker economics, rights, accessibility, notification timing, and Dan's bio/organization unknown; proposal and voting windows closed"
ed-asugsv-2027,evt-asugsv,ASU+GSV Summit 2027,https://asugsvsummit.com/,2027-04-04,2027-04-07,exact,San Diego,USA,in-person,English,https://asugsvsummit.com/faq,https://asugsvsummit.com/faq,invitation-only,"No public general speaker CFP found; program participation contact is public; startup GSV Cup has separate pre-Series-A eligibility","Curated stages, panels, roundtables, and startup demos; general speaker formats not public","No general proposal route verified",unknown,unknown,unknown,unknown,unknown,"Official site reports 7,000 delegates, 700+ speakers, 65 countries",2027,2026-09-04T23:00:00-06:00,ev-042;ev-043,"Not actionable as an open CFP; Dan's invitation credentials, economics, rights, and travel preferences unknown"
ed-altc-2027,evt-altc,ALT Annual Conference 2027,https://www.alt.ac.uk/events,,,,,,unknown,English,https://www.alt.ac.uk/events,https://www.alt.ac.uk/events,no-current-edition-confirmed,"ALT community spans learning-technology practice and research; 2027 rules not available","2026 formats included 60-minute interactive/panel, 20-minute showcase/presentation, 10-minute poster, 5-minute lightning, and radio","2027 requirements unknown",unknown,unknown,unknown,unknown,unknown,"UK and international learning-technology association",,2026-09-04T23:00:00-06:00,ev-044;ev-045,"No current 2027 edition or CFP confirmed; year-round workshop/webinar suggestions are accepted by contact but are not a formal open CFP"
ed-oeb-2026,evt-oeb,OEB 2026,https://iframe.oeb.global/conference,,,,Berlin,Germany,in-person,English,https://iframe.oeb.global/conference/callforproposals,https://iframe.oeb.global/conference/callforproposals,closed,"Education, workplace training, government, policy, and learning-technology contributors","Active-participation formats including discussions and workshops; exact durations not captured","Practice/research/strategy proposals; non-promotional contribution expected",unknown,unknown,unknown,unknown,unknown,"International cross-sector digital-learning reach",2026,2026-09-04T23:00:00-06:00,ev-046;ev-047,"Event dates, submission deadline, economics, rights, accessibility, and detailed format not captured; CFP closed"
ed-pod-2026,evt-pod,POD Network 2026 Annual Conference,https://podnetwork.org/annual-conference/baltimore-2026-draft/call-for-proposals/,2026-11-18,2026-11-20,exact,Baltimore,USA,in-person,English,https://podnetwork.org/annual-conference/baltimore-2026-draft/call-for-proposals/,https://podnetwork.org/content/uploads/POD26-Call-for-Proposals-Updated_4.2026.pdf,closed,"Educational-development professionals; detailed membership rules in PDF not fully extracted","Multiple conference formats; exact durations not captured","Evidence-based actionable educational-development proposal",unknown,unknown,unknown,unknown,unknown,"Established specialist faculty-development network",2026,2026-09-04T23:00:00-06:00,ev-048;ev-049,"CFP closed; speaker economics, rights, accessibility, and Dan's educational-developer affiliation unknown"
ed-training-2027,evt-training-conf,Training 2027 Conference and Expo,https://www.trainingconference.com/2027/,2027-02-22,2027-02-24,exact,Orlando,USA,in-person,English,https://www.trainingconference.com/2027/faqs.cfm,https://www.trainingconference.com/2027/faqs.cfm,closed,"Workplace learning/training practitioner relevance expected","Breakouts, micro-sessions, labs, hands-on clinics; exact presenter durations not captured","2027 call closed mid-June 2026",unknown,unknown,unknown,"Sessions are not recorded; attendee image may be used in promotional media",unknown,"Organizer reports 2,000+ attendees and 150+ speakers for 2026",2026,2026-09-04T23:00:00-06:00,ev-050;ev-051,"Speaker benefits, travel, registration cost, submission requirements, and Dan's workplace-L&D record unknown; CFP closed"
ed-devlearn-2026,evt-devlearn,DevLearn 2026,https://www.learningguild.com/devlearn,2026-11-04,2026-11-06,exact,"Las Vegas",USA,in-person,English,https://www.learningguild.com/call-for-speakers,https://www.learningguild.com/call-for-speakers,closed,"Workplace learning and technology practitioners","Hundreds of sessions and hands-on experiences; exact CFP formats not captured","Educational/non-promotional proposal; 2026 call closed",unknown,unknown,"Historical Guild terms often provide one primary-speaker registration; 2026 terms not confirmed",unknown,unknown,"Thousands of learning professionals; large workplace-learning technology event",2026,2026-09-04T23:00:00-06:00,ev-052;ev-053,"2026 economics, rights, accessibility, and dates for next CFP unknown; 2026 call closed"
ed-bettasia-2027,evt-bett-asia,Bett Asia 2027 reserve/forward call,https://asia.bettshow.com/page-en/call-for-papers,,,,,,unknown,English,https://asia.bettshow.com/page-en/call-for-papers,https://asia.bettshow.com/page-en/call-for-papers,rolling,"Educator, practitioner, policymaker, researcher, or non-commercial expert; editorial non-promotional content","Sessions, workshops, panels, and practical demonstrations","Form requests profile and proposal information; exact limits not fully captured",unknown,unknown,unknown,unknown,unknown,"Regional education leadership and EdTech audience",,2026-09-04T23:00:00-06:00,ev-054,"No 2027 edition date, deadline, location, economics, rights, or accessibility confirmed; form says reserve list or 2027"
ed-stlhe-2027,evt-stlhe,STLHE 2027,https://stlhe.ca/conferences/,,,,,Canada,unknown,"English; French; Indigenous languages",https://stlhe.ca/conferences/,https://stlhe.ca/conferences/2026-stlhe-conference/call-for-proposals/,no-current-edition-confirmed,"Historical 2026 call welcomed anyone presenting on higher-education teaching and learning; membership not required","Historical formats include interactive workshop, oral, poster, preconference workshop, and roundtable","2027 requirements unknown",unknown,unknown,"Historical registration required; 2027 costs unknown",unknown,"Association publishes accessibility and inclusion statement","Canadian multidisciplinary higher-ed teaching-and-learning audience; 2025 sponsor material cites 600 participants",2025,2026-09-04T23:00:00-06:00,ev-055;ev-056,"No 2027 dates/CFP confirmed; do not reuse 2026 deadline; travel, rights, economics unknown"
