composite_rank,composite_score,source_type,opportunity_name,edition_or_route,location,mode,event_start_date,cfp_status,deadline_date,primary_talk_id,primary_talk,backup_talk_id,topic_fit,known_points,evidence_coverage_percent,effective_fit_score,fit_penalty,location_preference,location_basis,application_ease,ease_basis,popularity_score,popularity_basis,timing_score,timing_basis,application_route,next_action,constraints_unknowns,source_url
11,1.745,community/meetup,Boston AI Developers Group / AI Camp,Preferred US cities,"Boston; in person, with some networked online events",remote/online,2026-09-29,public form/contact route,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"Adaptive, Retrieval, Benchmarks, Parallelization, Failure, and Product",82,80,65.6,2.38,1,Remote or online participation is available.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,5,"Public organizer/platform signal of at least 6,265 members, registrations, attendees, or reach.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,The organizer-managed page explicitly invites prospective speakers to reach out; use Message organizers or the linked AI Camp site. Meetup,Review the public route and decide whether to prepare the indicated talk or demo format.,"No general proposal form, talk length, compensation, travel support, or selection schedule is published.",https://www.meetup.com/aittg-boston/
12,1.745,community/meetup,NYC AI Developers Group / AI Camp,Preferred US cities,New York City; primarily in person,in-person,2026-09-17,public form/contact route,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"Adaptive, Retrieval, Benchmarks, Parallelization, Failure, Free tier, and Product",82,80,65.6,2.38,1,Exact preferred city.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,5,"Public organizer/platform signal of at least 12,221 members, registrations, attendees, or reach.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,"Current listings include a Submit Topics route, and the group page invites speakers to reach out. Meetup",Review the public route and decide whether to prepare the indicated talk or demo format.,"Proposal review cadence, format, travel, compensation, and whether the visible form is event-specific.",https://www.meetup.com/aittg-nyc/
13,1.745,community/meetup,Orlando Developers,Preferred US cities,Orlando; in person,in-person,,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product, Failure, Adaptive, Retrieval, Benchmarks, Parallelization, Judgment, and Free tier",82,80,65.6,2.38,1,Exact preferred city.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,5,"Public organizer/platform signal of at least 8,545 members, registrations, attendees, or reach.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,No standing speaker form was found. Use the public organizer-message route on Meetup or the official Discord; the group runs technical talks and learning sessions. Meetup · community site,Review the public route and decide whether to prepare the indicated talk or demo format.,"Next technical-program date, submission expectations, duration, and whether the organizer prioritizes local speakers.",https://www.meetup.com/orlandodevs/
14,1.78,community/meetup,Artificial Intelligencers,Preferred US cities,Nashville/Brentwood; recurring in person,in-person,2026-09-24,public form/contact route,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"All ten, especially Adaptive, Retrieval, Benchmarks, Failure, and Education with a concrete experiment",90,80,72.0,2.12,1,Exact preferred city.,1,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,3,Public organizer/platform signal of at least 527.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Message the organizers on Meetup or use the public Discord. They maintain a list of people who want to share; presentations and demos run fifteen to twenty minutes. Meetup,Review the public route and decide whether to prepare the indicated talk or demo format.,"September agenda availability, travel support, recording, and whether a slide talk needs a live demonstration.",https://www.meetup.com/nashville-ai-engineering/
15,1.82,conference/event,Data Summit,Data Summit 2027,"Boston, United States",in-person,2027-05-11,open,2026-12-11,parallelization,Rethinking Parallelization in the Agentic Era,failure-improvement,"Agentic AI and operational-data tracks are relevant, although the audience is broader than agent orchestration.",81.0,90.0,72.9,2.08,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,4,Established recurring conference or community series with visible program history.,3,Confirmed deadline in 97 days.,"Proposal for conference tracks including agentic AI, data engineering and operational AI.",Inspect the technical track requirements and submit only if a practitioner architecture slot fits by December 11.,"Format, economics and specific past-session evidence remain incomplete. | Format, economics, rights, accessibility, attendance and eligibility details unknown.",https://www.dbta.com/DataSummit/2027/CallForSpeakers.aspx
16,1.83,community/meetup,AI & Product Colorado,Denver/Colorado,"Boulder and Denver; monthly, in person",in-person,2026-09-14,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product is the direct hit; Judgment, Benchmarks, Adaptive, and Failure also fit product decision-making",90,80,72.0,2.12,1,Exact preferred city.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,4,"Public organizer/platform signal of at least 1,842.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Message organizers on the Meetup page. No general speaker form found.,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://www.meetup.com/meetup-group-ai-and-product/
17,1.83,community/meetup,OLLI at the University of Denver,Denver/Colorado,Six Denver-metro sites and Zoom; adult lifelong learning,in-person,2026-09-16,public form/contact route,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"Education and Judgment are strongest; Product, Free tier, and broad AI literacy can work as multi-session courses",90,80,72.0,2.12,1,Remote or online participation is available.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,4,"Public organizer/platform signal of at least 2,000.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Submit a course proposal through the Facilitator Portal; the office provides guidance and proposal deadlines. Facilitator FAQ and contact,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://olli.du.edu/olli/about/
18,1.833,conference/event,Lilly Conference Austin,Lilly Austin 2027,"Austin, United States",in-person,2027-05-17,open-rolling,2026-11-15,evidence-learning,"Outsmart Your Lying, Cheating Students",skeptic-education,"The edition is explicitly about AI and evidence-based teaching, with exact AI, assessment, and course-redesign tracks.",92.0,78.0,71.8,2.13,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,4,Established recurring conference or community series with visible program history.,3,Confirmed deadline in 71 days.,10-word title; 25-word key statement; 100-word abstract; three outcomes; two tracks; 3-5 references,"Prepare the compact 100-word abstract, three outcomes, and research references; submit before the November 15 early-decision date.","FINALIST; rolling call may close before January 15; requires 3-5 literature references; travel/economics unknown | CFP can close early; registration costs, compensation, travel, rights, and specific past-session evidence unknown. | Deadline absent from reviewed page; CFP form URL, durations, economics, rights, accessibility, and Dan's affiliation unknown | MERGE CONFLICTS/VARIANTS — edition_url: https://www.lillyconferences-tx.com/proposals | https://www.lillyconferences.com/; country: United States | USA; cfp_url: https://www.lillyconferences-tx.com/proposals | https://www.lillyconferences.com/; guidelines_url: https://www.lillyconferences-tx.com/proposals | https://www.lillyconferences.com/; cfp_status: open-rolling | open; eligibility: Higher-education teaching-and-learning contributors; exact presenter credential rules not found | Higher-education teaching community; affiliation requested but restriction not stated; formats_and_durations: Exact 2027 session formats/durations not found in accessible page | 20- or 40-minute presentation; roundtable; digital poster; submission_requirements: 10-word title; 25-word key statement; 100-word abstract; three outcomes; two tracks; 3-5 references | Blind peer review; expected scholarly/evidence-based teaching contribution; accessibility: ADA accommodations requested in writing before registration and at least three months before event | unknown; attendance_value: Series reports 125+ colleges/universities and 30+ states per conference | AI and the Future of Evidence-Based Teaching in Higher Education; attendance_year: 2026 | 2027; verified_at: 2026-09-04T12:00:00-06:00 | 2026-09-04T23:00:00-06:00",https://www.lillyconferences-tx.com/proposals
19,1.845,community/meetup,Denver AI and Machine Learning Group,Denver/Colorado,Westminster/Denver; in person with study sessions,in-person,2026-09-13,public form/contact route,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"Any technical talk; especially Adaptive, Retrieval, Benchmarks, Parallelization, and Failure",82,80,65.6,2.38,1,Exact preferred city.,1,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,3,Public organizer/platform signal of at least 674.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,The event explicitly says to message an organizer for a lightning or future extended talk. Meetup,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://www.meetup.com/denverml/
20,1.895,community/meetup,AI LA,Preferred US cities,"Los Angeles; third-Thursday monthly format, in person",in-person,,public form/contact route,,skeptic-education,A Skeptic's Guide to Surviving AI in Education,,"Education, Judgment, Product, Adaptive, Free tier, and Failure",82,80,65.6,2.38,1,Exact preferred city.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,4,"Public organizer/platform signal of at least 2,917.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,The organizer-managed page explicitly asks people to get in touch to showcase a project; use its mailing-list/contact route or Message organizers. Meetup,Review the public route and decide whether to prepare the indicated talk or demo format.,"Recent visible events are sparse, and no public talk form, duration, or current agenda is published. Verify that monthly stage programming is active.",https://www.meetup.com/ai-la-meetup/
21,1.895,community/meetup,Denver AI Developers Group / AI Camp,Denver/Colorado,Denver and online,remote/online,2026-09-22,public form/contact route,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"Adaptive, Retrieval, Benchmarks, Parallelization, Failure, and Product",82,80,65.6,2.38,1,Remote or online participation is available.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,4,"Public organizer/platform signal of at least 1,763.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Page says prospective speakers should reach out; use Message organizers or the linked AI Camp site. Meetup,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://www.aicamp.ai/
22,1.895,community/meetup,Denver AI Group,Denver/Colorado,"University of Denver; monthly, in person",in-person,2026-09-23,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product, Benchmarks, Adaptive, Retrieval, and Judgment; reframe for mixed operators, founders, and technologists",82,80,65.6,2.38,1,Exact preferred city.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,4,"Public organizer/platform signal of at least 2,469.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Message organizers on the Meetup group page. No formal speaker form found.,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://www.meetup.com/denverai/
23,1.9,conference/event,UPCEA Digital Teaching & Learning Conference,2027 UPCEA Digital Teaching & Learning Conference,virtual,virtual,2027-02-03,open,2026-09-30,skeptic-education,A Skeptic's Guide to Surviving AI in Education,evidence-learning,"Exact audience includes instructional designers, faculty developers, faculty, and digital-learning leaders; CFP explicitly welcomes responsible AI, authentic assessment, evaluation, and controversial dialogue",95.0,100.0,95.0,1.2,1,Remote or online participation is available.,4,"Requires recordings, membership/co-presenter status, real evidence, a demo, or substantial extra material.",4,Established recurring conference or community series with visible program history.,2,Confirmed deadline in 25 days.,All speakers named; complete contact details; outcomes; engagement plan; level; evidence or reflective practice,"Verify membership/affiliation immediately; if eligible, adapt 150-word abstract to 50-minute concurrent format before 2026-09-30","Hard barrier unless Dan is a current UPCEA member; corporate members need institutional co-presenter; registration required | Dan's UPCEA membership/affiliation and eligible co-presenter status are unknown; exact deadline time and registration price are not stated. | Dan's UPCEA membership, institutional affiliation, and professional-experience evidence are unknown; nonmember price and recording license not stated | MERGE CONFLICTS/VARIANTS — edition_label: 2027 UPCEA Digital Teaching & Learning Conference | DT&L 2027; eligibility: Presenter must be a current UPCEA institutional or corporate member; corporate members require an institutional-member co-presenter; significant online-learning experience expected | Presenters must be current UPCEA institutional or corporate members; corporate members need an institutional-member co-presenter; formats_and_durations: 50-minute concurrent; 60-minute workshop; 10-minute lightning; 3-5-minute asynchronous poster | 10-minute lightning; 50-minute concurrent; 60-minute workshop/general; submission_requirements: All speakers named; complete contact details; outcomes; engagement plan; level; evidence or reflective practice | All speakers named; learning goals; engagement plan; level; evaluation data or established models valued; compensation: Not stated | unknown; travel_support: Not applicable for virtual delivery | none; speaker_costs: Presenters responsible for registration and other expenses; free for institutional members; limited scholarships for eligible nonmembers | Presenter pays registration and related expenses; recording_rights: Organizers may edit title/description; digital materials collected | unknown; attendance_value: Instructional designers, faculty, researchers, and digital-learning leaders | Long-running predecessor conference; recordings of most 2026 sessions; verified_at: 2026-09-04T12:00:00-06:00 | 2026-09-04T23:00:00-06:00",https://conferences.upcea.edu/DTL2027/proposals.html
24,1.905,conference/event,STAREAST,STAREAST 2027,"Orlando, United States",hybrid,2027-04-25,open,2026-09-06,benchmarks,Stop Looking at My Benchmarks,,"Official submission topics include AI/ML for testing, performance monitoring, test strategy and metrics; hybrid reach is strong",94.0,90.0,84.6,1.62,1,Exact preferred city.,4,"Requires recordings, membership/co-presenter status, real evidence, a demo, or substantial extra material.",4,Established recurring conference or community series with visible program history.,1,Confirmed deadline in 1 days.,150-200 word single-paragraph description; 75-150 word third-person bio; headshot; topic/job-function selections,Recheck form status immediately and prepare 150-200 word problem/action/takeaway description,"Deadline is two days after run; form requires headshot and marketing consent for access | Speaker economics, recording rights, accessibility, exact format, and deadline time zone unknown",https://stareast.techwell.com/speaker-submission-form-stareast-2027
25,1.92,conference/event,Visual Studio Live!,Visual Studio Live! Austin 2027,"Austin, United States",in-person,2027-05-02,open,2026-10-05,failure-improvement,Automating Improvement From Failure,parallelization,"Tracks explicitly ask for nondeterministic AI testing, evals, reliability, observability and DevOps.",93.0,100.0,93.0,1.28,1,Exact preferred city.,4,"Requires recordings, membership/co-presenter status, real evidence, a demo, or substantial extra material.",4,Established recurring conference or community series with visible program history.,2,Confirmed deadline in 30 days.,"Abstract, learning objectives, bio including previous speaking experience; multiple proposals strongly encouraged.","Verify deadline timezone, pair this 20-minute talk with two credible 75-minute proposals, then submit before October 5.","Operational deadline timezone conflict; usual booking expects multiple 75-minute talks; prior speaking experience requested. | CFP deadline timezone conflict; stipend amount, rights, accessibility and attendance unknown. Talk requires 20-minute compression or 75-minute expansion and companion proposals.",https://sessionize.com/vslive_austin27/
26,1.945,community/meetup,New Tech Seattle,Preferred US cities,"Seattle; monthly in person, plus separate virtual programming",remote/online,2026-09-15,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product, Judgment, Free tier, Failure, Education, and broad versions of the technical talks",82,80,65.6,2.38,1,Remote or online participation is available.,3,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,5,"Public organizer/platform signal of at least 60,000 members, registrations, attendees, or reach.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,The first-party site says community members can present at monthly meetups; use its public community/contact route. About New Tech Northwest,Review the public route and decide whether to prepare the indicated talk or demo format.,"No dedicated presenter form, duration, editorial criteria, or speaker economics were found. Startup/product showcases may be favored over independent talks.",https://www.newtechnorthwest.com/about/
27,1.945,community/meetup,ProductTank San Francisco,Preferred US cities,San Francisco; in person,in-person,,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product, Judgment, Failure, Free tier, Adaptive, and Benchmarks",82,80,65.6,2.38,1,Exact preferred city.,3,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,5,"Public organizer/platform signal of at least 7,075 members, registrations, attendees, or reach.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Join Mind the Product's public speaker directory so local organizers can find the talk; the chapter also exposes organizer messaging. Speaker directory route · chapter,Review the public route and decide whether to prepare the indicated talk or demo format.,"Current local programming cadence, slot length, local selection process, and whether directory entries can name several talks.",https://www.mindtheproduct.com/producttank/
28,1.955,conference/event,KubeCon + CloudNativeCon North America,KubeCon + CloudNativeCon North America 2027,"New Orleans, United States",in-person,2027-11-08,announced-not-open,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"Excellent audience and likely track fit based on Europe 2027, but North America CFP details are not yet published.",74.0,60.0,44.4,3.22,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,5,Established flagship or large organizer-backed event; exact audience count may be an organizer claim or unstated.,3,Open or rolling route without a confirmed actionable deadline.,,"When CFP opens, verify tracks, repeat-talk rule, and whether a materially updated variant is eligible.","Repeat-talk rules may prohibit reuse after Europe; no current CFP details. | Official calendar says CFP details coming soon; all submission and economics details unknown. | CFP dates, tracks, formats, terms, economics, rights, and accessibility not published | MERGE CONFLICTS/VARIANTS — edition_url: https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/ | https://events.linuxfoundation.org/about/calendar/; date_status: confirmed | exact; cfp_url: https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/ | https://events.linuxfoundation.org/about/calendar/; guidelines_url: https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/ | https://events.linuxfoundation.org/about/calendar/; verified_at: 2026-09-04T23:00:00-06:00 | 2026-09-04T23:30:00-06:00",https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/
29,1.97,conference/event,CES,CES 2027,"Las Vegas, United States",in-person,2027-01-06,open,2026-09-09,judgment,Code Is Cheap. Judgment Is Expensive.,product-engineering,Broad technology-leadership audience and open editorial route; strong reach but limited software-engineering concentration.,83.0,100.0,83.0,1.68,1,Exact preferred city.,5,"Hard credential, publication, domain, or firsthand-evidence requirement.",5,Established flagship or large organizer-backed event; exact audience count may be an organizer claim or unstated.,1,Confirmed deadline in 4 days.,Speaker application; independent editorial selection. Sponsored opportunities are separate.,Submit only a tight editorial application by September 9; do not pursue sponsored placement.,"Very short runway; selection favors visible influence; no payment or travel support; format unknown. | Format, recording rights, accessibility, selection timing and Dan's evidence of influence unknown.",https://www.ces.tech/cfs
30,1.995,community/meetup,Colorado AI Builders,Denver/Colorado,Alternates Boulder and Denver about every six weeks; in person,in-person,2026-09-15,public form/contact route,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"Adaptive, Product, Retrieval, Parallelization, Benchmarks, and Free tier as a concrete demo",82,80,65.6,2.38,1,Exact preferred city.,1,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Put a demo description in the event RSVP; organizers state they receive more demo requests than slots. 2026-09-15 Luma event,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://luma.com/albyi559
