talk_id,source_edition_id,consolidated_edition_id,edition_label,source_event_id
adaptive-systems,ed-aoma-2027,ed-evt-aoma-adaptive-organizations-meet-architecture-aoma-2027,AOmA 2027,evt-aoma
retrieval,ed-aoma-2027,ed-evt-aoma-adaptive-organizations-meet-architecture-aoma-2027,AOmA 2027,ev-aoma
judgment,ed-ju-apqc27,ed-evt-apqc-connect-apqc-connect-2027,APQC CONNECT 2027,evt-ju-apqc
product-engineering,ed-pe-apqc27,ed-evt-apqc-connect-apqc-connect-2027,APQC CONNECT 2027,evt-pe-apqc
adaptive-systems,ed-arc-2027,ed-evt-arc-software-architecture-and-engineering-conference-arc-2027,ARC 2027,evt-arc
judgment,ed-ju-arc27,ed-evt-arc-software-architecture-and-engineering-conference-arc-2027,ARC 2027,evt-ju-arc
product-engineering,ed-pe-arc27,ed-evt-arc-software-architecture-and-engineering-conference-arc-2027,ARC 2027,evt-pe-arc
retrieval,ed-arc-2027,ed-evt-arc-software-architecture-and-engineering-conference-arc-2027,ARC 2027,ev-arc
skeptic-education,ed-aste-2027,ed-evt-aste-educational-technology-conference-aste-2027,ASTE 2027,evt-aste
skeptic-education,ed-asugsv-2027,ed-evt-asu-gsv-summit-asu-gsv-summit-2027,ASU+GSV Summit 2027,evt-asugsv
skeptic-education,ed-atd-2027,ed-evt-atd-international-conference-and-expo-atd27,ATD27,evt-atd-ice
judgment,ed-ju-bacon27,ed-evt-bacon-bacon-2027,BACon 2027,evt-ju-bacon
product-engineering,ed-pe-bacon27,ed-evt-bacon-bacon-2027,BACon 2027,evt-pe-bacon
retrieval,ed-berlin-buzzwords-monitor,ed-evt-berlin-buzzwords-berlin-buzzwords-next-cycle,Berlin Buzzwords next cycle,ev-berlin-buzzwords
free-tier,ed-finops-berlin-rolling,ed-evt-berlin-finops-and-cloud-cost-optimization-berlin-finops-rolling-meet,Berlin FinOps rolling meetup route,ev-finops-berlin
skeptic-education,ed-bettasia-2027,ed-evt-bett-asia-bett-asia-2027-reserve-forward-call,Bett Asia 2027 reserve/forward call,evt-bett-asia
skeptic-education,ed-bettuk-2027,ed-evt-bett-uk-bett-uk-2027,Bett UK 2027,evt-bett-uk
judgment,ed-ju-ces27,ed-evt-ces-ces-2027,CES 2027,evt-ju-ces
product-engineering,ed-pe-ces27,ed-evt-ces-ces-2027,CES 2027,evt-pe-ces
evidence-learning,ed-chea-2027,ed-evt-chea-annual-conference-chea-2027-annual-conference,CHEA 2027 Annual Conference,ev-chea
skeptic-education,ed-chea-2027,ed-evt-chea-annual-conference-chea-2027-annual-conference,CHEA 2027 Annual Conference,evt-chea-annual
adaptive-systems,ed-cnai-eu-2027,ed-evt-cloud-native-ai-inference-day-europe-cloud-native-ai-inference-day-e,Cloud Native AI + Inference Day Europe 2027,evt-cnai-eu
retrieval,ed-cnai-day-2027,ed-evt-cloud-native-ai-inference-day-europe-cloud-native-ai-inference-day-e,Cloud Native AI + Inference Day Europe 2027,ev-cnai-day
failure-improvement,ed-fi-cn-mumbai26,ed-evt-cloud-native-mumbai-cloud-native-mumbai-2026-rolling-call,Cloud Native Mumbai 2026 rolling call,evt-fi-cn-mumbai
parallelization,ed-pa-cn-mumbai26,ed-evt-cloud-native-mumbai-cloud-native-mumbai-2026-rolling-call,Cloud Native Mumbai 2026 rolling call,evt-pa-cn-mumbai
free-tier,ed-cloudfest-2027,ed-evt-cloudfest-cloudfest-2027,CloudFest 2027,ev-cloudfest
free-tier,ed-cncf-montreal-monitor,ed-evt-cncf-cloud-native-montr-al-cncf-cloud-native-montr-al-next-cost-focu,CNCF Cloud Native Montréal next cost-focused cycle,ev-cncf-montreal
free-tier,ed-cncf-thane-monitor,ed-evt-cncf-cloud-native-thane-cncf-cloud-native-thane-next-finops-cycle,CNCF Cloud Native Thane next FinOps cycle,ev-cncf-thane
adaptive-systems,ed-conf42-agents-2027,ed-evt-conf42-conf42-ai-agents-2027,Conf42 AI Agents 2027,evt-conf42
benchmarks,ed-conf42-agents-2027,ed-evt-conf42-conf42-ai-agents-2027,Conf42 AI Agents 2027,evt-conf42
adaptive-systems,ed-conf42-llm-2027,ed-evt-conf42-conf42-large-language-models-2027,Conf42 Large Language Models 2027,evt-conf42
benchmarks,ed-conf42-mlops-2027,ed-evt-conf42-conf42-mlops-2027,Conf42 MLOps 2027,evt-conf42
benchmarks,ed-conf42-observability-2027,ed-evt-conf42-conf42-observability-2027,Conf42 Observability 2027,evt-conf42
adaptive-systems,ed-conf42-platform-2027,ed-evt-conf42-conf42-platform-engineering-2027,Conf42 Platform Engineering 2027,evt-conf42
failure-improvement,ed-fi-ctocraft27,ed-evt-cto-craft-con-europe-cto-craft-con-europe-2027,CTO Craft Con Europe 2027,evt-fi-ctocraft
judgment,ed-ju-cto27,ed-evt-cto-craft-con-europe-cto-craft-con-europe-2027,CTO Craft Con Europe 2027,evt-ju-ctocraft
parallelization,ed-pa-ctocraft27,ed-evt-cto-craft-con-europe-cto-craft-con-europe-2027,CTO Craft Con Europe 2027,evt-pa-ctocraft
product-engineering,ed-pe-cto27,ed-evt-cto-craft-con-europe-cto-craft-con-europe-2027,CTO Craft Con Europe 2027,evt-pe-ctocraft
failure-improvement,ed-fi-datasummit27,ed-evt-data-summit-data-summit-2027,Data Summit 2027,evt-fi-data-summit
parallelization,ed-pa-datasummit27,ed-evt-data-summit-data-summit-2027,Data Summit 2027,evt-pa-data-summit
failure-improvement,ed-fi-developerweek27,ed-evt-developerweek-developerweek-2027,DeveloperWeek 2027,evt-fi-developerweek
free-tier,ed-developerweek-2027,ed-evt-developerweek-developerweek-2027,DeveloperWeek 2027,ev-developerweek
parallelization,ed-pa-developerweek27,ed-evt-developerweek-developerweek-2027,DeveloperWeek 2027,evt-pa-developerweek
retrieval,ed-developerweek-2027,ed-evt-developerweek-developerweek-2027,DeveloperWeek 2027,ev-developerweek
skeptic-education,ed-devlearn-2026,ed-evt-devlearn-conference-and-expo-devlearn-2026,DevLearn 2026,evt-devlearn
adaptive-systems,ed-devnexus-2027,ed-evt-devnexus-devnexus-2027,Devnexus 2027,evt-devnexus
failure-improvement,ed-fi-devopspro27,ed-evt-devops-pro-europe-devops-pro-europe-2027,DevOps Pro Europe 2027,evt-fi-devopspro
parallelization,ed-pa-devopspro27,ed-evt-devops-pro-europe-devops-pro-europe-2027,DevOps Pro Europe 2027,evt-pa-devopspro
free-tier,ed-dod-almaty-2026,ed-evt-devopsdays-almaty-devopsdays-almaty-2026,DevOpsDays Almaty 2026,ev-devopsdays-almaty
free-tier,ed-dod-la-2027,ed-evt-devopsdays-los-angeles-devopsdays-los-angeles-2027,DevOpsDays Los Angeles 2027,ev-devopsdays-la
retrieval,ed-dod-la-2027,ed-evt-devopsdays-los-angeles-devopsdays-los-angeles-2027,DevOpsDays Los Angeles 2027,ev-dod-la
free-tier,ed-dod-raleigh-2027,ed-evt-devopsdays-raleigh-devopsdays-raleigh-2027,DevOpsDays Raleigh 2027,ev-devopsdays-raleigh
retrieval,ed-dod-raleigh-2027,ed-evt-devopsdays-raleigh-devopsdays-raleigh-2027,DevOpsDays Raleigh 2027,ev-dod-raleigh
free-tier,ed-dod-telaviv-2026,ed-evt-devopsdays-tel-aviv-devopsdays-tel-aviv-2026,DevOpsDays Tel Aviv 2026,ev-devopsdays-telaviv
adaptive-systems,ed-dorscluc-2026,ed-evt-dors-cluc-dors-cluc-2026,DORS/CLUC 2026,evt-dorscluc
retrieval,ed-dutch-ai-2027,ed-evt-dutch-ai-conference-dutch-ai-conference-2027,Dutch AI Conference 2027,ev-dutch-ai
judgment,ed-ju-dx-sf27,ed-evt-dx-annual-dx-annual-san-francisco-2027,DX Annual San Francisco 2027,evt-ju-dxannual
product-engineering,ed-pe-dx-sf27,ed-evt-dx-annual-dx-annual-san-francisco-2027,DX Annual San Francisco 2027,evt-pe-dxannual
skeptic-education,ed-educause-2027,ed-evt-educause-annual-conference-educause-2027-annual-conference,EDUCAUSE 2027 Annual Conference,evt-educause-annual
evidence-learning,ed-educause-2026,ed-evt-educause-annual-conference-educause-annual-2026,EDUCAUSE Annual 2026,ev-educause
skeptic-education,ed-elearning-africa-2027,ed-evt-elearning-africa-elearning-africa-2027,eLearning Africa 2027,evt-elearning-africa
judgment,ed-ju-elc27,ed-evt-engineering-leaders-conference-prague-elc-prague-2027,ELC Prague 2027,evt-ju-elc
product-engineering,ed-pe-elc27,ed-evt-engineering-leaders-conference-prague-elc-prague-2027,ELC Prague 2027,evt-pe-elc
evidence-learning,ed-enrio-2027,ed-evt-enrio-congress-enrio-congress-2027,ENRIO Congress 2027,ev-enrio
retrieval,ed-eu-chatbot-2027,ed-evt-european-chatbot-and-agentic-ai-summit-european-chatbot-and-agentic-,European Chatbot & Agentic AI Summit 2027,ev-eu-chatbot
evidence-learning,ed-enai-2026,ed-evt-european-conference-on-ethics-and-integrity-in-academia-eceia-2026-b,ECEIA 2026 Batumi,ev-enai
benchmarks,ed-eurostar-2027,ed-evt-eurostar-software-testing-conference-eurostar-2027,EuroSTAR 2027,evt-eurostar
failure-improvement,ed-fi-eurostar27,ed-evt-eurostar-software-testing-conference-eurostar-2027,EuroSTAR 2027,evt-fi-eurostar
parallelization,ed-pa-eurostar27,ed-evt-eurostar-software-testing-conference-eurostar-2027,EuroSTAR 2027,evt-pa-eurostar
adaptive-systems,ed-experts-live-uk-2027,ed-evt-experts-live-uk-experts-live-uk-2027,Experts Live UK 2027,evt-experts-live-uk
benchmarks,ed-expoqa-2027,ed-evt-expo-qa-expo-qa-2027,EXPOQA 2027,evt-expoqa
failure-improvement,ed-fi-expoqa27,ed-evt-expo-qa-expo-qa-2027,expo:QA 2027,evt-fi-expoqa
parallelization,ed-pa-expoqa27,ed-evt-expo-qa-expo-qa-2027,expo:QA 2027,evt-pa-expoqa
free-tier,ed-finops-chicago-rolling,ed-evt-finops-chicago-finops-chicago-rolling-meetup-route,FinOPS Chicago rolling meetup route,ev-finops-chicago
free-tier,ed-finops-connect-rolling,ed-evt-finops-connect-finops-connect-rolling-meetup-route,FinOps Connect rolling meetup route,ev-finops-connect
free-tier,ed-finops-virtual-commercial,ed-evt-finops-foundation-virtual-summit-finops-foundation-virtual-summit-me,FinOps Foundation virtual summit member presentation,ev-finops-virtual
free-tier,ed-finops-paris-rolling,ed-evt-finops-x-greenops-france-finops-x-greenops-france-rolling-meetup-rou,FinOps x GreenOps France rolling meetup route,ev-finops-paris
skeptic-education,ed-fl-innovation-2027,ed-evt-florida-online-innovation-summit-florida-online-innovation-summit-20,Florida Online Innovation Summit 2027,evt-fl-innovation
evidence-learning,ed-pfw-tlc-2027,ed-evt-fort-wayne-teaching-and-learning-conference-fort-wayne-teaching-and-,Fort Wayne Teaching and Learning Conference 2027,ev-pfw-tlc
failure-improvement,ed-fi-gaic-seattle-2627,ed-evt-global-ai-community-seattle-global-ai-community-seattle-2026-2027-se,Global AI Community Seattle 2026-2027 series,evt-fi-gaic-seattle
parallelization,ed-pa-gaic-seattle-2627,ed-evt-global-ai-community-seattle-global-ai-community-seattle-2026-2027-se,Global AI Community Seattle 2026-2027 series,evt-pa-gaic-seattle
adaptive-systems,ed-gids-2027,ed-evt-great-international-developer-summit-gids-2027,GIDS 2027,evt-gids
benchmarks,ed-gids-2027,ed-evt-great-international-developer-summit-gids-2027,GIDS 2027,evt-gids
failure-improvement,ed-fi-gids27,ed-evt-great-international-developer-summit-gids-2027,GIDS 2027,evt-fi-gids
judgment,ed-ju-gids27,ed-evt-great-international-developer-summit-gids-2027,GIDS 2027,evt-ju-gids
parallelization,ed-pa-gids27,ed-evt-great-international-developer-summit-gids-2027,GIDS 2027,evt-pa-gids
product-engineering,ed-pe-gids27,ed-evt-great-international-developer-summit-gids-2027,GIDS 2027,evt-pe-gids
retrieval,ed-gids-2027,ed-evt-great-international-developer-summit-gids-2027,GIDS 2027,ev-gids
retrieval,ed-haystack-2026,ed-evt-haystack-conference-haystack-europe-2026,Haystack Europe 2026,ev-haystack
evidence-learning,ed-herdsa-2027,ed-evt-herdsa-annual-conference-herdsa-2027,HERDSA 2027,ev-herdsa
skeptic-education,ed-herdsa-2027,ed-evt-herdsa-annual-conference-herdsa-2027,HERDSA 2027,evt-herdsa
skeptic-education,ed-hi-ai-2027,ed-evt-hi-ai-hi-ai-2027,Hi AI! 2027,evt-hi-ai
evidence-learning,ed-hec-2027,ed-evt-honolulu-education-conference-honolulu-education-conference-2027,Honolulu Education Conference 2027,ev-hec
skeptic-education,ed-hec-2027,ed-evt-honolulu-education-conference-honolulu-education-conference-2027,Honolulu Education Conference 2027,evt-hec-honolulu
evidence-learning,ed-icai-2027,ed-evt-icai-annual-conference-icai-2027-annual-conference,ICAI 2027 Annual Conference,ev-icai
evidence-learning,ed-ieee-educon-2027,ed-evt-ieee-global-engineering-education-conference-educon-ieee-educon-2027,IEEE EDUCON 2027,ev-ieee-educon
adaptive-systems,ed-icsa-saip-2027,ed-evt-ieee-international-conference-on-software-architecture-icsa-2027-sof,ICSA 2027 Software Architecture in Practice,evt-icsa
adaptive-systems,ed-icsa-tutorial-2027,ed-evt-ieee-international-conference-on-software-architecture-icsa-2027-tut,ICSA 2027 Tutorials / Technical Briefings,evt-icsa
adaptive-systems,ed-icsa-working-2027,ed-evt-ieee-international-conference-on-software-architecture-icsa-2027-wor,ICSA 2027 Working Sessions,evt-icsa
failure-improvement,ed-fi-idi27,ed-evt-incontro-devops-italia-incontro-devops-italia-2027,Incontro DevOps Italia 2027,evt-fi-idi
parallelization,ed-pa-idi27,ed-evt-incontro-devops-italia-incontro-devops-italia-2027,Incontro DevOps Italia 2027,evt-pa-idi
evidence-learning,ed-inqaahe-2027,ed-evt-inqaahe-biennial-conference-inqaahe-conference-2027,INQAAHE Conference 2027,ev-inqaahe
evidence-learning,ed-icaied-2027,ed-evt-international-conference-on-ai-in-education-2027-icaied-london-2027,ICAIED London 2027,ev-icaied
skeptic-education,ed-icaied-2027,ed-evt-international-conference-on-ai-in-education-2027-icaied-london-2027,ICAIED 2027,evt-icaied
skeptic-education,ed-learner-2027,ed-evt-international-conference-on-learning-thirty-fourth-international-con,Thirty-Fourth International Conference on Learning,evt-learner-conference
adaptive-systems,ed-sag-2026,ed-evt-isaqb-software-architecture-gathering-isaqb-software-architecture-ga,iSAQB Software Architecture Gathering 2026,evt-sag
evidence-learning,ed-isls-2027,ed-evt-isls-annual-meeting-icls-and-cscl-isls-annual-meeting-2027,ISLS Annual Meeting 2027,ev-isls
evidence-learning,ed-issotl-2026,ed-evt-issotl-annual-conference-issotl-2026,ISSOTL 2026,ev-issotl
skeptic-education,ed-iste-2027,ed-evt-istelive-istelive-27,ISTELive 27,evt-iste-live
adaptive-systems,ed-javaland-2027,ed-evt-javaland-javaland-2027,JavaLand 2027,evt-javaland
judgment,ed-ju-kmweu27,ed-evt-kmworld-europe-kmworld-europe-2027,KMWorld Europe 2027,evt-ju-kmweu
product-engineering,ed-pe-kmweu27,ed-evt-kmworld-europe-kmworld-europe-2027,KMWorld Europe 2027,evt-pe-kmweu
adaptive-systems,ed-kccnc-eu-2027,ed-evt-kubecon-cloudnativecon-europe-kubecon-cloudnativecon-europe-2027,KubeCon + CloudNativeCon Europe 2027,evt-kccnc-eu
benchmarks,ed-kccnc-eu-2027,ed-evt-kubecon-cloudnativecon-europe-kubecon-cloudnativecon-europe-2027,KubeCon + CloudNativeCon Europe 2027,evt-kccnc-eu
failure-improvement,ed-fi-kubecon-eu27,ed-evt-kubecon-cloudnativecon-europe-kubecon-cloudnativecon-europe-2027,KubeCon + CloudNativeCon Europe 2027,evt-fi-kubecon-eu
free-tier,ed-kubecon-eu-2027,ed-evt-kubecon-cloudnativecon-europe-kubecon-cloudnativecon-europe-2027,KubeCon + CloudNativeCon Europe 2027,ev-kubecon-eu
parallelization,ed-pa-kubecon-eu27,ed-evt-kubecon-cloudnativecon-europe-kubecon-cloudnativecon-europe-2027,KubeCon + CloudNativeCon Europe 2027,evt-pa-kubecon-eu
retrieval,ed-kubecon-eu-2027,ed-evt-kubecon-cloudnativecon-europe-kubecon-cloudnativecon-europe-2027,KubeCon + CloudNativeCon Europe 2027,ev-kubecon-eu
free-tier,ed-kubecon-na-2026,ed-evt-kubecon-cloudnativecon-north-america-kubecon-cloudnativecon-north-am,KubeCon + CloudNativeCon North America 2026,ev-kubecon-na
adaptive-systems,ed-kccnc-na-2027,ed-evt-kubecon-cloudnativecon-north-america-kubecon-cloudnativecon-north-am-e57cb862,KubeCon + CloudNativeCon North America 2027,evt-kccnc-na
benchmarks,ed-kccnc-na-2027,ed-evt-kubecon-cloudnativecon-north-america-kubecon-cloudnativecon-north-am-e57cb862,KubeCon + CloudNativeCon North America 2027,evt-kccnc-na
judgment,ed-ju-ldx3-london27,ed-evt-ldx3-leaddev-ldx3-london-2027,LDX3 London 2027,evt-ju-leaddev
product-engineering,ed-pe-ldx3-london27,ed-evt-ldx3-leaddev-ldx3-london-2027,LDX3 London 2027,evt-pe-leaddev
retrieval,ed-leaddev-london-2027,ed-evt-ldx3-london-leaddev-ldx3-london-2027,LDX3 London 2027,ev-leaddev-london
evidence-learning,ed-lilac-2027,ed-evt-lilac-lilac-2027,LILAC 2027,ev-lilac
evidence-learning,ed-lilly-austin-2027,ed-evt-lilly-conference-austin-lilly-austin-2027,Lilly Austin 2027,ev-lilly-austin
skeptic-education,ed-lilly-austin-2027,ed-evt-lilly-conference-austin-lilly-austin-2027,Lilly Austin 2027,evt-lilly-austin
evidence-learning,ed-lilly-sd-2027,ed-evt-lilly-conference-san-diego-lilly-san-diego-2027,Lilly San Diego 2027,ev-lilly-sd
skeptic-education,ed-lilly-sd-2027,ed-evt-lilly-conference-san-diego-lilly-san-diego-2027,Lilly San Diego 2027,evt-lilly-san-diego
benchmarks,ed-live2test-2027,ed-evt-live2test-live2test-2027,Live2Test 2027,evt-live2test
benchmarks,ed-mlops-rolling,ed-evt-mlops-community-mlops-community-contribution-route,MLOps Community contribution route,evt-mlops-community
adaptive-systems,ed-mlops-community-rolling,ed-evt-mlops-community-mlops-community-rolling-routes,MLOps Community rolling routes,evt-mlops-community
retrieval,ed-mlops-rolling,ed-evt-mlops-community-meetups-mlops-community-local-meetup-route,MLOps Community local meetup route,ev-mlops-community
retrieval,ed-naacl-2027,ed-evt-naacl-conference-naacl-2027,NAACL 2027,ev-naacl
adaptive-systems,ed-ndc-london-2027,ed-evt-ndc-london-ndc-london-2027,NDC London 2027,evt-ndc-london
benchmarks,ed-ndc-london-2027,ed-evt-ndc-london-ndc-london-2027,NDC London 2027,evt-ndc-london
free-tier,ed-ndc-london-2027,ed-evt-ndc-london-ndc-london-2027,NDC London 2027,ev-ndc-london
retrieval,ed-ndc-london-2027,ed-evt-ndc-london-ndc-london-2027,NDC London 2027,ev-ndc-london
evidence-learning,ed-nercomp-2027,ed-evt-nercomp-annual-conference-nercomp-annual-conference-2027,NERCOMP 2027,ev-nercomp
skeptic-education,ed-nercomp-2027,ed-evt-nercomp-annual-conference-nercomp-annual-conference-2027,NERCOMP Annual Conference 2027,evt-nercomp
benchmarks,ed-obsday-eu-2027,ed-evt-observability-day-europe-observability-day-europe-2027,Observability Day Europe 2027,evt-obsday-eu
skeptic-education,ed-oeb-2026,ed-evt-oeb-global-oeb-2026,OEB 2026,evt-oeb
skeptic-education,ed-osu-ldd-2027,ed-evt-ohio-state-learning-design-day-ohio-state-learning-design-day-2027,Ohio State Learning Design Day 2027,evt-osu-learning-design
evidence-learning,ed-osu-ldd-2027,ed-evt-ohio-state-learning-design-day-fresh-ideas-ohio-state-learning-desig,Ohio State Learning Design Day 2027,ev-osu-ldd
evidence-learning,ed-olc-innovate-2027,ed-evt-olc-innovate-olc-innovate-2027,OLC Innovate 2027,ev-olc-innovate
skeptic-education,ed-olc-innovate-2027,ed-evt-olc-innovate-olc-innovate-2027,OLC Innovate 2027,evt-olc-innovate
adaptive-systems,ed-oop-2027,ed-evt-oop-conference-oop-2027,OOP 2027,evt-oop
adaptive-systems,ed-oss-na-2027,ed-evt-open-source-summit-north-america-open-source-summit-north-america-20,Open Source Summit North America 2027,evt-oss-na
benchmarks,ed-oss-na-2027,ed-evt-open-source-summit-north-america-open-source-summit-north-america-20,Open Source Summit North America 2027,evt-oss-na
judgment,ed-ju-opt-west27,ed-evt-optimizers-conference-optimizers-conference-west-2027,Optimizers Conference West 2027,evt-ju-optimizers
product-engineering,ed-pe-opt-west27,ed-evt-optimizers-conference-optimizers-conference-west-2027,Optimizers Conference West 2027,evt-pe-optimizers
adaptive-systems,ed-platform-day-eu-2027,ed-evt-platform-engineering-day-europe-platform-engineering-day-europe-2027,Platform Engineering Day Europe 2027,evt-platform-day-eu
retrieval,ed-platform-day-2027,ed-evt-platform-engineering-day-europe-platform-engineering-day-europe-2027,Platform Engineering Day Europe 2027,ev-platform-day
free-tier,ed-platformcon-flagship-2027,ed-evt-platformcon-platformcon-flagship-week-2027,PlatformCon Flagship Week 2027,ev-platformcon
failure-improvement,ed-fi-platformcon-sf27,ed-evt-platformcon-live-day-san-francisco-platformcon-live-day-san-francisc,PlatformCon Live Day San Francisco 2027,evt-fi-platformcon-sf
free-tier,ed-platformcon-sf-2027,ed-evt-platformcon-live-day-san-francisco-platformcon-live-day-san-francisc,PlatformCon San Francisco 2027,ev-platformcon-sf
parallelization,ed-pa-platformcon-sf27,ed-evt-platformcon-live-day-san-francisco-platformcon-live-day-san-francisc,PlatformCon Live Day San Francisco 2027,evt-pa-platformcon-sf
retrieval,ed-platformcon-sf-2027,ed-evt-platformcon-live-day-san-francisco-platformcon-live-day-san-francisc,PlatformCon San Francisco 2027,ev-platformcon-sf
evidence-learning,ed-pod-2026,ed-evt-pod-network-annual-conference-pod-network-2026-annual-conference,POD Network 2026,ev-pod
skeptic-education,ed-pod-2026,ed-evt-pod-network-annual-conference-pod-network-2026-annual-conference,POD Network 2026 Annual Conference,evt-pod
judgment,ed-ju-possible27,ed-evt-possible-possible-2027,POSSIBLE 2027,evt-ju-possible
product-engineering,ed-pe-possible27,ed-evt-possible-possible-2027,POSSIBLE 2027,evt-pe-possible
judgment,ed-ju-pah27,ed-evt-product-at-heart-product-at-heart-2027,Product at Heart 2027,evt-ju-productatheart
product-engineering,ed-pe-pah27,ed-evt-product-at-heart-product-at-heart-2027,Product at Heart 2027,evt-pe-productatheart
judgment,ed-ju-pls-seattle27,ed-evt-product-led-summit-product-led-summit-seattle-2027,Product-Led Summit Seattle 2027,evt-ju-pls
product-engineering,ed-pe-pls-seattle27,ed-evt-product-led-summit-product-led-summit-seattle-2027,Product-Led Summit Seattle 2027,evt-pe-pls
judgment,ed-ju-pcon-london27,ed-evt-productcon-productcon-london-2027,ProductCon London 2027,evt-ju-productcon
product-engineering,ed-pe-pcon-london27,ed-evt-productcon-productcon-london-2027,ProductCon London 2027,evt-pe-productcon
judgment,ed-ju-producttank-rolling,ed-evt-producttank-producttank-speaker-directory-and-digital-events,ProductTank speaker directory and digital events,evt-ju-producttank
product-engineering,ed-pe-producttank-rolling,ed-evt-producttank-producttank-speaker-directory-and-digital-events,ProductTank speaker directory and digital events,evt-pe-producttank
judgment,ed-ju-pw27,ed-evt-productworld-productworld-2027,ProductWorld 2027,evt-ju-productworld
product-engineering,ed-pe-pw27,ed-evt-productworld-productworld-2027,ProductWorld 2027,evt-pe-productworld
failure-improvement,ed-fi-pydata-venice26,ed-evt-pydata-venice-pydata-venice-2026-series,PyData Venice 2026 series,evt-fi-pydata-venice
