record_type,event_id,edition_id,field,conflict_notes,source_url
evidence,evt-a4q-testing-summit,ed-evt-a4q-testing-summit-a4q-testing-summit-2027,dates; mode; CFP; languages; economics; reach,No deadline found.,https://testingsummit.com/
evidence,evt-agentics-day-mcp-agents-europe,ed-evt-agentics-day-mcp-agents-europe-agentics-day-mcp-agents-europe-2027,date; deadline; formats; topics,"Page states 'CET (UTC+2)', an internally inconsistent timezone label.",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/
evidence,evt-agentics-day-mcp-agents-europe,,past event/session fit,Specific session title was not exposed in captured page.,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/agentics-day-mcp-agents/
evidence,evt-agentics-day-mcp-agents-europe,,past adjacent session fit,"Adjacent KubeCon session, not confirmed as part of Agentics Day.",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/keynote-speakers/
evidence,evt-cloud-native-mumbai,ed-evt-cloud-native-mumbai-cloud-native-mumbai-2026-rolling-call,date; route; topics,Future session dates not stated.,https://sessionize.com/cloud-native-mumbai-city
evidence,evt-cto-craft-con-europe,ed-evt-cto-craft-con-europe-cto-craft-con-europe-2027,dates; CFP; audience; requirements; rights,No closing date found.,https://conference.ctocraft.com/london/call-for-content/
evidence,evt-devops-pro-europe,ed-evt-devops-pro-europe-devops-pro-europe-2027,dates; CFP; language; formats; reach,No deadline found; attendance is projection.,https://devopsproeurope.eu/faq/
evidence,evt-developerweek,ed-evt-developerweek-developerweek-2027,dates; deadline; reach,Attendance numbers are organizer projections.,https://www.developerweek.com/speakers/apply-to-speak/
evidence,evt-kubecon-cloudnativecon-europe,,past session fit,"Evidence comes from another regional KubeCon edition, not Europe.",https://events.linuxfoundation.org/kubecon-cloudnativecon-japan/program/schedule/
evidence,evt-platformcon-live-day-san-francisco,ed-evt-platformcon-live-day-san-francisco-platformcon-live-day-san-francisc,date; deadline; format; requirements; economics,Conflicts with organizer CFP page deadline time.,https://sessionize.com/platformcon-live-day-san-francisco/
evidence,evt-platformcon-live-day-san-francisco,ed-evt-platformcon-live-day-san-francisco-platformcon-live-day-san-francisc,deadline,Material conflict with Sessionize 11:59 PM PDT.,https://sanfrancisco.platformcon.com/cfp
evidence,evt-platformcon-live-day-san-francisco,,past session fit,"Flagship virtual edition, not San Francisco Live Day.",https://2026.platformcon.com/sessions/scaling-ai-agents-what-platform-engineering-already-taught-us
evidence,evt-platformcon-live-day-san-francisco,,past session fit,"Flagship program evidence, not confirmed San Francisco edition.",https://platformcon.com/sessions/lessons-from-putting-ai-in-front-of-a-platform-taming-the-non-deterministic-beast
evidence,evt-quality-land,ed-evt-quality-land-quality-land-2027,month; location; route; reach,Working/public route does not establish a closing date or formal selection state.,https://qualityland.lt/
evidence,evt-taqelah-testing-conference,,past session fit,Second specific title/speaker was not reliably captured.,https://taqelah.sg/lightning-talks-2026
evidence,evt-taqelah-testing-conference,ed-evt-taqelah-testing-conference-taqelah-testing-conference-2027,format; travel support,Exact post URL was unstable in search capture; re-verify inside submission flow.,https://www.linkedin.com/company/taqelah/
evidence,evt-visual-studio-live,ed-evt-visual-studio-live-visual-studio-live-austin-2027,dates; deadline; formats; topics; economics,Timezone conflict is within the official submission page.,https://sessionize.com/vslive_austin27/
evidence,evt-visual-studio-live,,past session fit,Year and speaker not exposed in captured text.,https://sessionize.com/vslive_austin27/
evidence,evt-visual-studio-live,,past session fit,Year and speaker not exposed in captured text.,https://sessionize.com/vslive_austin27/
evidence,evt-cloudfest,ed-evt-cloudfest-cloudfest-2027,dates;attendance;audience,Organizer marketing figures,https://www.cloudfest.com/event
evidence,evt-cncf-cloud-native-montr-al,ed-evt-cncf-cloud-native-montr-al-cncf-cloud-native-montr-al-next-cost-focu,past_program_fit;historical_route,Historical event and form only,https://community.cncf.io/events/details/cncf-montreal-presents-october-montreal-cncf-meetup-doctobre-end-user-stories-house-of-kube/
evidence,evt-cncf-cloud-native-thane,ed-evt-cncf-cloud-native-thane-cncf-cloud-native-thane-next-finops-cycle,past_program_fit;historical_route,Historical event and form only,https://community.cncf.io/events/details/cncf-cloud-native-thane-presents-cloud-native-thane-january-meetup/
evidence,evt-devopsdays-raleigh,ed-evt-devopsdays-raleigh-devopsdays-raleigh-2027,cfp_status;deadline,Some local pages conflict with the global index; each conflict is retained,https://devopsdays.org/speaking/
evidence,evt-devopsdays-los-angeles,ed-evt-devopsdays-los-angeles-devopsdays-los-angeles-2027,status;formats;requirements,Conflicts with official global index labeling call open with 1 November deadline,https://devopsdays.org/events/2027-los-angeles/propose/
evidence,evt-devopsdays-raleigh,ed-evt-devopsdays-raleigh-devopsdays-raleigh-2027,status;deadline;formats;requirements,Notification date precedes CFP close and is flagged without correction,https://devopsdays.org/events/2027-raleigh/propose/
evidence,evt-devopsdays-tel-aviv,ed-evt-devopsdays-tel-aviv-devopsdays-tel-aviv-2026,status;formats;requirements,Conflicts with global official index labeling the call open,https://devopsdays.org/events/2026-tel-aviv/propose/
evidence,evt-devopsdays-los-angeles,ed-evt-devopsdays-los-angeles-devopsdays-los-angeles-2027,past_program_fit,"Global-family evidence, not Los Angeles- or Raleigh-specific history",https://devopsdays.org/events/2026-zurich/program/
evidence,evt-berlin-finops-and-cloud-cost-optimization,ed-evt-berlin-finops-and-cloud-cost-optimization-berlin-finops-rolling-meet,history;audience;route,No explicit call for speakers,https://www.meetup.com/berlin-finops/
evidence,evt-finops-chicago,ed-evt-finops-chicago-finops-chicago-rolling-meetup-route,history;topic_fit,No explicit public speaker route,https://www.meetup.com/finops-chicago/
evidence,evt-finops-connect,ed-evt-finops-connect-finops-connect-rolling-meetup-route,history;audience;route,Hosting may not mean editorial speaking; verify,https://www.meetup.com/finops-connect/
evidence,evt-finops-foundation-virtual-summit,ed-evt-finops-foundation-virtual-summit-finops-foundation-virtual-summit-me,commercial_category,Paid placement; excluded from editorial opportunities,https://www.finops.org/membership/
evidence,evt-tokenomicon-finops-x,ed-evt-tokenomicon-finops-x-tokenomicon-finops-x-2027,past_program_fit,Program-theme evidence; not two fully verified named sessions,https://www.finops.org/insights/finops-x-2026-recap/
evidence,evt-tokenomicon-finops-x,ed-evt-tokenomicon-finops-x-tokenomicon-finops-x-2027,topic_fit;formats;eligibility;requirements,Historical rules; do not assume unchanged for 2027,https://x.finops.org/speaker-guide/
evidence,evt-kubecon-cloudnativecon-europe,ed-evt-kubecon-cloudnativecon-europe-kubecon-cloudnativecon-europe-2027,attendance_value,"Organizer marketing figure, not independently audited",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/sponsor/
evidence,evt-kubecon-cloudnativecon-europe,ed-evt-kubecon-cloudnativecon-europe-kubecon-cloudnativecon-europe-2027,past_program_fit,Theme-level evidence rather than two named past sessions,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/
evidence,evt-platformcon,ed-evt-platformcon-platformcon-flagship-week-2027,past_program_fit,Theme-level evidence only,https://platformcon.com/
evidence,evt-platformcon,ed-evt-platformcon-platformcon-flagship-week-2027,dates;mode;audience;history,Organizer reach claims,https://platformcon.com/
evidence,evt-platformcon-live-day-san-francisco,ed-evt-platformcon-live-day-san-francisco-platformcon-live-day-san-francisc,dates;topic_fit;cfp_route,Navigation label is not treated as proof that the call is open,https://sanfrancisco.platformcon.com/
evidence,evt-saastock-europe-ai-growth-summit,ed-evt-saastock-europe-ai-growth-summit-ai-growth-summit-europe-2027,status;commercial_route,Absence in reviewed page does not prove invitation-only; status remains invitation-only-or-unknown,https://saastock.com/
evidence,evt-saastr-ai-annual,ed-evt-saastr-ai-annual-saastr-ai-annual-2027,dates;audience;attendance,Organizer marketing figures,https://saastrannual.com/summer-splash
evidence,evt-saastr-ai-annual,ed-evt-saastr-ai-annual-saastr-ai-annual-2027,past_program_fit,"General program evidence, not two named sessions",https://www.saastrannual.com/buy-tickets-2026
evidence,evt-saastr-ai-annual,ed-evt-saastr-ai-annual-saastr-ai-annual-2027,submission_route,Route exists; exact open status is treated as rolling because no close date is published,https://www.saastrannual.com/speaker-submission
evidence,evt-srecon-americas,ed-evt-srecon-americas-srecon-americas-next-cycle,history;formats;eligibility;topic_fit,"Historical, not a current CFP",https://www.usenix.org/conference/srecon26americas/call-for-participation
evidence,evt-srecon-americas,ed-evt-srecon-americas-srecon-americas-next-cycle,past_program_fit,Adjacent theme evidence only,https://www.usenix.org/conference/srecon26americas/program
evidence,evt-ai-festival,,past program theme,Specific session title/speaker not captured.,https://en.aifestival.it/call/speaker/
evidence,evt-ai-festival,,past program theme,"Theme evidence, not a past-session title.",https://en.aifestival.it/call/speaker/
evidence,evt-ainext-awards-and-conference,ed-evt-ainext-awards-and-conference-ainext-us-2027,date; route; audience,No deadline or city.,https://ainextconference.com/apply-to-speak
evidence,evt-arc-software-architecture-and-engineering-conference,ed-evt-arc-software-architecture-and-engineering-conference-arc-2027,dates; location; route; audience; rules,New event; form details and deadline not exposed.,https://futurewitharc.com/
evidence,evt-bacon,ed-evt-bacon-bacon-2027,date; CFP; deadline; audience; economics,"Benefits paragraph says BACon 2026, likely stale copy; not silently corrected.",https://sessionize.com/bacon-2027/
evidence,evt-ces,ed-evt-ces-ces-2027,CFP; deadline; eligibility; economics,Editorial and sponsored routes are separate.,https://www.ces.tech/cfs
evidence,evt-ces,,past session fit,Speaker not exposed in captured result.,https://exhibitors.ces.tech/8_0/sessions/session-details.cfm?scheduleid=28
evidence,evt-ces,,program fit,Search capture did not expose speaker/year unambiguously.,https://www.ces.tech/schedule/ai-or-human-trust-transparency-and-co-creation-in-the-age-of-intelligent-content/
evidence,evt-cto-craft-con-europe,ed-evt-cto-craft-con-europe-cto-craft-con-europe-2027,dates; route; edition conflict,Stale title makes current-edition status ambiguous.,https://conference.ctocraft.com/london/call-for-content/
evidence,evt-cto-craft-con-europe,,past program theme,Specific session title/speaker not captured.,https://conference.ctocraft.com/london/
evidence,evt-cto-craft-con-europe,,past format/history,Specific session title/speaker not captured.,https://conference.ctocraft.com/london/
evidence,evt-dx-annual,,past program theme,Specific title/speaker not exposed.,https://getdx.com/dxannual/
evidence,evt-dx-annual,,past program route,Specific title/speaker not captured.,https://getdx.com/dxannual/
evidence,evt-engineering-leaders-conference-prague,ed-evt-engineering-leaders-conference-prague-elc-prague-2027,month; location; audience; reach,No public CFP found.,https://www.elc-conference.io/
evidence,evt-engineering-leaders-conference-prague,,past speaker fit,Talk title/year not exposed.,https://www.elc-conference.io/
evidence,evt-engineering-leaders-conference-prague,,past format/history,Specific talk titles not exposed.,https://www.elc-conference.io/
evidence,evt-kmworld-europe,ed-evt-kmworld-europe-kmworld-europe-2027,dates; status; deadline conflict; topics; benefits,Internal year/status conflict.,https://www.kmworld.com/Europe/2027/CallForSpeakers.aspx
evidence,evt-kmworld-europe,,past session fit,US flagship rather than Europe.,https://www.kmworld.com/Conference/2026/Program.aspx
evidence,evt-kmworld-europe,,past session fit,US flagship rather than Europe.,https://www.kmworld.com/Conference/2026/Program.aspx
evidence,evt-ldx3-leaddev,,past session fit,"Partner-supported panel, not necessarily conference stage.",https://leaddev.com/
evidence,evt-ldx3-leaddev,,past session fit,"Panel event, not necessarily conference stage.",https://leaddev.com/event/what-are-durable-leadership-skills-in-2026
evidence,evt-optimizers-conference,ed-evt-optimizers-conference-optimizers-conference-west-2027,dates; audience; route; costs,Attendee-led opportunity is not a curated keynote CFP.,https://optimizersconference.com/
evidence,evt-optimizers-conference,,past speaker fit,Past talk title/year not shown.,https://optimizersconference.com/
evidence,evt-optimizers-conference,,past speaker fit,Past talk title/year not shown.,https://optimizersconference.com/
evidence,evt-product-at-heart,ed-evt-product-at-heart-product-at-heart-2027,dates; format; audience,No speaker application found.,https://productatheart.com/conference
evidence,evt-product-at-heart,,past program theme,Specific session title/speaker not exposed.,https://productatheart.com/conference
evidence,evt-product-at-heart,,past audience/history,Specific session title/speaker not exposed.,https://productatheart.com/conference
evidence,evt-productcon,ed-evt-productcon-productcon-london-2027,date; mode; audience; reach,No public editorial speaker route found; reach not edition-specific.,https://productschool.com/productcon
evidence,evt-productcon,,past session fit,"Online event, not ProductCon main stage.",https://productschool.com/product-management-events
evidence,evt-productcon,,past session fit,"Online event, not ProductCon main stage.",https://productschool.com/product-management-events
evidence,evt-product-led-summit,ed-evt-product-led-summit-product-led-summit-seattle-2027,dates; route; audience; reach,No submission deadline or selection rules stated.,https://world.productledalliance.com/location/seattle/speakers
evidence,evt-product-led-summit,,past session fit,Adjacent Product-Led Alliance edition.,https://world.productledalliance.com/location/ai/agenda
evidence,evt-possible,,program fit,Theme evidence rather than past session.,https://possibleevent.com/speaker-opportunities/
evidence,evt-possible,,program fit,Theme evidence rather than past session.,https://possibleevent.com/speaker-opportunities/
evidence,evt-producttank,ed-evt-producttank-producttank-speaker-directory-and-digital-events,rolling route; opportunity type,No specific edition or deadline.,https://support.mindtheproduct.com/hc/en-us/articles/40000576495508-Nominate-a-ProductTank-speaker
evidence,evt-producttank,,history/fit,Old guidance; current directory page confirms route persists.,https://www.mindtheproduct.com/takes-speak-mind-product/
evidence,evt-producttank,,history/fit,Old guidance; no specific session title/speaker.,https://www.mindtheproduct.com/takes-speak-mind-product/
evidence,evt-uxdx,ed-evt-uxdx-uxdx-new-york-2027,program fit,Program was partially announced while speaker call remained open.,https://uxdx.com/usa/2027/agenda/
evidence,evt-uxdx,ed-evt-uxdx-uxdx-new-york-2027,program fit,"Current-edition precedent, not past edition.",https://uxdx.com/usa/2027/agenda/
evidence,evt-a4q-testing-summit,ed-evt-a4q-testing-summit-a4q-testing-summit-2027,dates; mode; CFP; languages; economics; reach,No deadline found.,https://testingsummit.com/
evidence,evt-agentics-day-mcp-agents-europe,ed-evt-agentics-day-mcp-agents-europe-agentics-day-mcp-agents-europe-2027,date; deadline; formats; topics,"Page states 'CET (UTC+2)', an internally inconsistent timezone label.",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/
evidence,evt-agentics-day-mcp-agents-europe,,past event/session fit,Specific session title was not exposed in captured page.,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/agentics-day-mcp-agents/
evidence,evt-agentics-day-mcp-agents-europe,,past adjacent session fit,"Adjacent KubeCon session, not confirmed as part of Agentics Day.",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/keynote-speakers/
evidence,evt-cloud-native-mumbai,ed-evt-cloud-native-mumbai-cloud-native-mumbai-2026-rolling-call,date; route; topics,Future session dates not stated.,https://sessionize.com/cloud-native-mumbai-city
evidence,evt-cto-craft-con-europe,ed-evt-cto-craft-con-europe-cto-craft-con-europe-2027,dates; CFP; audience; requirements; rights,No closing date found.,https://conference.ctocraft.com/london/call-for-content/
evidence,evt-devops-pro-europe,ed-evt-devops-pro-europe-devops-pro-europe-2027,dates; CFP; language; formats; reach,No deadline found; attendance is projection.,https://devopsproeurope.eu/faq/
evidence,evt-developerweek,ed-evt-developerweek-developerweek-2027,dates; deadline; reach,Attendance numbers are organizer projections.,https://www.developerweek.com/speakers/apply-to-speak/
evidence,evt-kubecon-cloudnativecon-europe,,past session fit,"Evidence comes from another regional KubeCon edition, not Europe.",https://events.linuxfoundation.org/kubecon-cloudnativecon-japan/program/schedule/
evidence,evt-platformcon-live-day-san-francisco,ed-evt-platformcon-live-day-san-francisco-platformcon-live-day-san-francisc,date; deadline; format; requirements; economics,Conflicts with organizer CFP page deadline time.,https://sessionize.com/platformcon-live-day-san-francisco/
evidence,evt-platformcon-live-day-san-francisco,ed-evt-platformcon-live-day-san-francisco-platformcon-live-day-san-francisc,deadline,Material conflict with Sessionize 11:59 PM PDT.,https://sanfrancisco.platformcon.com/cfp
evidence,evt-platformcon-live-day-san-francisco,,past session fit,"Flagship virtual edition, not San Francisco Live Day.",https://2026.platformcon.com/sessions/scaling-ai-agents-what-platform-engineering-already-taught-us
evidence,evt-platformcon-live-day-san-francisco,,past session fit,"Flagship program evidence, not confirmed San Francisco edition.",https://platformcon.com/sessions/lessons-from-putting-ai-in-front-of-a-platform-taming-the-non-deterministic-beast
evidence,evt-quality-land,ed-evt-quality-land-quality-land-2027,month; location; route; reach,Working/public route does not establish a closing date or formal selection state.,https://qualityland.lt/
evidence,evt-taqelah-testing-conference,,past session fit,Second specific title/speaker was not reliably captured.,https://taqelah.sg/lightning-talks-2026
evidence,evt-taqelah-testing-conference,ed-evt-taqelah-testing-conference-taqelah-testing-conference-2027,format; travel support,Exact post URL was unstable in search capture; re-verify inside submission flow.,https://www.linkedin.com/company/taqelah/
evidence,evt-visual-studio-live,ed-evt-visual-studio-live-visual-studio-live-austin-2027,dates; deadline; formats; topics; economics,Timezone conflict is within the official submission page.,https://sessionize.com/vslive_austin27/
evidence,evt-visual-studio-live,,past session fit,Year and speaker not exposed in captured text.,https://sessionize.com/vslive_austin27/
evidence,evt-visual-studio-live,,past session fit,Year and speaker not exposed in captured text.,https://sessionize.com/vslive_austin27/
evidence,evt-ai-festival,,past program theme,Specific session title/speaker not captured.,https://en.aifestival.it/call/speaker/
evidence,evt-ai-festival,,past program theme,"Theme evidence, not a past-session title.",https://en.aifestival.it/call/speaker/
evidence,evt-ainext-awards-and-conference,ed-evt-ainext-awards-and-conference-ainext-us-2027,date; route; audience,No deadline or city.,https://ainextconference.com/apply-to-speak
evidence,evt-arc-software-architecture-and-engineering-conference,ed-evt-arc-software-architecture-and-engineering-conference-arc-2027,dates; location; route; audience; rules,New event; form details and deadline not exposed.,https://futurewitharc.com/
evidence,evt-bacon,ed-evt-bacon-bacon-2027,date; CFP; deadline; audience; economics,"Benefits paragraph says BACon 2026, likely stale copy; not silently corrected.",https://sessionize.com/bacon-2027/
evidence,evt-ces,ed-evt-ces-ces-2027,CFP; deadline; eligibility; economics,Editorial and sponsored routes are separate.,https://www.ces.tech/cfs
evidence,evt-ces,,past session fit,Speaker not exposed in captured result.,https://exhibitors.ces.tech/8_0/sessions/session-details.cfm?scheduleid=28
evidence,evt-ces,,program fit,Search capture did not expose speaker/year unambiguously.,https://www.ces.tech/schedule/ai-or-human-trust-transparency-and-co-creation-in-the-age-of-intelligent-content/
evidence,evt-cto-craft-con-europe,ed-evt-cto-craft-con-europe-cto-craft-con-europe-2027,dates; route; edition conflict,Stale title makes current-edition status ambiguous.,https://conference.ctocraft.com/london/call-for-content/
evidence,evt-cto-craft-con-europe,,past program theme,Specific session title/speaker not captured.,https://conference.ctocraft.com/london/
evidence,evt-cto-craft-con-europe,,past format/history,Specific session title/speaker not captured.,https://conference.ctocraft.com/london/
evidence,evt-dx-annual,,past program theme,Specific title/speaker not exposed.,https://getdx.com/dxannual/
evidence,evt-dx-annual,,past program route,Specific title/speaker not captured.,https://getdx.com/dxannual/
evidence,evt-engineering-leaders-conference-prague,ed-evt-engineering-leaders-conference-prague-elc-prague-2027,month; location; audience; reach,No public CFP found.,https://www.elc-conference.io/
evidence,evt-engineering-leaders-conference-prague,,past speaker fit,Talk title/year not exposed.,https://www.elc-conference.io/
evidence,evt-engineering-leaders-conference-prague,,past format/history,Specific talk titles not exposed.,https://www.elc-conference.io/
evidence,evt-kmworld-europe,ed-evt-kmworld-europe-kmworld-europe-2027,dates; status; deadline conflict; topics; benefits,Internal year/status conflict.,https://www.kmworld.com/Europe/2027/CallForSpeakers.aspx
evidence,evt-kmworld-europe,,past session fit,US flagship rather than Europe.,https://www.kmworld.com/Conference/2026/Program.aspx
evidence,evt-kmworld-europe,,past session fit,US flagship rather than Europe.,https://www.kmworld.com/Conference/2026/Program.aspx
evidence,evt-ldx3-leaddev,,past session fit,"Partner-supported panel, not necessarily conference stage.",https://leaddev.com/
evidence,evt-ldx3-leaddev,,past session fit,"Panel event, not necessarily conference stage.",https://leaddev.com/event/what-are-durable-leadership-skills-in-2026
evidence,evt-optimizers-conference,ed-evt-optimizers-conference-optimizers-conference-west-2027,dates; audience; route; costs,Attendee-led opportunity is not a curated keynote CFP.,https://optimizersconference.com/
evidence,evt-optimizers-conference,,past speaker fit,Past talk title/year not shown.,https://optimizersconference.com/
evidence,evt-optimizers-conference,,past speaker fit,Past talk title/year not shown.,https://optimizersconference.com/
evidence,evt-product-at-heart,ed-evt-product-at-heart-product-at-heart-2027,dates; format; audience,No speaker application found.,https://productatheart.com/conference
evidence,evt-product-at-heart,,past program theme,Specific session title/speaker not exposed.,https://productatheart.com/conference
evidence,evt-product-at-heart,,past audience/history,Specific session title/speaker not exposed.,https://productatheart.com/conference
evidence,evt-productcon,ed-evt-productcon-productcon-london-2027,date; mode; audience; reach,No public editorial speaker route found; reach not edition-specific.,https://productschool.com/productcon
evidence,evt-productcon,,past session fit,"Online event, not ProductCon main stage.",https://productschool.com/product-management-events
evidence,evt-productcon,,past session fit,"Online event, not ProductCon main stage.",https://productschool.com/product-management-events
evidence,evt-product-led-summit,ed-evt-product-led-summit-product-led-summit-seattle-2027,dates; route; audience; reach,No submission deadline or selection rules stated.,https://world.productledalliance.com/location/seattle/speakers
evidence,evt-product-led-summit,,past session fit,Adjacent Product-Led Alliance edition.,https://world.productledalliance.com/location/ai/agenda
evidence,evt-possible,,program fit,Theme evidence rather than past session.,https://possibleevent.com/speaker-opportunities/
evidence,evt-possible,,program fit,Theme evidence rather than past session.,https://possibleevent.com/speaker-opportunities/
evidence,evt-producttank,ed-evt-producttank-producttank-speaker-directory-and-digital-events,rolling route; opportunity type,No specific edition or deadline.,https://support.mindtheproduct.com/hc/en-us/articles/40000576495508-Nominate-a-ProductTank-speaker
