date_iso,time_local,timezone_as_stated,utc_datetime,deadline_type,certainty,event_name,edition_label,cfp_status,talk_ids,raw_date_text,conflict_notes,source_url
2026-09-21,,,,cfp_open,exact,LILAC,LILAC 2027,announced-not-open,evidence-learning,21 September 2026,,https://www.lilacconference.com/lilac-2027/call-for-presentations-1
2026-09-21,23:59,Eastern,2026-09-22T03:59:00Z,cfp_deadline,exact,ALA Annual Conference and Exhibition,ALA Annual Conference 2027,open,evidence-learning;skeptic-education,"September 21, 2026 - 11:59pm Eastern",UTC conversion uses EDT in effect on this date.,https://www.ala.org/conferencesevents/ala-annual-2027-call-proposals
2026-09-21,23:59,Eastern,2026-09-22T03:59:00Z,cfp_deadline,exact,ALA Annual Conference and Exhibition,ALA Annual Conference 2027,open,evidence-learning;skeptic-education,"September 21, 2026 - 11:59pm Eastern",UTC conversion uses EDT,https://www.ala.org/conferencesevents/ala-annual-2027-call-proposals
2026-09-22,,,,event_start,exact,Tokenomicon Amsterdam,Tokenomicon Amsterdam 2026,closed,free-tier,22–23 September 2026,,https://www.tokeneconomics.com/
2026-09-25,,,,cfp_close,official-conflict,DevOpsDays Tel Aviv,DevOpsDays Tel Aviv 2026,conflicting-official-pages,free-tier,deadline 2026-09-25 on official global speaking index,Local propose page says CFP TBD,https://devopsdays.org/speaking/
2026-09-28,,,,cfp_open,exact,Florida Online Innovation Summit,Florida Online Innovation Summit 2027,announced-not-open,skeptic-education,"September 28, 2026",,https://digitallearning.ucf.edu/ilab/innovation-summit/proposals/
2026-09-30,,,,cfp_deadline,exact,ASTE Educational Technology Conference,ASTE 2027,open,skeptic-education,"Proposals due September 30, 2026",Rolling review; no time zone stated,https://www.aste.org/conference/
2026-09-30,,,,cfp,confirmed,EuroSTAR Software Testing Conference,EuroSTAR 2027,open,benchmarks;failure-improvement;parallelization,September 30th,Year supplied by the 2027 call context; time and zone absent,https://conference.eurostarsoftwaretesting.com/call-for-submissions/
2026-09-30,,,,cfp_deadline,confirmed,EuroSTAR Software Testing Conference,EuroSTAR 2027,open,benchmarks;failure-improvement;parallelization,30 September 2026,No time or timezone stated.,https://conference.eurostarsoftwaretesting.com/call-for-submissions/
2026-09-30,,,,cfp,confirmed,Great International Developer Summit,GIDS 2027,open,adaptive-systems;benchmarks;failure-improvement;judgment;parallelization;product-engineering;retrieval,"September 30, 2026",,https://form.jotform.com/saltmarch/gids2027cfp
2026-09-30,,,,cfp_close,exact,Great International Developer Summit,GIDS 2027,open,adaptive-systems;benchmarks;failure-improvement;judgment;parallelization;product-engineering;retrieval,"Deadline to Submit: September 30, 2026",,https://form.jotform.com/saltmarch/gids2027cfp
2026-09-30,,,,cfp_deadline,confirmed,Great International Developer Summit,GIDS 2027,open,adaptive-systems;benchmarks;failure-improvement;judgment;parallelization;product-engineering;retrieval,"September 30, 2026",No time or timezone stated.,https://form.jotform.com/saltmarch/gids2027cfp
2026-09-30,,,,cfp_deadline,exact,ISTELive,ISTELive 27,open,skeptic-education,"September 30, 2026",,https://conference.iste.org/2027/presenters/submit_proposal.php
2026-09-30,,,,cfp_deadline,exact,UPCEA Digital Teaching & Learning Conference,2027 UPCEA Digital Teaching & Learning Conference,open,evidence-learning;skeptic-education,September 30,Year is unambiguous from the 2027 CFP timeline and 2026 publication context; no time zone stated.,https://conferences.upcea.edu/DTL2027/proposals.html
2026-09-30,,,,cfp_deadline,exact,UPCEA Digital Teaching & Learning Conference,2027 UPCEA Digital Teaching & Learning Conference,open,evidence-learning;skeptic-education,Proposals Due September 30,No time zone stated,https://conferences.upcea.edu/DTL2027/proposals.html
2026-10-01,,,,cfp_close,exact,DevOpsDays Almaty,DevOpsDays Almaty 2026,open,free-tier,deadline 2026-10-01 on official global speaking index,Local page not extractable; recheck before action,https://devopsdays.org/speaking/
2026-10-01,,,,cfp_close,exact,European Chatbot & Agentic AI Summit,European Chatbot & Agentic AI Summit 2027,conflicting-official-pages,retrieval,"Deadline to Apply: October. 1, 2026",Homepage says call will open soon while CFP page accepts proposals,https://theeuropeanchatbot.com/call-for-speakers/
2026-10-01,,,,cfp_deadline,exact,Lilly Conference San Diego,Lilly San Diego 2027,open,evidence-learning;skeptic-education,"Closes October 1, 2026",,https://www.lillyconferences.com/
2026-10-01,,,,cfp_deadline,exact,Lilly Conference San Diego,Lilly San Diego 2027,open,evidence-learning;skeptic-education,"Closes October 1, 2026",No time zone stated,https://www.lillyconferences.com/
2026-10-02,,,,proposal_submission,exact,IEEE International Conference on Software Architecture,ICSA 2027 Working Sessions,open,adaptive-systems,2 October 2026,,https://conf.researchr.org/track/icsa-2027/icsa-2027-working-sessions
2026-10-04,,conflicting: PDT UTC-07:00 / EST,,cfp_deadline,conflicting,PlatformCon Live Day San Francisco,PlatformCon Live Day San Francisco 2027,open,failure-improvement;free-tier;parallelization;retrieval,4 Oct 2026 11:59 PM Pacific Daylight Time UTC-07:00; organizer CFP page says 4 Oct 12:59 PM EST,Submission system and organizer event page conflict materially. Treat Sessionize as operational route but verify before relying on time.,
2026-10-04,12:59,EST,,cfp_close,exact-as-stated,PlatformCon Live Day San Francisco,PlatformCon Live Day San Francisco 2027,open,failure-improvement;free-tier;parallelization;retrieval,"October 4, 12:59 PM EST",Timezone says EST even though event is in San Francisco; UTC not normalized because fixed-vs-seasonal intent is unclear,https://sanfrancisco.platformcon.com/cfp
2026-10-04,23:59,PT,,cfp_close,official-conflict,AgenticCon,AgenticCon 2027,open,retrieval,"October 4, 11:59 PM PT","Same page footer says November 1, 11:59 PM PT",https://agenticcon.com/cfp
2026-10-05,,,,cfp_open,exact,Teaching and Learning with AI Conference,Teaching and Learning with AI 2027,announced-not-open,evidence-learning;skeptic-education,"October 5, 2026",,https://aiforall.ucf.edu/teachwithai/
2026-10-05,23:59,conflicting: Pacific Daylight Time (Mexico) UTC-07:00 / CST,,cfp_deadline,conflicting,Visual Studio Live!,Visual Studio Live! Austin 2027,open,failure-improvement;parallelization,5 Oct 2026 11:59 PM Pacific Daylight Time (Mexico) UTC-07:00; page body says 11:59 CST,Sessionize metadata and body conflict; do not normalize to UTC until organizer clarifies.,https://sessionize.com/vslive_austin27/
2026-10-09,,,,notification,exact,ICAI Annual Conference,ICAI 2027 Annual Conference,open,evidence-learning,"October 9, 2026",,https://academicintegrity.org/aws/ICAI/pt/sp/conference_cfp
2026-10-09,,,,cfp_deadline,exact,ISLS Annual Meeting / ICLS and CSCL,ISLS Annual Meeting 2027,open,evidence-learning,"October 9, 2026: contributions for long and short papers, posters & symposia due","Research-contribution deadline, not a conventional speaker CFP.",https://2027.isls.org/icls-2027-call-for-proposals/
2026-10-09,,,,cfp_deadline,conflicting,KMWorld Europe,KMWorld Europe 2027,conflicting,judgment;product-engineering,9 October at the latest,Page header says 'Opens soon' and body incorrectly names 2026 participation on a 2027 page; not safe as actionable.,https://www.kmworld.com/Europe/2027/CallForSpeakers.aspx
2026-10-11,,,,cfp,confirmed,expo:QA,expo:QA 2027,open,benchmarks;failure-improvement;parallelization,11th October 2026,,https://expoqa.com/call-for-speaker/
2026-10-11,,,,cfp_deadline,confirmed,expo:QA,expo:QA 2027,open,benchmarks;failure-improvement;parallelization,"October 11, 2026",No time or timezone stated.,https://expoqa.com/call-for-speaker/
2026-10-11,23:59,CEST (UTC+2),2026-10-11T21:59:00Z,cfp,confirmed,KubeCon + CloudNativeCon Europe,KubeCon + CloudNativeCon Europe 2027,open,adaptive-systems;benchmarks;failure-improvement;free-tier;parallelization;retrieval,"October 11, 2026 at 11:59 PM CEST (UTC+2)",,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/
2026-10-11,23:59,CEST (UTC+2),2026-10-11T21:59:00Z,cfp_close,exact,KubeCon + CloudNativeCon Europe,KubeCon + CloudNativeCon Europe 2027,open,adaptive-systems;benchmarks;failure-improvement;free-tier;parallelization;retrieval,"Sunday, 11 October at 11:59 PM CEST (UTC+2)",,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/
2026-10-11,23:59,CEST (UTC+2),2026-10-11T21:59:00Z,cfp_deadline,confirmed,KubeCon + CloudNativeCon Europe,KubeCon + CloudNativeCon Europe 2027,open,adaptive-systems;benchmarks;failure-improvement;free-tier;parallelization;retrieval,"Sunday, October 11, 2026 at 11:59 PM CEST (UTC+2)",,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/
2026-10-12,,,,cfp_deadline,exact,Hi AI!,Hi AI! 2027,open,skeptic-education,"October 12, 2026",No time zone stated,https://www.ltcillinois.org/hiai/rfp/
2026-10-12,23:00,ET,,cfp_deadline,confirmed,APQC CONNECT,APQC CONNECT 2027,open,judgment;product-engineering,"Monday, October 12, 2026 at 11:00 p.m. ET",Source does not distinguish EDT/EST; UTC not normalized.,https://www.apqc.org/events/2027/apqc-conference/call-for-speakers
2026-10-15,,,,cfp_deadline,confirmed,AI Festival,AI Festival 2027,open,judgment;product-engineering,"Oct. 15th 2026, 2nd phase closing",No time or timezone stated.,https://en.aifestival.it/call/speaker/
2026-10-15,23:59,Eastern Daylight Time (UTC-04:00),2026-10-16T03:59:00Z,cfp_deadline,confirmed,BACon,BACon 2027,open,judgment;product-engineering,15 Oct 2026 11:59 PM Eastern Daylight Time (UTC-04:00),,https://sessionize.com/bacon-2027/
2026-10-18,,,,cfp_close,exact,Cloud Native AI + Inference Day Europe,Cloud Native AI + Inference Day Europe 2027,open,adaptive-systems;retrieval,"through Sunday, 18 October 2026",,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cloud-native-ai-inference-day-europe/
2026-10-18,,,,cfp_close,exact,Platform Engineering Day Europe,Platform Engineering Day Europe 2027,open,adaptive-systems;retrieval,"through Sunday, 18 October 2026",,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/platform-engineering-day/
2026-10-18,23:59,Central European Time (UTC+2),2026-10-18T21:59:00Z,cfp_close,exact,Agentics Day: MCP + Agents Europe,Agentics Day: MCP + Agents Europe 2027,open,adaptive-systems;failure-improvement;parallelization,"Sunday, 18 October 2026, at 11:59pm Central European Time (UTC+2)",,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/
2026-10-18,23:59,CET (UTC+2),2026-10-18T21:59:00Z,cfp_deadline,confirmed_as_stated,Agentics Day: MCP + Agents Europe,Agentics Day: MCP + Agents Europe 2027,open,adaptive-systems;failure-improvement;parallelization,"Sunday, October 18, 2026 at 11:59 PM CET (UTC+2)","Source pairs CET with UTC+2; preserve wording because CET normally denotes UTC+1. UTC follows the explicit offset, not the abbreviation.",https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/
2026-10-18,23:59,Central European Time (UTC+2),2026-10-18T21:59:00Z,cfp_close,exact,Cloud Native AI + Inference Day Europe,Cloud Native AI + Inference Day Europe 2027,open,adaptive-systems;retrieval,"Sunday, 18 October 2026, at 11:59pm Central European Time (UTC+2)",,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/
2026-10-18,23:59,Central European Time (UTC+2),2026-10-18T21:59:00Z,cfp,confirmed,Observability Day Europe,Observability Day Europe 2027,open,benchmarks,"October 18, 2026 at 23:59 Central European Time (UTC+2)",,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/
2026-10-18,23:59,Central European Time (UTC+2),2026-10-18T21:59:00Z,cfp_close,exact,Platform Engineering Day Europe,Platform Engineering Day Europe 2027,open,adaptive-systems;retrieval,"Sunday, 18 October 2026, at 11:59pm Central European Time (UTC+2)",,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/
2026-10-19,,,,cfp_deadline,exact,IEEE Global Engineering Education Conference (EDUCON),IEEE EDUCON 2027,open,evidence-learning,Abstract submission deadline: 19 October 2026,Official Education Society page headline and body agree on October 19.,https://ieee-edusociety.org/post/educon-2027-call-abstracts
2026-10-19,23:59,PT,2026-10-20T06:59:00Z,cfp_deadline,exact,WSCUC Accreditation Resource Conference,ARC2027,open,evidence-learning,"October 19, 2026 at 11:59 p.m. PT",UTC conversion uses PDT in effect on this date.,https://www.wscuc.org/arc2027cfp/
2026-10-20,,,,notification,official-conflict,AgenticCon,AgenticCon 2027,open,retrieval,October 20,Same page footer says November 17,https://agenticcon.com/cfp
2026-10-20,,,,notification,confirmed,PlatformCon Live Day San Francisco,PlatformCon Live Day San Francisco 2027,open,failure-improvement;free-tier;parallelization;retrieval,"October 20, 2026",,https://sessionize.com/platformcon-live-day-san-francisco/
2026-10-20,,,,notification,exact-from-edition-context,PlatformCon Live Day San Francisco,PlatformCon Live Day San Francisco 2027,open,failure-improvement;free-tier;parallelization;retrieval,October 20,,https://sanfrancisco.platformcon.com/cfp
2026-10-20,,,,cfp_deadline,exact-context,Sparking Success Faculty Development Conference,Sparking Success 2027,open,evidence-learning,"Deadline to Apply is Tuesday, October 20",Year omitted on page; normalized from the surrounding 2026-2027 academic-year heading and weekday match.,https://celt.tulane.edu/sparking-success
2026-10-23,23:59,CET,2026-10-23T22:59:00Z,cfp_close,exact,AOmA / Adaptive Organizations meet Architecture,AOmA 2027,open,adaptive-systems;retrieval,"October 23, 2026, 23:59 CET","A later organizer LinkedIn post said November 30, 2026. Current official CFP page is treated as authoritative, but the conflict must be rechecked before submission.",https://aoma-conference.com/2027/cfp/
2026-10-23,23:59,CET,,cfp_close,exact-as-stated,AOmA / Adaptive Organizations meet Architecture,AOmA 2027,open,adaptive-systems;retrieval,"October 23, 2026, 23:59 CET",UTC not normalized because Berlin normally observes CEST on this date but source explicitly says CET,https://aoma-conference.com/2027/cfp/
2026-10-30,,AoE (UTC-12h),,abstract_submission,exact,IEEE International Conference on Software Architecture,ICSA 2027 Software Architecture in Practice,open,adaptive-systems,Fri 30 Oct 2026; dates AoE (UTC-12h),No time of day stated on this track page.,https://conf.researchr.org/track/icsa-2027/icsa-2027-software-architecture-in-practice-track
2026-10-30,,,,cfp,confirmed,Taqelah Testing Conference,Taqelah Testing Conference 2027,open,benchmarks;failure-improvement;parallelization,"Friday, 30 October 2026",,https://ttc.taqelah.sg/
2026-10-30,,,,cfp_deadline,confirmed,Taqelah Testing Conference,Taqelah Testing Conference 2027,open,benchmarks;failure-improvement;parallelization,"Friday, 30 October 2026",No time or timezone stated.,https://ttc.taqelah.sg/
2026-10-31,,,,cfp_deadline,exact,INQAAHE Biennial Conference,INQAAHE Conference 2027,open,evidence-learning,31 October 2026,,https://inqaahe2027-doha.org/call-for-proposals/
2026-10-31,23:59,West Europe Standard Time UTC+01:00,2026-10-31T22:59:00Z,cfp_deadline,confirmed,Swiss Testing Day,Swiss Testing Day 2027,open,failure-improvement;parallelization,31 Oct 2026 11:59 PM West Europe Standard Time UTC+01:00,,https://sessionize.com/swiss-testing-day-2027/
2026-11-01,,,,cfp_close,official-conflict,DevOpsDays Los Angeles,DevOpsDays Los Angeles 2027,conflicting-official-pages,free-tier;retrieval,closes 2026-11-01 on global speaking index,Local official propose page says CFP TBD; deadline retained but cannot support submission until form/status reconciled,https://devopsdays.org/speaking/
2026-11-01,,,,cfp_close,official-conflict,DevOpsDays Los Angeles,DevOpsDays Los Angeles 2027,conflicting-official-pages,free-tier;retrieval,closes 2026-11-01 on global speaking index,Local official page says CFP TBD,https://devopsdays.org/speaking/
2026-11-01,23:59,PT,,cfp_close,official-conflict,AgenticCon,AgenticCon 2027,open,retrieval,"Submissions close Nov 1, 11:59 PM PT","Same page key-dates section says October 4, 11:59 PM PT",https://agenticcon.com/cfp
2026-11-02,,,,notification,exact-week,UPCEA Digital Teaching & Learning Conference,2027 UPCEA Digital Teaching & Learning Conference,open,evidence-learning;skeptic-education,Week of November 2,"Week only; ISO stores the first named date, not a promised notification day.",https://conferences.upcea.edu/DTL2027/proposals.html
2026-11-04,,AoE (UTC-12h),,proposal_submission,exact,IEEE International Conference on Software Architecture,ICSA 2027 Software Architecture in Practice,open,adaptive-systems,Wed 4 Nov 2026; dates AoE (UTC-12h),No time of day stated on this track page.,https://conf.researchr.org/track/icsa-2027/icsa-2027-software-architecture-in-practice-track
2026-11-05,,,,notification,confirmed,AI Festival,AI Festival 2027,open,judgment;product-engineering,"Nov. 5th 2026, feedback to all applicants",,https://en.aifestival.it/call/speaker/
2026-11-06,,,,visa_letter_request,exact,CHEA Annual Conference,CHEA 2027 Annual Conference,open,evidence-learning;skeptic-education,"before or by November 6, 2026",Only relevant if an invitation letter is needed,https://www.chea.org/chea-2027-annual-conference-call-proposals
2026-11-06,,,,cfp_deadline,exact,Florida Online Innovation Summit,Florida Online Innovation Summit 2027,announced-not-open,skeptic-education,"November 6, 2026",No time zone stated,https://digitallearning.ucf.edu/ilab/innovation-summit/proposals/
2026-11-10,23:59,ET,2026-11-11T04:59:00Z,cfp_deadline,exact,OLC Innovate,OLC Innovate 2027,announced-not-open,evidence-learning;skeptic-education,"November 10, 2026 (by 11:59pm ET)",UTC conversion uses EST in effect on this date.,https://onlinelearningconsortium.org/conferences/olc-innovate2027/present/
2026-11-10,23:59,ET,2026-11-11T04:59:00Z,cfp_deadline,exact,OLC Innovate,OLC Innovate 2027,announced-not-open,evidence-learning;skeptic-education,"November 10, 2026 (by 11:59pm ET)",UTC conversion assumes Eastern Standard Time,https://onlinelearningconsortium.org/conferences/olc-innovate2027/present/
2026-11-11,16:00,GMT,2026-11-11T16:00:00Z,cfp_deadline,exact,LILAC,LILAC 2027,announced-not-open,evidence-learning,11 November 2026 (16:00 GMT),,https://www.lilacconference.com/lilac-2027/call-for-presentations-1
2026-11-12,,,,notification,confirmed,APQC CONNECT,APQC CONNECT 2027,open,judgment;product-engineering,"November 12, 2026",,https://www.apqc.org/events/2027/apqc-conference/call-for-speakers
2026-11-13,,,,cfp_advance_deadline,exact,Honolulu Education Conference,Honolulu Education Conference 2027,open,evidence-learning;skeptic-education,"Friday, November 13, 2026","This is explicitly an advance deadline, not necessarily final close",https://intesda.org/education-conference/
2026-11-13,,,,cfp_deadline,exact,Honolulu Education Conference,Honolulu Education Conference 2027,open,evidence-learning;skeptic-education,"advance deadline for proposals is Friday, November 13, 2026",Labeled advance deadline; later route not verified.,https://intesda.org/education-conference/
2026-11-13,,,,cfp_deadline,exact,ISLS Annual Meeting / ICLS and CSCL,ISLS Annual Meeting 2027,open,evidence-learning,"November 13, 2026: pre-conference workshop submissions due",Workshop route requires substantial adaptation.,https://2027.isls.org/icls-2027-call-for-proposals/
2026-11-15,,,,cfp_early_decision,exact,Lilly Conference Austin,Lilly Austin 2027,open-rolling,evidence-learning;skeptic-education,"November 15, 2026",Rolling review continues; early decision promises acceptance or revise-and-resubmit feedback.,https://www.lillyconferences-tx.com/proposals
2026-11-15,,,,cfp_deadline,exact,Ohio State Learning Design Day,Ohio State Learning Design Day 2027,open,skeptic-education,"Sunday, November 15th",Year inferred only from 2027 edition context; no time zone stated,https://cete.osu.edu/ohio-state-learning-design-day-call-for-proposals/
2026-11-15,,,,cfp_deadline,exact-context,Ohio State Learning Design Day: Fresh Ideas,Ohio State Learning Design Day 2027,open,evidence-learning,"Sunday, November 15th",Year omitted on page; normalized from 2027 symposium context and weekday match.,https://cete.osu.edu/ohio-state-learning-design-day-call-for-proposals/
2026-11-17,,,,notification,official-conflict,AgenticCon,AgenticCon 2027,open,retrieval,Acceptance emails Nov 17,Same page key-dates section says October 20,https://agenticcon.com/cfp
2026-11-19,23:59,Pacific Time,,cfp,confirmed,SREcon Americas,SREcon27 Americas,open,adaptive-systems;benchmarks;failure-improvement;parallelization;retrieval,"November 19, 2026, 11:59 pm Pacific Time",Numeric UTC offset not stated; UTC deliberately omitted,https://www.usenix.org/conference/srecon27americas/call-for-participation
2026-11-19,23:59,Pacific Time,,cfp_close,exact,SREcon Americas,SREcon27 Americas,open,adaptive-systems;benchmarks;failure-improvement;parallelization;retrieval,"Thursday, November 19, 2026 at 11:59 pm Pacific Time",No numeric offset was stated; UTC conversion intentionally omitted.,https://www.usenix.org/conference/srecon27americas/call-for-participation
2026-11-19,23:59,Pacific Time,,cfp_close,exact-as-stated,SREcon Americas,SREcon27 Americas,open,adaptive-systems;benchmarks;failure-improvement;parallelization;retrieval,"Thursday, November 19, 2026 at 11:59 pm Pacific Time",,https://www.usenix.org/conference/srecon27americas/call-for-participation
2026-11-19,23:59,Pacific Time,,cfp_deadline,confirmed,SREcon Americas,SREcon27 Americas,open,adaptive-systems;benchmarks;failure-improvement;parallelization;retrieval,"Thursday, November 19, 2026, 11:59 p.m. Pacific Time",Source does not specify PST/PDT abbreviation; UTC not normalized.,https://www.usenix.org/conference/srecon27americas/call-for-participation
2026-11-20,,,,abstract_submission,exact,Think!AI Summit,Think!AI Summit 2027,announced-not-open,adaptive-systems;benchmarks,"Abstract Submission Due Date: November 20, 2026",Intake is announced-not-open as of verification.,https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers
2026-11-20,,,,cfp,confirmed,Think!AI Summit,Think!AI Summit 2027,announced-not-open,adaptive-systems;benchmarks,"November 20, 2026",Call is announced but page says intake will open soon,https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers
2026-11-23,,,,notification,exact,AOmA / Adaptive Organizations meet Architecture,AOmA 2027,open,adaptive-systems;retrieval,"Final notice ... November 23, 2026",,https://aoma-conference.com/2027/cfp/
2026-11-23,,,,notification,exact,AOmA / Adaptive Organizations meet Architecture,AOmA 2027,open,adaptive-systems;retrieval,"Final notice ... by November 23, 2026",,https://aoma-conference.com/2027/cfp/
2026-11-30,23:59,W. Europe Standard Time UTC+01:00,2026-11-30T22:59:00Z,rolling_route_end,confirmed,PyData Venice,PyData Venice 2026 series,rolling,failure-improvement;parallelization,30 Nov 2026 11:59 PM W. Europe Standard Time UTC+01:00,,https://sessionize.com/pydata-venice
2026-12-07,,,,notification,exact,KubeCon + CloudNativeCon Europe,KubeCon + CloudNativeCon Europe 2027,open,adaptive-systems;benchmarks;failure-improvement;free-tier;parallelization;retrieval,"Monday, 7 December",,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/
2026-12-07,,,,notification,confirmed,KubeCon + CloudNativeCon Europe,KubeCon + CloudNativeCon Europe 2027,open,adaptive-systems;benchmarks;failure-improvement;free-tier;parallelization;retrieval,"December 7, 2026",,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/
2026-12-07,,,,notification,exact,KubeCon + CloudNativeCon Europe,KubeCon + CloudNativeCon Europe 2027,open,adaptive-systems;benchmarks;failure-improvement;free-tier;parallelization;retrieval,"Monday, 7 December",Year supplied by 2027 edition context,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/
2026-12-09,,,,materials,confirmed,KubeCon + CloudNativeCon Europe,KubeCon + CloudNativeCon Europe 2027,open,adaptive-systems;benchmarks;failure-improvement;free-tier;parallelization;retrieval,"Schedule announced December 9, 2026",,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/
2026-12-09,,,,schedule_announcement,exact,KubeCon + CloudNativeCon Europe,KubeCon + CloudNativeCon Europe 2027,open,adaptive-systems;benchmarks;failure-improvement;free-tier;parallelization;retrieval,"Wednesday, 9 December",,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/
2026-12-09,,,,schedule_announcement,confirmed,KubeCon + CloudNativeCon Europe,KubeCon + CloudNativeCon Europe 2027,open,adaptive-systems;benchmarks;failure-improvement;free-tier;parallelization;retrieval,"December 9, 2026",,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/
2026-12-10,,,,speaker_confirmation,exact,UPCEA Digital Teaching & Learning Conference,2027 UPCEA Digital Teaching & Learning Conference,open,evidence-learning;skeptic-education,December 10,,https://conferences.upcea.edu/DTL2027/proposals.html
2026-12-10,,,,speaker_registration,exact,UPCEA Digital Teaching & Learning Conference,2027 UPCEA Digital Teaching & Learning Conference,open,evidence-learning;skeptic-education,register for the conference by December 10,,https://conferences.upcea.edu/DTL2027/proposals.html
2026-12-10,,,,cfp_deadline,confirmed,UXDX,UXDX New York 2027,open,judgment;product-engineering,Apply by 10 Dec 2026,No time or timezone stated.,https://uxdx.com/speak/
2026-12-11,,,,cfp_deadline,confirmed,Data Summit,Data Summit 2027,open,failure-improvement;parallelization,"December 11, 2026",No time or timezone stated.,https://www.dbta.com/DataSummit/2027/CallForSpeakers.aspx
