source_group,opportunity_name,location,mode,topic_fit,application_route,next_date_raw,next_date,popularity_evidence,ease_score,unknowns,source_urls,primary_talk_id,location_preference,popularity_score,composite_score
Denver/Colorado,Boulder Ruby,Boulder; in person or remote,remote/online,"Product, Judgment, Failure, Parallelization, Adaptive; needs a software-development or Ruby-adjacent framing",The group says it is always looking for speakers and publishes a direct email/contact route. Presenting details,No next date posted,,"Typical audience is explicitly 15–40; full talks are 15–35 minutes and lightning talks 5–10. The archive includes machine learning, Kubernetes, and OpenTelemetry, so talks need not be narrowly Ruby. Boulder Ruby",1,,https://boulder-ruby.org/#presenting;https://boulder-ruby.org/,product-engineering,1,1,2.145
Denver/Colorado,Colorado Startup Week,"Downtown Denver; in person, free",in-person,"Product, Judgment, Free tier, Education, Adaptive, and Benchmarks for founders/operators","2026 programming is set. The official site offers independent community events, venue-host and volunteer routes, plus info@costartupweek.com; no currently open speaker form was found. Get involved",2026-09-14 to 2026-09-18,2026-09-14,"Founded in 2012; official figures are 10,000+ annual attendees, 250+ sessions, and 200+ community events. Official event page",3,,https://www.costartupweek.com/get-involved;https://www.costartupweek.com/,product-engineering,1,2,2.395
Denver/Colorado,OLLI at the University of Denver,Six Denver-metro sites and Zoom; adult lifelong learning,in-person,"Education and Judgment are strongest; Product, Free tier, and broad AI literacy can work as multi-session courses",Submit a course proposal through the Facilitator Portal; the office provides guidance and proposal deadlines. Facilitator FAQ and contact,Current “I Am Not a Robot” AI series runs 2026-09-16 to 2026-11-04 and is full; next facilitator deadline not published,2026-09-16,"Approximately 2,000 members; hundreds of courses yearly, 120+ institute network, 40% in person and the remainder online. The current eight-session AI series is full. OLLI program and AI series listing",2,,https://olli.du.edu/olli/about/;https://olli.du.edu/olli/;https://ollidenver.du.edu/duolli/course/course.aspx?catId=206,adaptive-systems,1,4,1.83
Denver/Colorado,CU Boulder ATLAS Colloquium,CU Boulder ATLAS; usually in person plus Zoom,in-person,"Education, Product, Judgment, Adaptive, and human-centered Retrieval","Curated by the named faculty organizer; the series page is the public route, but no open speaker form is published","Tuesdays during fall and spring; the page’s detailed schedule still shows Spring 2026, so the next exact date is unknown",,"Weekly academic/industry series; free and open to the public, often recorded, with a long archive. No attendance count is published. ATLAS",4,,https://www.colorado.edu/atlas/atlas-colloquium,skeptic-education,1,1,2.745
Denver/Colorado,CU Denver Data Science & AI Symposium,CU Denver Business School; in person,in-person,"Benchmarks, Retrieval, Adaptive, Parallelization, Education, and Failure",2026 call is closed; the official archive shows registration-based proposal submission for oral or poster review. Monitor the DSAI events page and 2026 symposium archive,Next edition unknown; 2026 event was April 10,,"University-wide symposium with keynote, panels, oral presentations, posters, student competition, and explicit AI-in-education programming. No attendance count is published. CU Denver archive",4,,https://datascience.ucdenver.edu/events;https://datascience.ucdenver.edu/events/events-archive/symposium-2026,benchmarks,1,1,2.745
Denver/Colorado,ACM Mile-High Video 2027,Denver Botanic Gardens; in person,in-person,"Benchmarks is an unusually strong fit if adapted to media quality; Adaptive, Retrieval, and Failure fit only with real video/media examples","Submit a one-page, 300+ word extended abstract through HotCRP from the official CFP by 2026-10-09 AoE",2027-02-23 to 2027-02-25,2027-02-23,"ACM calls it a flagship industry-oriented conference held in Denver since 2016; archives span 2018–2026. Talks are 15–20 minutes, recorded, and selected by confidential peer review. Official CFP",5,,https://www.mile-high.video/call-for-contributions,benchmarks,1,1,2.945
Denver/Colorado,CITA 2027 Annual Conference,Denver; in person,in-person,"Retrieval or Education through translation, language access, multilingual AI, and human judgment",Public proposal form is linked from the official call; submissions are open 2026-09-01 through 2026-11-21,2027-05-22 to 2027-05-23,2027-05-22,"Recurring professional association conference with sessions, workshops, panels, and roundtables; selection considers professional qualifications and CEU relevance. Official call",5,,https://citacolorado.org/events/call_proposals_conf-2027/,retrieval,1,2,2.795
Denver/Colorado,fintech_devcon 2027,Boulder; in person,in-person,"Product, Judgment, Adaptive, Benchmarks, Retrieval, Failure, and Parallelization—only with a real fintech roadblock",Official speaker form closes 2027-03-01 at 11:59 p.m. PST,2027-08-02 to 2027-08-04,2027-08-02,Multi-year video archive from 2021–2026; explicit no-sales developer focus. Formats are 45-minute roadblock talks and 90-minute workshops. Official event page,5,,https://fintechdevcon.io/call-for-speakers/;https://fintechdevcon.io/,product-engineering,2,2,3.095
Denver/Colorado,Springs Data & AI,Colorado Springs; in person,in-person,"Adaptive, Retrieval, Benchmarks, Education, and general AI literacy",Message organizers on the Meetup page; no formal speaker form found,No future event posted,,"459 members, 92 ratings, 123 past events. The group explicitly supports guest presentations and workshops, but recent gatherings show only 4–7 attendees. Meetup",2,,https://www.meetup.com/springs-data-and-ai/,adaptive-systems,2,2,2.495
Denver/Colorado,The AI Exchange,"Exponential Impact, Colorado Springs; monthly, in person",in-person,"Free tier, Product, Education, Judgment, and practical small-business AI",The program uses a one-hour guest speaker each month; use Exponential Impact’s public event/contact route. Series page,First Thursday monthly; next exact edition not listed,,Free recurring series with a full hour reserved for an expert/practitioner. No attendance or member count is published. Exponential Impact,3,,https://exponentialimpact.com/events/the-ai-exchange/,free-tier,2,2,2.695
Preferred US cities,Boston AI Developers Group / AI Camp,"Boston; in person, with some networked online events",remote/online,"Adaptive, Retrieval, Benchmarks, Parallelization, Failure, and Product",The organizer-managed page explicitly invites prospective speakers to reach out; use Message organizers or the linked AI Camp site. Meetup,"2026-09-29, agentic-AI workshop at AWS Boston",2026-09-29,"6,265 members and 457 ratings; programming includes talks, workshops, and code labs. Meetup",2,"No general proposal form, talk length, compensation, travel support, or selection schedule is published.",https://www.meetup.com/aittg-boston/,adaptive-systems,1,5,1.745
Preferred US cities,NYC AI Developers Group / AI Camp,New York City; primarily in person,in-person,"Adaptive, Retrieval, Benchmarks, Parallelization, Failure, Free tier, and Product","Current listings include a Submit Topics route, and the group page invites speakers to reach out. Meetup","2026-09-17, enterprise AI meetup with Snowflake",2026-09-17,"12,221 members and 767 ratings. The September listing specifically asks for speaker topics about context, semantics, and downstream agent evaluation. Meetup",2,"Proposal review cadence, format, travel, compensation, and whether the visible form is event-specific.",https://www.meetup.com/aittg-nyc/,adaptive-systems,1,5,1.745
Preferred US cities,AI Tinkerers New York City,New York City; in person,in-person,"Adaptive, Retrieval, Benchmarks, Parallelization, and Failure as live code or a working prototype","Register for an event, then submit its demo form if enabled. A prior official form used five-minute, no-deck demos and selected four or five presenters. Current chapter · speaker-form example","2026-09-12, global agent hackathon; no ordinary talk slot is confirmed",2026-09-12,Thirty-six events in the prior twelve months; a July rooftop demo day displayed 302+ participants. NYC chapter,4,"The September event's speaking mechanism, demo requirements, and selection capacity.",https://nyc.aitinkerers.org/;https://nyc.aitinkerers.org/meetup/mu_uWkslloSfU4/speaking,adaptive-systems,1,2,2.595
Preferred US cities,New Tech Seattle,"Seattle; monthly in person, plus separate virtual programming",remote/online,"Product, Judgment, Free tier, Failure, Education, and broad versions of the technical talks",The first-party site says community members can present at monthly meetups; use its public community/contact route. About New Tech Northwest,"2026-09-15, New Tech Seattle Meetup",2026-09-15,"More than 60,000 community members, over thirteen years of history, hundreds of showcased companies, and typical monthly attendance above 200. About · Meetup",3,"No dedicated presenter form, duration, editorial criteria, or speaker economics were found. Startup/product showcases may be favored over independent talks.",https://www.newtechnorthwest.com/about/;https://www.meetup.com/seattletechmeetup/,product-engineering,1,5,1.945
Preferred US cities,AI Tinkerers San Francisco,San Francisco; in person,in-person,"Adaptive, Retrieval, Benchmarks, Parallelization, and Failure as live systems","Apply through each event's demo form. Typical slots are five minutes, implementation-first, no deck, and no product pitch. Chapter · proposal example","2026-09-12, global agent hackathon; this is not a conventional talk night",2026-09-12,"A June security event had 266+ registrations for a 150-person curated room and said events consistently reach capacity; sponsors and hosts have included AWS, Google Cloud, NVIDIA-adjacent builders, and specialist AI companies. June event",5,"Next ordinary demo night, proposal opening, travel-speaker policy, and acceptance timing.",https://sf.aitinkerers.org/;https://sf.aitinkerers.org/meetup/mu_kB86QdjsmLY/speaking;https://sf.aitinkerers.org/p/ai-tinkerers-san-francisco-offensive-security-demo-night,adaptive-systems,1,2,2.795
Preferred US cities,ProductTank San Francisco,San Francisco; in person,in-person,"Product, Judgment, Failure, Free tier, Adaptive, and Benchmarks",Join Mind the Product's public speaker directory so local organizers can find the talk; the chapter also exposes organizer messaging. Speaker directory route · chapter,No future date was verified,,"7,075 members and 716 ratings; the chapter describes itself as one of San Francisco's largest product meetups. ProductTank operates in more than 200 cities. Chapter",3,"Current local programming cadence, slot length, local selection process, and whether directory entries can name several talks.",https://www.mindtheproduct.com/producttank/;https://www.meetup.com/producttank-sf/,product-engineering,1,5,1.945
Preferred US cities,San Diego Python,San Diego in person; remote speakers accepted,remote/online,"Failure, Adaptive, Retrieval, Benchmarks, Parallelization, Product, and Free tier with a Python or engineering example",Direct public Present at our meetup form. The normal ask is a five-to-seven-minute talk; longer talks are possible with approval. Official site,"No exact future monthly date was posted; the group says it meets on the fourth Thursday, but a date was not inferred",,"5,573 members, 1,524 ratings, and 869 past Meetup events; monthly venue support from Qualcomm and food sponsorship from Cloudflare. Meetup",1,"Next confirmed speaker agenda, maximum approved duration, selection timing, and any help for travel presenters.",https://www.sandiegopython.org/;https://www.meetup.com/pythonsd/,failure-improvement,1,5,1.545
Preferred US cities,AI Tinkerers San Diego,San Diego; in person,in-person,"Adaptive, Retrieval, Benchmarks, Parallelization, and Failure as working demos",Use the event-level Submit Your Demo Proposal route. Prior calls asked for five-to-seven-minute live implementation demos and deep technical Q&A. Chapter · Google-hosted example,"2026-09-12, global agent hackathon; no ordinary speaking slot is confirmed",2026-09-12,"Eight recent events; the February Google event displayed 219+ registrations, and the January event displayed 121+. Chapter",4,"Next demo-night date, current proposal form, capacity, and travel-speaker handling.",https://san-diego.aitinkerers.org/;https://san-diego.aitinkerers.org/p/ai-tinkerers-san-diego-february-meetup-at-google,adaptive-systems,1,2,2.595
Preferred US cities,FrontEndParty,New Orleans; monthly in person,in-person,"Product, Judgment, Failure, Free tier, Adaptive, and Parallelization; the engineering talks need a web/developer-workflow angle",The group has an explicit Apply to present route. Current programming uses one five-to-fifteen-minute feature speaker plus show-and-tell and collaborative debugging. Meetup,2026-09-08 at Scale New Orleans,2026-09-08,"1,761 members, 103 ratings, and 127 past events. The group has run a recurring local presentation format for years. Meetup",1,"The public form target was not independently opened, attendance has recently been small, and travel support is unknown.",https://www.meetup.com/frontendparty/,product-engineering,1,4,1.695
Preferred US cities,AI Friday New Orleans,New Orleans; monthly in person,in-person,"Education, Product, Judgment, Free tier, and accessible versions of Adaptive or Failure",No speaker form is published. Use the public email or community Slack listed under Get in Touch to ask about a future working-session contribution. AI Friday,2026-09-18; details were still pending,2026-09-18,"A current monthly cadence and continuing briefs/Slack are visible, but the organizer publishes no member or attendance count. AI Friday",2,"Audience size, talk format, speaker selection, location, and whether guest presentations are part of the September meeting.",https://aifri.day/,skeptic-education,1,2,2.195
Preferred US cities,Tech Alley Vegas,"Downtown Las Vegas; third Saturday monthly, in person",in-person,"All ten, routed to the appropriate constituent meetup; strongest for Product, Free tier, Judgment, Adaptive, and Failure","Use Tech Alley's public community/partner route or approach a listed constituent meetup for an agenda slot. It is a “meetup of meetups,” not one editorial stage. Official site · Meetup",2026-09-19,2026-09-19,"4,265 Meetup members and 561 ratings; an average of 150 attendees, up to fifteen meetups per event, and more than 200 meetups across the Tech Alley network. Meetup",3,"Which September track still has space, session lengths by subgroup, and whether out-of-town talks are accepted.",https://www.techalley.org/;https://www.meetup.com/tech-alley/,product-engineering,1,2,2.33
Preferred US cities,Vegas Programmers,Las Vegas; third Saturday at Tech Alley,in-person,"Product, Failure, Adaptive, Retrieval, Benchmarks, Parallelization, Judgment, and Free tier",The group publishes a direct Present your idea at Demo Time route. Vegas Programmers,2026-09-19 is supported by the group's third-Saturday cadence and Tech Alley's published September event,2026-09-19,Monthly recurrence and a built-in Tech Alley audience are verified; no separate member or attendance count is published on the group's official site. Vegas Programmers · Tech Alley Meetup,1,"Demo length, September availability, selection method, and whether the requested talk must include code.",https://www.phpvegas.com/;https://www.meetup.com/tech-alley/,product-engineering,1,2,1.995
Preferred US cities,ProductTank Los Angeles,Los Angeles/Pasadena; in person,in-person,"Product, Judgment, Failure, Free tier, Adaptive, and Benchmarks",Join the public ProductTank speaker directory; the local Meetup also supports organizer messaging. Speaker route · chapter,"2026-09-09, product strategy in the AI era",2026-09-09,"2,552 members, 153 ratings, and 31 past events. The September event showed 94 attendees and six seats remaining when checked. Meetup",3,"Local speaker review cadence, slot length, economics, and whether the September program is already final.",https://www.mindtheproduct.com/producttank/;https://www.meetup.com/producttank-los-angeles/,product-engineering,1,4,2.095
Preferred US cities,AI LA,"Los Angeles; third-Thursday monthly format, in person",in-person,"Education, Judgment, Product, Adaptive, Free tier, and Failure",The organizer-managed page explicitly asks people to get in touch to showcase a project; use its mailing-list/contact route or Message organizers. Meetup,No future date was verified,,"2,917 members, 401 ratings, and 318 past events; the group states a monthly discussion/debate cadence. Meetup",2,"Recent visible events are sparse, and no public talk form, duration, or current agenda is published. Verify that monthly stage programming is active.",https://www.meetup.com/ai-la-meetup/,skeptic-education,1,4,1.895
Preferred US cities,ProductTank Chicago,Chicago; in person,in-person,"Product, Judgment, Failure, Free tier, Adaptive, and Benchmarks",Join Mind the Product's public speaker directory or message the local organizers. Speaker route · chapter,No future date was posted,,"4,881 members, 316 ratings, and 40 past events; its May 2026 product-leadership forum reported 150 attendees. Meetup",3,"Current calendar, local review process, duration, and speaker economics.",https://www.mindtheproduct.com/producttank/;https://www.meetup.com/producttank-chicago/,product-engineering,1,4,2.095
Preferred US cities,ACM Austin: Enterprise AI & Engineering,Austin; in person with some online programming,remote/online,All eight engineering/product talks; Education also fits with a computing-education or integrity angle,"Direct rolling Sessionize route: submit a talk. The group openly asks for real-world talks, demos, or research. Meetup","2026-09-17, AI agents workshop; a community-talk night is listed for 2026-10-28",2026-09-17,"1,771 members and 139 ratings; recent community-talk nights reported 96 and 101 attendees. The group is part of ACM's local network. Meetup",1,"Whether the October agenda still has space, selection timing, recording, and travel support.",https://sessionize.com/austin-acm-meetup/;https://www.meetup.com/acm-austin/,product-engineering,1,4,1.695
Preferred US cities,ProductCamp Austin,Austin; annual in-person unconference,in-person,"Product, Judgment, Failure, Free tier, Education, and accessible versions of Adaptive or Benchmarks","Public Submit a Session route. One proposal per person; sessions are thirty minutes including Q&A, followed by a thirty-second pitch and attendee vote. ProductCamp Austin",2026-09-19 at UT McCombs,2026-09-19,"A full-day, peer-led community event with a public session slate and UT McCombs venue; attendee count was not published. Its site shows a recurring numbered edition, PCA35. Official site",2,"Submission cutoff, registration capacity, remote participation, and whether non-local proposals are common.",https://www.productcampaustin.org/,product-engineering,1,2,2.195
Preferred US cities,Artificial Intelligencers,Nashville/Brentwood; recurring in person,in-person,"All ten, especially Adaptive, Retrieval, Benchmarks, Failure, and Education with a concrete experiment",Message the organizers on Meetup or use the public Discord. They maintain a list of people who want to share; presentations and demos run fifteen to twenty minutes. Meetup,"2026-09-24, “Field Reports”",2026-09-24,"527 members, 55 ratings, and 13 past events; recent meetings reported 56 and 38 attendees. It is ACM-affiliated and explicitly welcomes beginner through expert contributors. Meetup",1,"September agenda availability, travel support, recording, and whether a slide talk needs a live demonstration.",https://www.meetup.com/nashville-ai-engineering/,adaptive-systems,1,3,1.78
Preferred US cities,Orlando Developers,Orlando; in person,in-person,"Product, Failure, Adaptive, Retrieval, Benchmarks, Parallelization, Judgment, and Free tier",No standing speaker form was found. Use the public organizer-message route on Meetup or the official Discord; the group runs technical talks and learning sessions. Meetup · community site,No next formal talk date was verified,,"8,545 members, 1,004 ratings, and 128 past events. A June agentic-engineering meetup reported 115 attendees, and recent socials reported 63–85. Meetup",2,"Next technical-program date, submission expectations, duration, and whether the organizer prioritizes local speakers.",https://www.meetup.com/orlandodevs/;https://www.orlandodevs.com/,product-engineering,1,5,1.745
Preferred US cities,AI Tinkerers Miami,Miami; in person,in-person,"Adaptive, Retrieval, Benchmarks, Parallelization, and Failure as live demos","Use the event-specific demo proposal when exposed. The 2026 kickoff requested approximately five-minute live implementations, no deck, with one architecture diagram allowed. Miami chapter · proposal example",No future ordinary demo night was verified,,"The kickoff was capped at fifty screened builders and backed by Agentuity and The LAB Miami. The broader network reports 125,000+ members and 103 active cities in the prior six months. Kickoff · network",4,"Chapter cadence, next date, current intake, acceptance timing, and travel-speaker policy.",https://miami.aitinkerers.org/;https://miami.aitinkerers.org/p/ai-tinkerers-miami-meetup-the-2026-builder-kickoff;https://aitinkerers.org/organize-a-city,adaptive-systems,1,5,2.145
Preferred US cities,Refresh Miami,Miami; in person events plus a Luma community calendar,in-person,"Product, Judgment, Free tier, Education, and broad AI/engineering talks","Refresh publishes a public partnership/contact route and a Luma Submit Event calendar, but no general speaker application. Treat it as an ecosystem gateway or co-produced-event route, not a talk CFP. Resources · Luma calendar",No next Refresh-produced speaking event was verified,,"Founded in 2006; 16,000+ newsletter/community audience and a current Miami tech calendar. Resources",4,"Editorial speaker intake, costs or partnership terms, audience for a co-produced event, and whether independent talks are accepted.",https://refreshmiami.com/resources/;https://luma.com/calendar/cal-RhCajCKfYo0ES7M,product-engineering,1,1,2.745
Overseas from March 2027,AI Tinkerers London,"London, UK; in person",in-person,"FI, AS, RT, BM, PA; only if converted into a live technical demo","Event-specific “Submit Your Demo Proposal”; typically five-minute, no-slide, no-pitch demos",Recurring; no March–June 2027 date published,,"Organizer reports 5,712 members, 249 demos submitted and 89 presented; a 2026 event was co-hosted with MongoDB and highlights members from major AI companies",3,"Full 15/40-minute talks do not fit without a working demo and sharp cut; future date, travel and speaker economics unknown. London community and stats, speaker-form example",https://london.aitinkerers.org/p/ai-tinkerers-x-mongodb-demopalooza;https://london.aitinkerers.org/meetup/mu_fSuUJgNAXNQ/speaking,failure-improvement,4,5,2.845
Overseas from March 2027,AI Tinkerers Paris,"Paris, France; in person",in-person,"FI, AS, RT, BM, PA as five-minute demos",Event-specific technical-demo proposal and organizer contact,Recurring; no 2027 date published,,"Organizer reports 4,263 members and 131 demos submitted; the 2026 RAISE series had Docker, Ippon and ClickHouse involvement and a 150-person cap",3,"Requires code, architecture or a live pipeline; no slide-only talk. Future calendar, language expectation and economics unknown. Paris route, format and stats",https://paris.aitinkerers.org/p/docker-raise,failure-improvement,4,4,2.995
Overseas from March 2027,AI Tinkerers Berlin,"Berlin, Germany; in person",in-person,"AS, FI, RT, BM, PA, technical JU",Public “Submit Your Talk Proposal” / demo route on event pages,Recurring; no 2027 date published,,"Organizer reports 2,320 members, 201 demos submitted and 91 presented; June 2026 drew 308+ registrations and sponsors included OpenAI, Langdock and Everyday",2,"Proposal expects a technical walkthrough and project/company details. Future date, slot length beyond demo wording and economics unknown. Berlin event, route and stats",https://berlin.aitinkerers.org/p/ai-tinkerers-berlin-june-17-2026,adaptive-systems,4,4,2.795
Overseas from March 2027,AI Tinkerers Toronto,"Toronto, Canada; in person",in-person,"FI, AS, RT, BM, PA; demo-driven JU","Event-specific “Submit Your Demo Proposal,” normally six-minute work-in-progress demo",Recurring; no 2027 date published,,"Organizer reports 5,376 members, 417 demos submitted and 111 presented; April 2026 at Shopify recorded 672+ registrations and May was supported by NVIDIA",3,"Strict short-demo format; working technical artifact required. Future date, expenses and selection lead time unknown. Toronto stats and April event, demo form example",https://toronto.aitinkerers.org/p/ai-tinkerers-toronto-april-2026-hosted-by-shopify;https://toronto.aitinkerers.org/meetup/mu_5TiLKlZfuos/speaking,failure-improvement,4,5,2.845
Overseas from March 2027,AI Tinkerers Amsterdam,"Amsterdam, Netherlands; in person",in-person,"FI, AS, RT, BM, PA",Event-specific proposal; past pages accepted seven-minute demos and 15–20-minute technical talks,Recurring; no 2027 date published,,"Organizer reports 880 members, 66 demos submitted and 58 presented; May 2026 had 71+ registrations and speakers from MotherDuck, Booking.com and Philips",2,"Current future form was not open when checked; each edition sets its own format. Economics and 2027 dates unknown. Amsterdam event, route and stats, future-proposal status example",https://amsterdam.aitinkerers.org/p/ai-tinkerers-amsterdam-x-motherduck-may-demo-night;https://amsterdam.aitinkerers.org/meetup/mu_kd5NnDpFtSg/speaking,failure-improvement,4,3,2.945
Overseas from March 2027,AI Tinkerers Singapore,Singapore; in person,in-person,"FI, AS, RT, BM, PA, technical FT",Event-specific live-demo proposal,Recurring; no 2027 date published,,"Organizer reports 1,519 members, 116 demos submitted and 95 presented; 2026 event capped attendance at 100 and said the series consistently ran with a waitlist",3,"Five-to-seven-minute live demo, active-project proof and screened attendance; no slide-only talk. Future calendar and speaker support unknown. Singapore route, format and stats",https://singapore.aitinkerers.org/p/ai-tinkerers-x-elevenlabs-side-quests-demo-night,failure-improvement,4,4,2.995
Overseas from March 2027,MLOps Community London / European chapters,"London plus Amsterdam, Munich, Edinburgh, Helsinki, Milan, Lisbon and other chapters; in person and online",remote/online,"FI, AS, RT, BM, PA, technical JU","Join the global community/Slack; speaker suggestions and chapter event contacts are public, but no universal proposal form was verified",Recurring; 2027 dates not published,,"Organizer reports 90,000+ global developers; the official archive shows recurring London and European events, including Agents in Production and MLOps Days; a London Luma edition reached a waitlist",3,"Chapter-specific route, duration, selection and expenses unknown. Do not assume global membership equals local attendance. MLOps Community, official event archive, London waitlist example",https://mlops.community/;https://app.mlops.community/events/past;https://lu.ma/l6elek9y,failure-improvement,1,2,2.395
