composite_rank,composite_score,source_type,opportunity_name,edition_or_route,location,mode,event_start_date,cfp_status,deadline_date,primary_talk_id,primary_talk,backup_talk_id,topic_fit,known_points,evidence_coverage_percent,effective_fit_score,fit_penalty,location_preference,location_basis,application_ease,ease_basis,popularity_score,popularity_basis,timing_score,timing_basis,application_route,next_action,constraints_unknowns,source_url
11,1.74,conference/event,PlatformCon,PlatformCon Flagship Week 2027,"London; New York; online, UK; USA; online",hybrid,2027-06-22,announced-not-open,,free-tier,Cry Me a Free Tier,,Official theme says the age of AI runs on platform engineering; virtual reach and archive reuse are strong.,87.0,76.0,66.1,2.36,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,5,"Public organizer/platform signal of at least 280,000 members, registrations, attendees, or reach.",3,Open or rolling route without a confirmed actionable deadline.,unknown,Monitor the official site for the flagship CFP and prepare a platform-product version with reusable worksheet.,FINALIST; no public 2027 CFP details found; London/New York/virtual submission topology unknown | Whether one submission covers virtual/London/New York; CFP dates; formats; economics; travel,https://platformcon.com/
12,1.745,community/meetup,Boston AI Developers Group / AI Camp,Preferred US cities,"Boston; in person, with some networked online events",remote/online,2026-09-29,public form/contact route,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"Adaptive, Retrieval, Benchmarks, Parallelization, Failure, and Product",82,80,65.6,2.38,1,Remote or online participation is available.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,5,"Public organizer/platform signal of at least 6,265 members, registrations, attendees, or reach.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,The organizer-managed page explicitly invites prospective speakers to reach out; use Message organizers or the linked AI Camp site. Meetup,Review the public route and decide whether to prepare the indicated talk or demo format.,"No general proposal form, talk length, compensation, travel support, or selection schedule is published.",https://www.meetup.com/aittg-boston/
13,1.745,community/meetup,NYC AI Developers Group / AI Camp,Preferred US cities,New York City; primarily in person,in-person,2026-09-17,public form/contact route,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"Adaptive, Retrieval, Benchmarks, Parallelization, Failure, Free tier, and Product",82,80,65.6,2.38,1,Exact preferred city.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,5,"Public organizer/platform signal of at least 12,221 members, registrations, attendees, or reach.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,"Current listings include a Submit Topics route, and the group page invites speakers to reach out. Meetup",Review the public route and decide whether to prepare the indicated talk or demo format.,"Proposal review cadence, format, travel, compensation, and whether the visible form is event-specific.",https://www.meetup.com/aittg-nyc/
14,1.745,community/meetup,Orlando Developers,Preferred US cities,Orlando; in person,in-person,,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product, Failure, Adaptive, Retrieval, Benchmarks, Parallelization, Judgment, and Free tier",82,80,65.6,2.38,1,Exact preferred city.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,5,"Public organizer/platform signal of at least 8,545 members, registrations, attendees, or reach.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,No standing speaker form was found. Use the public organizer-message route on Meetup or the official Discord; the group runs technical talks and learning sessions. Meetup · community site,Review the public route and decide whether to prepare the indicated talk or demo format.,"Next technical-program date, submission expectations, duration, and whether the organizer prioritizes local speakers.",https://www.meetup.com/orlandodevs/
15,1.78,community/meetup,Artificial Intelligencers,Preferred US cities,Nashville/Brentwood; recurring in person,in-person,2026-09-24,public form/contact route,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"All ten, especially Adaptive, Retrieval, Benchmarks, Failure, and Education with a concrete experiment",90,80,72.0,2.12,1,Exact preferred city.,1,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,3,Public organizer/platform signal of at least 527.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Message the organizers on Meetup or use the public Discord. They maintain a list of people who want to share; presentations and demos run fifteen to twenty minutes. Meetup,Review the public route and decide whether to prepare the indicated talk or demo format.,"September agenda availability, travel support, recording, and whether a slide talk needs a live demonstration.",https://www.meetup.com/nashville-ai-engineering/
16,1.82,conference/event,Data Summit,Data Summit 2027,"Boston, United States",in-person,2027-05-11,open,2026-12-11,parallelization,Rethinking Parallelization in the Agentic Era,failure-improvement,"Agentic AI and operational-data tracks are relevant, although the audience is broader than agent orchestration.",81.0,90.0,72.9,2.08,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,4,Established recurring conference or community series with visible program history.,3,Confirmed deadline in 97 days.,"Proposal for conference tracks including agentic AI, data engineering and operational AI.",Inspect the technical track requirements and submit only if a practitioner architecture slot fits by December 11.,"Format, economics and specific past-session evidence remain incomplete. | Format, economics, rights, accessibility, attendance and eligibility details unknown.",https://www.dbta.com/DataSummit/2027/CallForSpeakers.aspx
17,1.83,community/meetup,AI & Product Colorado,Denver/Colorado,"Boulder and Denver; monthly, in person",in-person,2026-09-14,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product is the direct hit; Judgment, Benchmarks, Adaptive, and Failure also fit product decision-making",90,80,72.0,2.12,1,Exact preferred city.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,4,"Public organizer/platform signal of at least 1,842.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Message organizers on the Meetup page. No general speaker form found.,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://www.meetup.com/meetup-group-ai-and-product/
18,1.83,community/meetup,OLLI at the University of Denver,Denver/Colorado,Six Denver-metro sites and Zoom; adult lifelong learning,in-person,2026-09-16,public form/contact route,,skeptic-education,A Skeptic's Guide to Surviving AI in Education,,"Education and Judgment are strongest; Product, Free tier, and broad AI literacy can work as multi-session courses",90,80,72.0,2.12,1,Remote or online participation is available.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,4,"Public organizer/platform signal of at least 2,000.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Submit a course proposal through the Facilitator Portal; the office provides guidance and proposal deadlines. Facilitator FAQ and contact,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://olli.du.edu/olli/about/
19,1.833,conference/event,Lilly Conference Austin,Lilly Austin 2027,"Austin, United States",in-person,2027-05-17,open-rolling,2026-11-15,evidence-learning,"Outsmart Your Lying, Cheating Students",skeptic-education,"The edition is explicitly about AI and evidence-based teaching, with exact AI, assessment, and course-redesign tracks.",92.0,78.0,71.8,2.13,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,4,Established recurring conference or community series with visible program history.,3,Confirmed deadline in 71 days.,10-word title; 25-word key statement; 100-word abstract; three outcomes; two tracks; 3-5 references,"Prepare the compact 100-word abstract, three outcomes, and research references; submit before the November 15 early-decision date.","FINALIST; rolling call may close before January 15; requires 3-5 literature references; travel/economics unknown | CFP can close early; registration costs, compensation, travel, rights, and specific past-session evidence unknown. | Deadline absent from reviewed page; CFP form URL, durations, economics, rights, accessibility, and Dan's affiliation unknown | MERGE CONFLICTS/VARIANTS — edition_url: https://www.lillyconferences-tx.com/proposals | https://www.lillyconferences.com/; country: United States | USA; cfp_url: https://www.lillyconferences-tx.com/proposals | https://www.lillyconferences.com/; guidelines_url: https://www.lillyconferences-tx.com/proposals | https://www.lillyconferences.com/; cfp_status: open-rolling | open; eligibility: Higher-education teaching-and-learning contributors; exact presenter credential rules not found | Higher-education teaching community; affiliation requested but restriction not stated; formats_and_durations: Exact 2027 session formats/durations not found in accessible page | 20- or 40-minute presentation; roundtable; digital poster; submission_requirements: 10-word title; 25-word key statement; 100-word abstract; three outcomes; two tracks; 3-5 references | Blind peer review; expected scholarly/evidence-based teaching contribution; accessibility: ADA accommodations requested in writing before registration and at least three months before event | unknown; attendance_value: Series reports 125+ colleges/universities and 30+ states per conference | AI and the Future of Evidence-Based Teaching in Higher Education; attendance_year: 2026 | 2027; verified_at: 2026-09-04T12:00:00-06:00 | 2026-09-04T23:00:00-06:00",https://www.lillyconferences-tx.com/proposals
20,1.845,community/meetup,Denver AI and Machine Learning Group,Denver/Colorado,Westminster/Denver; in person with study sessions,in-person,2026-09-13,public form/contact route,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"Any technical talk; especially Adaptive, Retrieval, Benchmarks, Parallelization, and Failure",82,80,65.6,2.38,1,Exact preferred city.,1,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,3,Public organizer/platform signal of at least 674.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,The event explicitly says to message an organizer for a lightning or future extended talk. Meetup,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://www.meetup.com/denverml/
