event_name,edition_label,cfp_status,talk_id,known_points,evidence_coverage_percent,next_check_date,next_action,series_url,edition_url
ASU+GSV Summit,ASU+GSV Summit 2027,invitation-only,skeptic-education,72,83,2026-11-01,Retain as evidenced invitation-only lead; no action until a public editorial participation route appears,https://asugsvsummit.com/,https://asugsvsummit.com/
Engineering Leaders Conference Prague,ELC Prague 2027,no-public-route-found,judgment,70,90,2026-11-01,Monitor the official site for a 2027 content route; partner pages are not speaker access.,https://www.elc-conference.io/,https://www.elc-conference.io/
LDX3 / LeadDev,LDX3 London 2027,announced-not-open,product-engineering,70,90,2026-11-01,"Monitor for the next CFP based only on a newly announced official route, not historical cadence.",https://leaddev.com/,https://leaddev.com/leaddev-london/
ProductCon,ProductCon London 2027,no-public-route-found,product-engineering,67,90,2026-11-01,Do not treat attendee or sponsorship links as speaking access; monitor for an editorial route.,https://productschool.com/productcon,https://productschool.com/productcon
ALT Annual Conference,ALT Annual Conference 2027,no-current-edition-confirmed,skeptic-education,64,83,2026-11-01,"Monitor ALT events and future call; treat year-round webinar contact as a lead only, not authorization to pitch",https://www.alt.ac.uk/events,https://www.alt.ac.uk/events
ProductCon,ProductCon London 2027,no-public-route-found,judgment,61,90,2026-11-01,Do not treat ticket or sponsorship links as speaker access; monitor only for an editorial route.,https://productschool.com/productcon,https://productschool.com/productcon
Engineering Leaders Conference Prague,ELC Prague 2027,no-public-route-found,product-engineering,59,90,2026-11-01,Monitor official site for a public 2027 content route; do not use partner channel as speaker access.,https://www.elc-conference.io/,https://www.elc-conference.io/
Open Source Summit North America,Open Source Summit North America 2027,announced-not-open,benchmarks,71,60,2026-11-15,Monitor tracks; pursue only with authentic open-source substance,https://events.linuxfoundation.org/open-source-summit-north-america/,https://events.linuxfoundation.org/open-source-summit-north-america/
STLHE Annual Conference,STLHE 2027,no-current-edition-confirmed,skeptic-education,64,83,2026-11-15,Monitor the official STLHE conference page for 2027 announcement,https://stlhe.ca/conferences/,https://stlhe.ca/conferences/
CNCF Cloud Native Thane,CNCF Cloud Native Thane next FinOps cycle,historical-fit-to-monitor,free-tier,70,55,2027-01-10,Monitor chapter listings for another FinOps theme; do not reuse expired 2025 form.,https://community.cncf.io/cloud-native-thane/,https://community.cncf.io/cloud-native-thane/
CNCF Cloud Native Montréal,CNCF Cloud Native Montréal next cost-focused cycle,historical-fit-to-monitor,free-tier,65,52,2027-01-10,Monitor chapter for a current speaker form or cost-focused event.,https://community.cncf.io/montreal/,https://community.cncf.io/montreal/
Conf42,Conf42 Observability 2027,unknown,benchmarks,82,70,2027-01-15,Verify edition-specific intake when published,https://www.conf42.com/,https://www.conf42.com/
KubeCon + CloudNativeCon North America,KubeCon + CloudNativeCon North America 2027,announced-not-open,benchmarks,75,62,2027-01-15,Monitor official page for CFP publication,https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/,https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/
KubeCon + CloudNativeCon North America,KubeCon + CloudNativeCon North America 2026,closed,free-tier,72,78,2027-01-15,Use KubeCon Europe response and program evidence to decide whether to monitor 2027 North America.,https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/,https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/
Product at Heart,Product at Heart 2027,no-public-route-found,product-engineering,70,90,2027-01-15,Monitor the 2027 theme and speaker announcement; no outreach authorized.,https://productatheart.com/conference,https://productatheart.com/conference
Berlin Buzzwords,Berlin Buzzwords next cycle,historical-fit-to-monitor,retrieval,69,66,2027-01-15,Monitor next official CFP and develop a search-heavy version with candidate-set and reranking failure evidence.,https://berlinbuzzwords.de/,https://berlinbuzzwords.de/
Haystack Conference,Haystack Europe 2026,closed,retrieval,69,88,2027-01-15,Develop an advanced search-practitioner variant centered on relevance boundaries and monitor the next CFP.,https://haystackconf.com/,https://haystackconf.com/
European Conference on Ethics and Integrity in Academia,ECEIA 2026 Batumi,closed-or-unknown,evidence-learning,68,60,2027-01-15,Monitor the canonical conference page for a future edition and public call.,https://www.academicintegrity.eu/conference/,https://www.academicintegrity.eu/conference/
OEB Global,OEB 2026,closed,skeptic-education,67,83,2027-01-15,Monitor next OEB cycle; reuse theme language only after next call is official,https://oeb.global/,https://iframe.oeb.global/conference
AI Tinkerers Calgary,AI Tinkerers Calgary next relevant meetup,historical-fit-to-monitor,retrieval,65,60,2027-01-15,Monitor for a new call; the existing 15-minute deck is format-ready but should include a concrete demo.,https://calgary.aitinkerers.org/,https://calgary.aitinkerers.org/
DevLearn Conference and Expo,DevLearn 2026,closed,skeptic-education,65,83,2027-01-15,Monitor next DevLearn call; adapt to workplace transfer and performance before any future submission,https://www.learningguild.com/devlearn,https://www.learningguild.com/devlearn
AI Tinkerers Boston,AI Tinkerers Boston next relevant meetup,historical-fit-to-monitor,retrieval,60,48,2027-01-15,Monitor chapter; never reuse the stale form as proof of availability.,https://boston.aitinkerers.org/,https://boston.aitinkerers.org/
Product at Heart,Product at Heart 2027,no-public-route-found,judgment,59,90,2027-01-15,Monitor official theme and speaker updates; no outreach is authorized.,https://productatheart.com/conference,https://productatheart.com/conference
AI Tinkerers Seattle,AI Tinkerers Seattle next relevant meetup,historical-fit-to-monitor,retrieval,48,58,2027-01-15,Build a standalone live demo only if a new event publishes a compatible call.,https://seattle.aitinkerers.org/,https://seattle.aitinkerers.org/
ISSOTL Annual Conference,ISSOTL 2026,closed,evidence-learning,54,63,2027-02-01,Monitor next cycle only if the talk gains a documented implementation or defensible conceptual literature contribution.,https://issotl.com/,https://issotl.com/issotl26/
EDUCAUSE Annual Conference,EDUCAUSE 2027 Annual Conference,no-current-cfp,skeptic-education,77,100,2027-02-15,Prepare for likely 2027 cycle but re-verify all rules and dates; do not infer from 2026,https://events.educause.edu/annual-conference,https://events.educause.edu/annual-conference
EDUCAUSE Annual Conference,EDUCAUSE Annual 2026,closed,evidence-learning,67,72,2027-02-15,Monitor the annual conference call page around the next official announcement; keep online and in-person as separate delivery choices.,https://events.educause.edu/annual-conference,https://events.educause.edu/annual-conference/2026
QCon San Francisco,QCon San Francisco 2026,invitation-only-with-spontaneous-route,retrieval,72,72,2027-03-01,Use 2026 program as saturation/fit evidence and monitor the next San Francisco cycle.,https://qconsf.com/,https://qconsf.com/
iSAQB Software Architecture Gathering,iSAQB Software Architecture Gathering 2026,closed,adaptive-systems,69,72,2027-03-01,Monitor official site for the next annual CFP; do not reuse the 2026 deadline as a forecast.,https://www.software-architecture-gathering.com/,https://www.software-architecture-gathering.com/
Agentic Engineering Days Zurich,Agentic Engineering Days Zurich 2027,announced-not-open,adaptive-systems,68,62,2027-03-01,Watch the official page for the promised 2027 CFP; use 2026 session list to avoid duplication when it opens.,https://www.agenticdays.com/,https://www.agenticdays.com/
Tokenomicon Amsterdam,Tokenomicon Amsterdam 2026,closed,free-tier,68,55,2027-03-01,Use the program as fit evidence and monitor a future Amsterdam edition.,https://www.tokenomicon.com/amsterdam,https://www.tokenomicon.com/amsterdam
POD Network Annual Conference,POD Network 2026 Annual Conference,closed,skeptic-education,66,83,2027-03-01,Monitor the 2027 annual CFP; do not use 2026 deadlines as predictions,https://podnetwork.org/annual-conference/,https://podnetwork.org/annual-conference/baltimore-2026-draft/call-for-proposals/
NDC London,NDC London 2027,closed,adaptive-systems,65,78,2027-03-01,Monitor the next NDC London cycle and other NDC regional editions; never treat this closed page as actionable.,https://ndclondon.com/,https://ndclondon.com/
POD Network Annual Conference,POD Network 2026 Annual Conference,closed,evidence-learning,58,70,2027-03-01,Use the 2026 CFP only to prepare likely fields; monitor for the next official edition rather than estimating dates.,https://podnetwork.org/annual-conference/,https://podnetwork.org/annual-conference/baltimore-2026-draft/call-for-proposals/
SREcon Americas,SREcon Americas next cycle,no-current-edition-confirmed,free-tier,57,82,2027-03-01,Monitor USENIX for the next SREcon call; develop failure-mode and capacity-control examples first.,https://www.usenix.org/srecon,https://www.usenix.org/srecon
OOP Conference,OOP 2027,closed,adaptive-systems,69,72,2027-04-01,Monitor the 2028 CFP; use 2027 track language to prepare a tightly architecture-led abstract.,https://www.oop-konferenz.de/de,https://www.oop-konferenz.de/de
Training Conference and Expo,Training 2027 Conference and Expo,closed,skeptic-education,64,83,2027-04-15,Join no list and send no outreach; recheck public 2028 call when posted,https://www.trainingconference.com/2027/,https://www.trainingconference.com/2027/
NDC London,NDC London 2027,closed,benchmarks,64,74,2027-05-01,Monitor next cycle only; do not treat historical close as a future estimate,https://ndclondon.com/,https://ndclondon.com/
NDC London,NDC London 2027,closed,retrieval,37,48,2027-05-01,Monitor next cycle; choose a 15-minute bridge or build a full 60-minute interactive version.,https://ndclondon.com/,https://ndclondon.com/
NDC London,NDC London 2027,closed,free-tier,30,45,2027-05-01,Monitor the next NDC London call and prepare either a 15-minute lightning or full 60-minute version.,https://ndclondon.com/,https://ndclondon.com/
SXSW EDU Conference and Festival,SXSW EDU 2027,closed,skeptic-education,68,83,2027-05-15,Monitor the 2028 PanelPicker cycle; begin no public asset work without authorization,https://sxswedu.com/,https://sxswedu.com/
ATD International Conference and Expo,ATD27,closed,skeptic-education,65,100,2027-06-15,Monitor the next official CFP rather than attempting a late submission,https://atdconference.td.org/,https://atdconference.td.org/
