talk_id,edition_id,recommended_variant,proposed_title,pitch_angle,fit_reason,past_session_evidence_ids,audience_rating,topic_rating,timing_rating,readiness_rating,logistics_rating,reach_rating,known_points,evidence_coverage_percent,queue,constraints,next_action,next_check_date
failure-improvement,ed-evt-agentics-day-mcp-agents-europe-agentics-day-mcp-agents-europe-2027,25-minute cut of 30-minute variant,Safe Agent Improvement: Turning Failures Into Guarded System Changes,Pitch the deterministic demonstration and promotion gates as practical AgentOps debugging infrastructure.,Purpose-built agent audience and explicit reliability/debugging interests; current deck needs only a moderate cut.,src-failure-improvement-ev-fi-agentics-past1;src-failure-improvement-ev-fi-agentics-past2,5,5,5,4,,5,88,90,1-verified-actionable,25-minute cap; likely topic competition; travel/economics unknown.,Cut the demo and intervention hierarchy to 25 minutes and submit by October 18.,2026-09-30
parallelization,ed-evt-agentics-day-mcp-agents-europe-agentics-day-mcp-agents-europe-2027,25-minute cut,Parallelize Uncertainty in Production Agent Systems,"Show six distinct fan-out patterns, selection costs and the rule that losing speculative branches must not commit side effects.","Purpose-built agent/MCP audience with production, reliability, trust and debugging themes; closest direct audience in the packet.",src-parallelization-ev-pa-agentics-past1;src-parallelization-ev-pa-agentics-past2,5,5,5,4,,4,87,90,1-verified-actionable,Twenty-five-minute cap; current outline needs a substantive cut; CFP timezone wording is internally inconsistent.,Cut the pattern tour to four patterns plus the compile-to-determinism climax and submit by October 18.,2026-09-30
benchmarks,ed-evt-agile-testing-days-agile-testing-days-2027,40-minute,Agile AI Evaluation: Failures Become Tests,Fold real-workload evals and release gates into continuous delivery,Agile testing audience fits feedback loops and regression practice,,4,4,2,5,,,56,45,research,No verified 2027 edition/CFP,Monitor official site,2026-12-01
adaptive-systems,ed-evt-agntcon-mcpcon-europe-agntcon-mcpcon-europe-2027,conference talk,Adaptive Agent Systems Need Resource and Authority Governors,Agent/MCP architecture with evidence-driven escalation,Direct agent/MCP venue announced by Linux Foundation; details forthcoming.,src-adaptive-systems-ev-lf-calendar,5,5,1,5,,4,73,58,upcoming/rolling routes to prepare for,"No CFP, format, rules, or economics published; reuse may conflict with Linux Foundation repeat rule.",Check official event page when created and evaluate against any earlier Linux Foundation appearance.,2027-02-01
adaptive-systems,ed-evt-agntcon-mcpcon-north-america-agntcon-mcpcon-north-america-2027,conference talk,Adaptive Agent Systems Need Resource and Authority Governors,Agent/MCP architecture with evidence-driven escalation,Direct agent/MCP venue announced by Linux Foundation; details forthcoming.,src-adaptive-systems-ev-lf-calendar,5,5,1,5,,4,73,58,upcoming/rolling routes to prepare for,"No CFP, format, rules, or economics published.",Check official Linux Foundation event calendar and event page for CFP publication.,2026-10-01
adaptive-systems,ed-evt-ai-agent-event-ai-agent-event-2027,technical session,Building Adaptive AI Systems Without Granting Unlimited Autonomy,"Show enterprise architects how to route across strategies while enforcing budget, authority, observability, and human escalation","CFP explicitly seeks architectures, orchestration, governance, evaluation, monitoring, cost optimization, and production lessons.",src-adaptive-systems-ev-aiae-past1;src-adaptive-systems-ev-aiae-past2,5,5,5,4,2,4,91,88,verified actionable opportunities,September 9 deadline is urgent; event is commercially adjacent but claims editorial/no-commercialism; novelty clause is unusually broad; duration unknown.,Recheck CFP status and clarify duration/novelty clause; only then prepare the existing abstract if Dan can substantiate real-world experience.,2026-09-05
benchmarks,ed-evt-ai-agent-event-ai-agent-event-2027,40-minute,"Benchmarking Agent Systems: Measure the Router, Not Just the Model","Evaluate agent strategies, tool branches, human escalations, cost, latency, and successful-task rate","Official CFP explicitly includes testing/evaluation, monitoring/optimization, performance benchmarking, and cost optimization",src-benchmarks-ev-aiae-past,5,5,5,5,3,4,98,93,submit-now,Deadline is urgent; novel-concepts clause and commercial adjacency need review; duration unknown,Recheck deadline and novelty terms immediately; build system-level agent variant,2026-09-05
retrieval,ed-evt-ai-agent-event-ai-agent-event-2027,40-minute adapted to unspecified slot,From RAGs to Retrievals: The Engineering Concepts Behind Agent Systems,"Translate retrieval, context, evals, MCP, permissions, and agent execution into production engineering concerns","The call names AI architects/developers, production-ready agents, testing/evaluation, observability, and practical deployment.",src-retrieval-src-ai-agent-cfp;src-retrieval-src-ai-agent-past,5,5,5,3,,4,88,82,verified actionable opportunities,FINALIST; September 9 deadline; real deployment experience emphasized; duration unknown; agenda contains stale 2026 dates,Inspect the form for duration and pitch the production handoffs rather than a glossary.,2026-09-05
judgment,ed-evt-ai-festival-ai-festival-2027,15-minute big-idea variant; confirm duration,Code Is Cheap. Judgment Is Expensive.,"Position review capacity, system ownership and validated outcomes as the scarce inputs to responsible AI-assisted engineering.",Large AI/business audience and open call; engineering-leadership density is uncertain.,src-judgment-ev-ju-aif-past1;src-judgment-ev-ju-aif-past2,4,4,5,4,,5,77,90,1-verified-actionable,"Language, duration and economics unknown; avoid headcount-reduction predictions or unsupported productivity claims.",Select a strategic future-of-work format and submit the 15-minute version by October 15 after verifying duration.,2026-09-25
product-engineering,ed-evt-ai-festival-ai-festival-2027,15-minute big-idea variant; confirm duration,The Future of Product Engineering: When Building Becomes the Cheap Part,Use the product-judgment thesis as a strategic vision for responsible AI integration and future work.,Large AI/business audience and open call; product engineering is adjacent rather than central.,src-product-engineering-ev-pe-aif-past1;src-product-engineering-ev-pe-aif-past2,4,4,5,4,,5,77,90,1-verified-actionable,"No production result may be claimed; language, duration and economics unknown.",Select the strategic-vision speech type and submit the 15-minute framing by October 15 after verifying duration.,2026-09-25
retrieval,ed-evt-ai-tinkerers-boston-ai-tinkerers-boston-next-relevant-meetup,15-minute adaptation,RAG Has More Than One Moving Part,Short architecture teardown for LangChain-adjacent builders,Past chapter call focused on LangChain and related frameworks.,src-retrieval-src-ai-tink-boston,4,4,1,5,,2,60,48,historical fits to monitor for a new cycle,Past proposal page explicitly closed; no current route,Monitor chapter; never reuse the stale form as proof of availability.,2027-01-15
retrieval,ed-evt-ai-tinkerers-calgary-ai-tinkerers-calgary-next-relevant-meetup,15-minute adaptation,Similarity Is One Retrieval Signal,Show a compact hybrid-retrieval failure and repair,Past program included Hierarchical Knowledge RAG and accepted 5–15-minute proposals.,src-retrieval-src-ai-tink-calgary,4,5,1,5,,2,65,60,historical fits to monitor for a new cycle,No current event/CFP; travel/economics unknown,Monitor for a new call; the existing 15-minute deck is format-ready but should include a concrete demo.,2027-01-15
retrieval,ed-evt-ai-tinkerers-seattle-ai-tinkerers-seattle-next-relevant-meetup,short live demo,Context Is Selected State,Demonstrate one retrieval/context failure and the instrumentation that exposes it,"Past call explicitly included repo context, embeddings, MCP, agents, and evals.",src-retrieval-src-ai-tink-seattle,4,5,1,1,,2,48,58,historical fits to monitor for a new cycle,"Past format was roughly two minutes, live code, one intro slide, and measured improvement; current deck does not fit",Build a standalone live demo only if a new event publishes a compatible call.,2027-01-15
judgment,ed-evt-ainext-awards-and-conference-ainext-us-2027,15-minute big-idea variant; duration unknown,Code Is Cheap. Judgment Is Expensive in the Agentic Era,"Discuss why applied-AI teams need stronger specifications, review and consequence ownership as execution accelerates.",Applied-AI operators and founders are a reasonable audience; program detail and deadline are absent.,,4,4,3,4,,3,67,90,2-upcoming-rolling,"City, deadline, format, economics and past-session evidence unknown.",Inspect the full application only after logistics preferences are known; do not infer a cutoff.,2026-10-15
product-engineering,ed-evt-ainext-awards-and-conference-ainext-us-2027,15-minute big-idea variant; duration unknown,The Future of Product Engineering in the Agentic Product Era,"Explain why product promises, evaluation and human judgment become more important as execution accelerates.",Applied-AI founders/operators are adjacent; route is public but lacks program detail.,,3,4,3,4,,3,61,90,2-upcoming-rolling,"No deadline, city, format, economics or past-session evidence.",Inspect the application portal only when logistics preferences are known; do not infer an open cutoff.,2026-10-15
evidence-learning,ed-evt-ala-annual-conference-and-exhibition-ala-annual-conference-2027,40-minute education program,From Authorship Policing to Evidence of Learning,"Academic librarians as partners in assessment redesign, source reasoning, and accessible alternatives","Open education-program CFP and library audience offer a credible route, but the pitch must make information-literacy and librarian roles central.",src-evidence-learning-src-ucf-2024-authentic;src-evidence-learning-src-lilac-cfp,3,3,5,4,2,5,70,79,verified actionable opportunities,Deadline urgent; in-person costs are presenter-paid; academic-library angle needs substantive adaptation,"Read the education-program guide and rubric, then decide whether the library-specific adaptation is strong enough to submit.",2026-09-07
skeptic-education,ed-evt-ala-annual-conference-and-exhibition-ala-annual-conference-2027,60-minute education program adapted to guide,AI Use Is Not Evidence of Learning,Help academic librarians and faculty partners evaluate AI literacy and assignment evidence,"Potential fit through academic libraries and AI literacy, but direct library practice needs a credible bridge",,3,4,5,3,2,5,71,100,verified-actionable,In-person; speaker pays registration/travel/lodging; library-specific experience not supplied,Only pursue with a genuine library/faculty partnership or concrete library-facing example before 2026-09-21,2026-09-08
skeptic-education,ed-evt-alt-annual-conference-alt-annual-conference-2027,20-minute presentation or webinar,A Skeptic's Guide to Human-Centred AI Learning,Use human capability and evidence of learning to anchor ethical digital pedagogy,ALT audience and recent human-centered digital-learning themes fit well,,5,4,1,5,,3,64,83,historical-monitor,No 2027 edition confirmed; webinar suggestions are not a formal CFP; UK travel/budget unknown,"Monitor ALT events and future call; treat year-round webinar contact as a lead only, not authorization to pitch",2026-11-01
adaptive-systems,ed-evt-aoma-adaptive-organizations-meet-architecture-aoma-2027,40-minute deep dive,Building Adaptive AI Systems Within Hard Limits,Architecture policy as a feedback loop: make resource and authority boundaries explicit while letting systems adapt,"Exact format match; CFP explicitly requests building architectures for AI, dangers/pitfalls, and adaptive decision-making.",src-adaptive-systems-ev-aoma-history;src-adaptive-systems-ev-aoma-current,5,5,5,5,4,3,96,90,verified actionable opportunities,One session per concept is actively curated; must connect system adaptation to organizational decision rights; official/LinkedIn deadline conflict.,Prepare the existing 40-minute abstract for Sessionize and verify the official deadline banner immediately before any user-authorized submission.,2026-09-11
retrieval,ed-evt-aoma-adaptive-organizations-meet-architecture-aoma-2027,40-minute including Q&A,Keep the Engineering. Check the AI Analogy.,Help architects communicate what changed and where familiar abstractions fail,"The 2027 CFP explicitly seeks architectures for AI, dangers/pitfalls, and organizational implications—not AI basics.",src-retrieval-src-aoma-cfp;src-retrieval-src-aoma-history,5,4,5,5,4,3,91,88,verified actionable opportunities,FINALIST; slot includes Q&A and favors hands-on balance; must avoid being perceived as AI basics,Pitch the talk as an architecture-boundary review and add a short audience exercise mapping one system.,2026-09-20
judgment,ed-evt-apqc-connect-apqc-connect-2027,40-minute deck adapted to interactive 45-60 minutes,"When Output Gets Cheap, Decision Quality Becomes the Constraint","Frame specification, review, validation and ownership as a process-capacity problem with observable outcomes rather than output metrics.","Process, performance and knowledge leaders are relevant; archived AI operating-model content supports the organizational angle.",src-judgment-ev-ju-apqc-past1;src-judgment-ev-ju-apqc-past2,4,4,5,3,3,3,79,100,1-verified-actionable,Organizer prefers real organizational problems and measurable effects; adaptation is substantial and synthetic examples may be insufficient.,Use the teach-a-technique route only if conceptual operating-model sessions are allowed; submit by October 12.,2026-09-20
product-engineering,ed-evt-apqc-connect-apqc-connect-2027,40-minute technical variant expanded to interactive 45-60 minutes,"Designing the Product Learning Loop: Evidence, Guardrails and Decision Memory","Recast the architecture as process/knowledge flow connecting customer signals, experiments and scoped organizational memory.","Strong process/knowledge feedback-loop fit and evidence-rich audience, but product engineering is indirect.",src-product-engineering-ev-pe-apqc-past1;src-product-engineering-ev-pe-apqc-past2,4,4,5,3,3,3,79,100,1-verified-actionable,Organizer prefers real organizational story and measurable effects; synthetic example may be insufficient; adaptation needed.,"Choose the teach-a-technique route, avoid measured-effect claims, and submit only if proposed-design sessions are allowed.",2026-09-20
adaptive-systems,ed-evt-arc-software-architecture-and-engineering-conference-arc-2027,40-minute talk,Building Adaptive AI Systems Under Real Production Constraints,"Bounded strategy selection, agent governance, uncertainty, and human override for architects operating consequential systems","The new event is explicitly built for senior architects and includes Agentic AI architecture, deployment, governance, platform, and AI infrastructure.",src-adaptive-systems-ev-arc-current,5,5,2,5,,2,75,67,upcoming/rolling routes to prepare for,"Only a speaker-interest form is evidenced; organizer history, deadline, formats, economics, and selection rules are unknown; practitioner credentials must be supplied by Dan.","Use the public form only as a lead; first verify formal selection timing, format, speaker support, and organizer track record through published information.",2026-09-18
judgment,ed-evt-arc-software-architecture-and-engineering-conference-arc-2027,40-minute technical-leadership version; duration unknown,Code Is Cheap. Judgment Is Expensive: Architecture for Review and Ownership,"Use permission boundaries, validation layers and maintenance ownership to make the organizational thesis technically concrete.","Senior architects and AI builders are direct enough, but the new event emphasizes practitioners running real systems.",,4,5,3,4,,3,72,90,2-upcoming-rolling,New event; no deadline or format; qualifying real-production example is unknown.,Keep as an incomplete lead and proceed only if the form accepts an operating-model talk without a production case.,2026-10-15
product-engineering,ed-evt-arc-software-architecture-and-engineering-conference-arc-2027,40-minute technical variant; duration unknown,Designing the Product Learning Loop for Agentic Systems,"Present inspectable records, approvals, guardrails and human accountability as software architecture.","Senior AI/architecture audience fits technical variant, but new event demands real production experience.",,3,4,3,4,,3,61,90,2-upcoming-rolling,New event; public deadline and format absent; real-system/no-recycled-slides language may exclude synthetic design.,Keep as incomplete lead and proceed only if application accepts proposed architectures without a production case.,2026-10-15
retrieval,ed-evt-arc-software-architecture-and-engineering-conference-arc-2027,40-minute talk,Keep the Engineering. Check the AI Analogy.,"A practitioner-oriented architecture map of retrieval, context, evals, and agent authority",Conference audience is exactly senior engineers/architects and emphasizes vendor-neutral production ownership.,src-retrieval-src-arc-home,5,5,3,5,,,79,62,upcoming/rolling routes to prepare for,"Apply route is visible but deadline, formats, and economics are not; practitioner evidence required",Inspect the application fields and wait for a confirmed deadline before calling it actionable.,2026-09-12
skeptic-education,ed-evt-aste-educational-technology-conference-aste-2027,40-minute talk adapted to event format,A Skeptic's Guide to AI in Alaskan Schools,"Emphasize honest local-context evaluation, student impact, and practical district decisions","Event calls for honest discussion of what works in Alaskan classrooms and has AI, student impact, administration, and college/career strands",,4,5,5,4,,3,80,83,verified-actionable,Local relevance is important; non-Alaska eligibility and Dan's K-12 experience are unknown; travel likely material,Confirm external-speaker eligibility and travel willingness before the 2026-09-30 deadline,2026-09-08
skeptic-education,ed-evt-asu-gsv-summit-asu-gsv-summit-2027,Curated talk/panel,AI Adoption Is Not a Learning Outcome,Challenge EdTech leaders to measure capability rather than usage,"Strong audience and scale, but no public general speaker CFP exists",,5,5,1,4,,5,72,83,historical-monitor,Invitation-only/curated for general program; startup route is irrelevant without eligible company; no outreach authorized,Retain as evidenced invitation-only lead; no action until a public editorial participation route appears,2026-11-01
skeptic-education,ed-evt-atd-international-conference-and-expo-atd27,Conference education session,A Skeptic's Guide to AI in Workplace Learning,Adapt capability and pilot-evaluation framework to talent development,"Workplace L&D audience is relevant, and CFP sought practical strategy, but 2027 route is closed",,4,4,0,4,4,5,65,100,historical-monitor,2027 CFP closed; unpaid; speaker covers travel/living; previous ATD speaking may matter,Monitor the next official CFP rather than attempting a late submission,2027-06-15
judgment,ed-evt-bacon-bacon-2027,30-minute adaptation; confirm duration,Code Is Cheap. Judgment Is Expensive: What Changes for Delivery Teams,"Translate the operating model into practical decisions about requirements, acceptance checks, review capacity and maintenance ownership.",Regional product/AI/technology audience welcomes practical lessons; public CFP is actionable.,,4,4,5,4,4,2,82,100,1-verified-actionable,No prior-program evidence captured; format duration incomplete; speaker-pass text names the wrong edition year.,"Verify duration and 2027 speaker benefit, then submit by October 15.",2026-09-25
product-engineering,ed-evt-bacon-bacon-2027,30-minute systems variant; confirm duration,The Future of Product Engineering: Faster Learning Without Losing the Product,Translate the loop into practical business/product/technology decision contracts and ownership.,"Regional audience explicitly spans product, AI and better outcomes; public CFP welcomes practical ideas and lessons.",,4,5,5,4,4,2,87,100,1-verified-actionable,No prior-program evidence captured; duration wording incomplete; page has a 2026/2027 benefit typo.,"Verify duration and 2027 speaker-pass wording, then submit by October 15.",2026-09-25
retrieval,ed-evt-berlin-buzzwords-berlin-buzzwords-next-cycle,45-minute future talk,RAG Is an Information Architecture,Connect search/relevance engineering to context construction and downstream probabilistic consumers,"Official call explicitly covers search, relevance engineering, AI/ML, operations, and testing.",src-retrieval-src-berlin-buzzwords-cfp;src-retrieval-src-haystack-history,5,5,1,4,,,69,66,historical fits to monitor for a new cycle,No 2027 edition confirmed; sophisticated audience requires more depth than a bridge talk,Monitor next official CFP and develop a search-heavy version with candidate-set and reranking failure evidence.,2027-01-15
free-tier,ed-evt-berlin-finops-and-cloud-cost-optimization-berlin-finops-rolling-meet,30-minute meetup talk,Building AI Products That Survive the End of the Free Tier,AI cloud-cost governance for developers and CTOs,Specialist audience and active regional history.,src-free-tier-src-finops-berlin,5,5,2,5,,2,76,58,upcoming/rolling routes to prepare for,No explicit speaker invitation or dated event; language and economics unknown,Monitor new events for a public call before using organizer message route.,2026-10-15
skeptic-education,ed-evt-bett-asia-bett-asia-2027-reserve-forward-call,30-minute session or workshop,A Skeptic's Guide to AI That Supports Learning,Evidence-informed AI evaluation for school and system leaders,Good audience and editorial fit; current form accepts reserve-list/2027 proposals,,5,5,2,4,,4,76,83,upcoming-or-rolling,No 2027 dates/deadline/location; economics and selection timing unknown,Keep as incomplete rolling lead; verify edition details before any submission,2026-10-15
skeptic-education,ed-evt-bett-uk-bett-uk-2027,30-minute session,A Skeptic's Guide to AI That Actually Supports Learning,"Offer a non-promotional evidence test for AI, assessment, feedback, workload, and human accountability","Bett asks for practical, evidence-informed, strategic sessions and specifically wants assessment, feedback, AI, workload, and student engagement",src-skeptic-education-ev-067;src-skeptic-education-ev-068,5,5,3,5,,5,82,83,upcoming-or-rolling,"First-look deadline passed; current submissions feed reserve list or 2028; headshot, bio, job title, and organization required and not supplied",Treat as reserve/2028 lead; verify speaker economics before supplying profile materials,2026-10-01
judgment,ed-evt-ces-ces-2027,15-minute big-idea variant; duration to confirm,Code Is Cheap. Judgment Is Expensive.,"Offer a concise contrarian argument: cheaper implementation raises the value of deciding what should exist, defining acceptable behavior and owning consequences.",Broad technology-leadership audience and open editorial route; strong reach but limited software-engineering concentration.,src-judgment-ev-ju-ces-past1;src-judgment-ev-ju-ces-past2,4,4,5,4,3,5,83,100,1-verified-actionable,Very short runway; selection favors visible influence; no payment or travel support; format unknown.,Submit only a tight editorial application by September 9; do not pursue sponsored placement.,2026-09-06
product-engineering,ed-evt-ces-ces-2027,15-minute big-idea variant; duration to confirm,"The Future of Product Engineering: Faster Generation, Better Decisions",Pitch a concise contrarian idea about customer trust and human accountability as product generation becomes abundant.,Broad high-reach innovation stage and open editorial route; weaker product-practitioner concentration.,src-product-engineering-ev-pe-ces-past1;src-product-engineering-ev-pe-ces-past2,4,4,5,4,3,5,83,100,1-verified-actionable,Extremely short runway; selection favors recognized influence; travel/hotel self-funded; format unknown.,Submit only a concise big-idea application by September 9; do not pursue sponsored speaking.,2026-09-06
evidence-learning,ed-evt-chea-annual-conference-chea-2027-annual-conference,40-minute adapted to 60-minute interactive concurrent,Stop Trying to Catch Students Using AI: Designing Better Evidence of Learning,"Evidence of learning, assessment validity, and human accountability as quality assurance","Direct 2027 topics include student outcomes, evidence of learning, institutional integrity, and AI in teaching and QA.",src-evidence-learning-src-chea-2026,4,5,5,4,2,4,85,83,verified actionable opportunities,FINALIST; deadline urgent; 60-minute slot needs added interaction; varied-perspective preference may favor a co-presenter; economics unknown,Prepare a noncommercial 60-minute concurrent proposal and verify whether a solo submission satisfies the varied-perspectives criterion.,2026-09-06
skeptic-education,ed-evt-chea-annual-conference-chea-2027-annual-conference,60-minute concurrent with discussion,What Counts as Learning When AI Helps?,"Tie pilot evaluation and independent transfer to academic quality, accreditation, and institutional trust","CFP explicitly names student outcomes, evidence of learning, AI, quality assurance, and institutional value",,4,5,5,3,,4,79,83,verified-actionable,Talk must be reframed for quality assurance/accreditation; one or two presenters; Dan's relevant credentials unknown,Verify Dan's quality-assurance credibility and submit the reframed proposal by 2026-09-11 if defensible,2026-09-06
adaptive-systems,ed-evt-cloud-native-ai-inference-day-europe-cloud-native-ai-inference-day-e,25-minute presentation,Budget-Aware Routing for Cloud-Native AI Systems,"Focus on model routing, inference budgets, evaluation gates, and safe strategy changes from development to production","Program names LLMs, RAG/agents, MLOps/AIOps, inference, ethics, compliance, and security.",src-adaptive-systems-ev-colocated-common;src-adaptive-systems-ev-cnai-current,5,5,5,3,2,4,89,86,verified actionable opportunities,Needs more inference/platform specificity than the base talk; 25-minute adaptation; avoid duplicate submission with main event unless rules/strategy support it.,Keep as second CNCF backup and create only if evidence from the demo can be mapped to open-source cloud-native components.,2026-09-18
retrieval,ed-evt-cloud-native-ai-inference-day-europe-cloud-native-ai-inference-day-e,25-minute adaptation,RAG Is an Information Architecture,"Separate candidate retrieval, ranking, context construction, generation, and evaluation for production teams",Event topics explicitly include RAG and AI agents and target production AI/ML.,src-retrieval-src-cnai-day;src-retrieval-src-haystack-program,5,5,5,4,3,4,90,88,verified actionable opportunities,FINALIST; 25-minute slot; must add cloud-native production evidence and avoid broad glossary framing,Adapt slides 4–10 into the core and use agent context/tool boundaries as the closing application.,2026-09-15
failure-improvement,ed-evt-cloud-native-mumbai-cloud-native-mumbai-2026-rolling-call,30-minute community variant; duration to confirm,Building Failure Feedback Loops for Cloud-Native AI Systems,Connect regression evidence and controlled promotion to SRE/platform operating practices.,Regional cloud-native audience fits SRE/platform/AI; route is open but individual future dates are unclear.,,4,4,3,4,,2,68,90,2-upcoming-rolling,Future edition/date and economics unknown; September session may already be programmed.,Monitor the rolling call for a dated session before investing in adaptation.,2026-10-15
parallelization,ed-evt-cloud-native-mumbai-cloud-native-mumbai-2026-rolling-call,30-minute community adaptation; duration to confirm,Parallel Search for Cloud-Native Agent Systems,"Connect isolated speculative work, model/tool scheduling and whole-search budgets to platform operations.","Regional cloud-native, SRE and AI/ML audience is relevant; future individual dates are unclear.",,4,4,3,4,,2,66,90,2-upcoming-rolling,"Only one near-term session date was visible; future dates, format and economics are unknown.",Monitor the rolling call for a dated session before investing in adaptation.,2026-10-15
free-tier,ed-evt-cloudfest-cloudfest-2027,30-minute executive talk,The Cost Model Is Part of the Architecture,AI cost assumptions for cloud infrastructure executives,Cloud and internet-infrastructure audience and value theme fit; reach is strong.,src-free-tier-src-cloudfest-2027,4,4,1,5,,5,63,58,upcoming/rolling routes to prepare for,No editorial CFP found; partner page offers speaking through commercial packages,Keep as invitation-only lead; exclude partner speaking from editorial shortlist.,2026-11-15
