event_id,event_name,organizer,opportunity_type,series_url,public_contact_url,audience,history_summary,history_source_ids
evt-alt-annual-conference,ALT Annual Conference,Association for Learning Technology,conference,https://www.alt.ac.uk/events,https://www.alt.ac.uk/events,"UK and international learning-technology practitioners, educators, researchers, and leaders",ALT runs two main annual conferences plus year-round webinars and workshops; annual CFP cycles are documented for 2025 and 2026.,src-skeptic-education-ev-044;src-skeptic-education-ev-045
evt-aoma-adaptive-organizations-meet-architecture,AOmA / Adaptive Organizations meet Architecture,AOmA organizing committee,conference; software-architecture conference,https://aoma-conference.com/,https://aoma-conference.com/; https://aoma-conference.com/2027/cfp/,"Software architects and organizational-design practitioners | Software architects, engineering leaders, and organizational-design practitioners","Began in 2019 as Agile meets Architecture; renamed AOmA for 2027. | Renamed from Agile meets Architecture; archives for 2022, 2023, 2025, and 2026 remain linked. | MERGE NOTES — Name aliases: Adaptive Organizations meet Architecture; Organizer variants: AOmA organizers / INNOQ",src-adaptive-systems-ev-aoma-current;src-adaptive-systems-ev-aoma-history;src-retrieval-src-aoma-cfp
evt-apqc-connect,APQC CONNECT,APQC,conference,https://www.apqcconnect.org/,https://www.apqcconnect.org/contact-us,Process; performance; knowledge; transformation and operations leaders,APQC has run practitioner conferences for more than 25 years; 2026 archive includes AI operating-model sessions.,src-judgment-ev-ju-apqc-past1;src-judgment-ev-ju-apqc-past2;src-product-engineering-ev-pe-apqc-past1;src-product-engineering-ev-pe-apqc-past2
evt-arc-software-architecture-and-engineering-conference,ARC Software Architecture & Engineering Conference,ARC,conference; practitioner architecture conference,https://futurewitharc.com/,https://futurewitharc.com/contact/; https://futurewitharc.com/,"Senior software engineers, architects, platform and AI engineers, and technology leaders | Senior software engineers; architects; AI builders; engineering leaders",First publicly evidenced edition is 2027; no prior-program history located. | New practitioner-led MENA engineering conference; no earlier edition verified. | Practitioner-led vendor-neutral event announced for 2027; no prior-edition history found. | MERGE NOTES — Organizer variants: ARC organizers,src-adaptive-systems-ev-arc-current;src-retrieval-src-arc-home
evt-aste-educational-technology-conference,ASTE Educational Technology Conference,Alaska Society for Technology in Education,regional conference,https://www.aste.org/conference/,https://www.aste.org/contact/,"Alaska K-12 teachers, technology coaches, administrators, IT and library staff, higher-ed faculty, preservice educators, and instructional-design leads",ASTE reports connecting Alaska educators since 1981; 2027 marks a 45-year history claim on the event page.,src-skeptic-education-ev-014
evt-asu-gsv-summit,ASU+GSV Summit,GSV Summit LLC in partnership with Arizona State University,conference,https://asugsvsummit.com/,https://asugsvsummit.com/faq,"PreK-to-gray education and workforce leaders, investors, entrepreneurs, policymakers, and technology companies","Annual summit founded in 2010; official site reports 7,000 delegates, 700+ speakers, and 65 countries.",src-skeptic-education-ev-042;src-skeptic-education-ev-043
evt-atd-international-conference-and-expo,ATD International Conference and Expo,Association for Talent Development,conference,https://atdconference.td.org/,https://www.td.org/international-conference-and-expo-speaking-opportunities,Global workplace talent-development and learning professionals,Large annual workplace L&D conference with an open CFP cycle; 2027 submissions closed before this run.,src-skeptic-education-ev-038;src-skeptic-education-ev-039
evt-bacon,BACon,IIBA Columbus Chapter,regional conference,https://columbusoh.iiba.org/,https://columbusoh.iiba.org/contact-us,Business analysis; product; technology; AI and transformation practitioners,Regional practitioner conference expanded beyond business analysis to product and AI.,
evt-berlin-buzzwords,Berlin Buzzwords,Plain Schwarz,search/data/infrastructure conference,https://berlinbuzzwords.de/,https://berlinbuzzwords.de/contact,"Search, relevance, data, streaming, storage, and infrastructure practitioners",Community-driven conference whose search lineage now uses topical tags rather than rigid tracks.,src-retrieval-src-berlin-buzzwords-cfp
evt-berlin-finops-and-cloud-cost-optimization,Berlin FinOps and Cloud Cost Optimization,Community organizers,community meetup,https://www.meetup.com/berlin-finops/,https://www.meetup.com/berlin-finops/,"Cost-conscious DevOps engineers, developers, CTOs, and cloud-infrastructure practitioners",Active regional group with 15 past events and recent 2026 meetings; organizer-message route exists but no formal CFP.,src-free-tier-src-finops-berlin
evt-bett-asia,Bett Asia,Hyve Group / Bett,conference and trade show,https://asia.bettshow.com/,https://asia.bettshow.com/page-en/call-for-papers,"Education leaders, educators, digital specialists, policymakers, researchers, and industry innovators in Asia",Established regional Bett event; current form is accepting reserve-list and 2027 proposals without a stated 2027 edition date.,src-skeptic-education-ev-054
evt-bett-uk,Bett UK,Hyve Group / Bett,conference and trade show,https://uk.bettshow.com/,https://uk.bettshow.com/call-for-speakers,"Teachers, school and trust leaders, FE/HE leaders, researchers, policymakers, inclusion specialists, and education-technology practitioners","Large annual international education-technology event; organizer reports 37,000+ attendees and 400+ speakers at the 2026 edition.",src-skeptic-education-ev-015;src-skeptic-education-ev-016;src-skeptic-education-ev-067;src-skeptic-education-ev-068
evt-ces,CES,Consumer Technology Association,conference and trade show,https://www.ces.tech/,https://www.ces.tech/contact-us/,Technology executives; product leaders; founders; global industry practitioners,Large annual technology event with independently selected conference speakers and separate sponsored stages.,src-judgment-ev-ju-ces-past1;src-judgment-ev-ju-ces-past2;src-product-engineering-ev-pe-ces-past1;src-product-engineering-ev-pe-ces-past2
evt-chea-annual-conference,CHEA Annual Conference,Council for Higher Education Accreditation,accreditation conference; conference,https://www.chea.org/2027-annual-conference,https://www.chea.org/chea-2027-annual-conference-call-proposals,"Higher-education leaders, accreditors, policymakers, faculty, researchers, and international colleagues | Higher-education leaders, accreditors, policymakers, faculty, researchers, and international quality-assurance colleagues",Recurring annual quality-assurance conference; 2026 CFP also sought AI and higher-education institutional-norm proposals. | Annual higher-education accreditation and quality-assurance convening. | MERGE NOTES — Series URL aliases: https://www.chea.org/2027-annual-conference | https://www.chea.org/chea-2027-annual-conference,src-evidence-learning-src-chea-cfp;src-evidence-learning-src-chea-2026;src-skeptic-education-ev-008;src-skeptic-education-ev-009
evt-cloud-native-ai-inference-day-europe,Cloud Native AI + Inference Day Europe,Cloud Native Computing Foundation / Linux Foundation,co-located conference; AI infrastructure conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cloud-native-ai-inference-day-europe/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/about/contact/,"AI/ML infrastructure, inference, MLOps, and agent practitioners | AI/ML engineers, cloud-native practitioners, and teams moving LLM and agent systems to production",Recurring CNCF co-located program; 2027 page and common CFP are live. | CNCF-hosted KubeCon Europe co-located event; official 2027 topics explicitly include RAG and AI agents.,src-adaptive-systems-ev-cnai-current;src-retrieval-src-cnai-day
evt-cloud-native-mumbai,Cloud Native Mumbai,Cloud Native Mumbai community,meetup series,https://community.cncf.io/cloud-native-mumbai/,https://sessionize.com/cloud-native-mumbai-city,Cloud-native; DevOps; SRE; platform; AI/ML practitioners,Regional CNCF-adjacent community series using a long-running Sessionize call.,
evt-cloudfest,CloudFest,WHMCS / CloudFest organizers,internet-infrastructure conference,https://www.cloudfest.com/event,https://www.cloudfest.com/event,"Cloud and internet-infrastructure executives, operators, and vendors","Recurring large commercial cloud-industry event; official page reports 10,900 participants at 2026 and 10,000+ expected scale.",src-free-tier-src-cloudfest-2027;src-free-tier-src-cloudfest-partner
evt-cncf-cloud-native-montr-al,CNCF Cloud Native Montréal,CNCF local community organizers,community meetup,https://community.cncf.io/montreal/,https://community.cncf.io/montreal/,Montréal cloud-native practitioners,Past meetup advertised an open speaker form and featured Kubernetes bill-shock content; current-cycle route needs confirmation.,src-free-tier-src-cncf-montreal
evt-cncf-cloud-native-thane,CNCF Cloud Native Thane,CNCF local community organizers,community meetup,https://community.cncf.io/cloud-native-thane/,https://community.cncf.io/cloud-native-thane/,Mumbai-area cloud-native practitioners and students,Past dedicated FinOps meetup included four cost-management sessions and a public talk-proposal form.,src-free-tier-src-cncf-thane-finops
evt-conf42,Conf42,Conf42,online conference series,https://www.conf42.com/,https://www.conf42.com/,"Global online software and infrastructure practitioners | Global online software, AI, and infrastructure practitioners",Runs recurring free online topic events; 2026 AI Agents program supplies strong topic evidence. | Recurring free online topic events with public archives.,src-adaptive-systems-ev-conf42-series;src-adaptive-systems-ev-conf42-past1;src-adaptive-systems-ev-conf42-past2;src-benchmarks-ev-conf42-series
evt-cto-craft-con-europe,CTO Craft Con Europe,CTO Craft,conference,https://conference.ctocraft.com/london/,https://ctocraft.com/contact/,CTOs; VPs Engineering; senior technology leaders | CTOs; VPs Engineering; senior technology and product-engineering leaders,European leadership conference focused on experience-led technical leadership content. | Recurring London senior technology leadership conference.,src-judgment-ev-ju-cto-past1;src-judgment-ev-ju-cto-past2;src-product-engineering-ev-pe-cto-past1;src-product-engineering-ev-pe-cto-past2
evt-data-summit,Data Summit,Information Today / Database Trends and Applications,conference,https://www.dbta.com/DataSummit/2027/,https://www.dbta.com/DataSummit/2027/ContactUs.aspx,Data engineers; architects; analytics and AI leaders,Annual Boston data-management conference with a public call for speakers.,
evt-developerweek,DeveloperWeek,DevNetwork,conference; commercial technology conference; developer conference,https://www.developerweek.com/,https://www.developerweek.com/contact/,"Developers; engineering leaders; platform and AI practitioners | Developers, architects, engineering leaders, product managers, and technical founders | Developers, architects, engineering managers, product managers, and technical founders","Large annual developer event; 2026 schedule included agent failure and feedback-loop sessions. | Recurring developer and AI engineering conference; official 2027 site claims 5,000+ annual attendees across onsite and virtual participation. | Recurring developer and AI engineering event; official site claims 5,000+ annual participants.",src-failure-improvement-ev-fi-devweek-past1;src-failure-improvement-ev-fi-devweek-past2;src-free-tier-src-developerweek-cfp;src-free-tier-src-developerweek-about;src-parallelization-ev-pa-devweek-past1;src-parallelization-ev-pa-devweek-past2;src-retrieval-src-developerweek-cfp;src-retrieval-src-developerweek-about
evt-devlearn-conference-and-expo,DevLearn Conference and Expo,The Learning Guild,conference,https://www.learningguild.com/devlearn,https://www.learningguild.com/call-for-speakers,"Workplace learning and development, instructional design, and learning-technology professionals",Large recurring Learning Guild conference focused on emerging learning technologies and real-world application.,src-skeptic-education-ev-052;src-skeptic-education-ev-053
evt-devnexus,Devnexus,Atlanta Java Users Group,community conference,https://devnexus.com/,https://devnexus.com/,"Enterprise Java developers, architects, managers, and technical leaders","Founded in 2004; official site reports 1,500+ developers, 10 tracks, and 100+ sessions.",src-adaptive-systems-ev-devnexus-series;src-adaptive-systems-ev-devnexus-past
evt-devops-pro-europe,DevOps Pro Europe,UAB DATA MINER,conference,https://devopsproeurope.eu/,https://devopsproeurope.eu/contact-us/,DevOps; SRE; platform engineering practitioners and leaders,Recurring European DevOps conference; organizer advertises international audience and multiple tracks.,
evt-devopsdays-almaty,DevOpsDays Almaty,DevOpsDays Almaty organizers,regional community conference,https://devopsdays.org/events/2026-almaty/welcome/,https://devopsdays.org/events/2026-almaty/contact/,Central Asian DevOps and IT-improvement practitioners,Global DevOpsDays speaking index listed the Almaty call as open at verification.,src-free-tier-src-dod-global-speaking
evt-devopsdays-los-angeles,DevOpsDays Los Angeles,DevOpsDays Los Angeles organizers,regional community conference,https://devopsdays.org/events/2027-los-angeles/welcome/,https://devopsdays.org/events/2027-los-angeles/contact/,"Southern California DevOps, platform, reliability, and engineering practitioners",Regional DevOpsDays chapter colocated with SCaLE; community selection favors local stories and noncommercial content. | Community chapter colocated with SCaLE; local page and global index conflict on CFP status.,src-free-tier-src-dod-la-propose;src-free-tier-src-dod-global-speaking;src-retrieval-src-dod-la;src-retrieval-src-dod-global
evt-devopsdays-raleigh,DevOpsDays Raleigh,DevOpsDays Raleigh organizers,regional community conference,https://devopsdays.org/events/2027-raleigh/welcome/,https://devopsdays.org/events/2027-raleigh/contact/,"Raleigh-area DevOps, platform, reliability, and engineering practitioners | Regional DevOps, platform, reliability, and engineering practitioners","Regional community event with talks, Ignite, and Open Space formats. | Community event with talks, Ignite, and Open Space formats; local and new voices favored.",src-free-tier-src-dod-raleigh-propose;src-free-tier-src-dod-global-speaking;src-retrieval-src-dod-raleigh
evt-devopsdays-tel-aviv,DevOpsDays Tel Aviv,DevOpsDays Tel Aviv organizers,regional community conference,https://devopsdays.org/events/2026-tel-aviv/welcome/,https://devopsdays.org/events/2026-tel-aviv/contact/,Israeli DevOps and IT-improvement practitioners,"Local page offers 30-minute, Ignite, and Open Space routes but contradicts the global open-CFP index by saying CFP TBD.",src-free-tier-src-dod-telaviv-propose;src-free-tier-src-dod-global-speaking
evt-dors-cluc,DORS/CLUC,DORS/CLUC organizers,regional open-source conference,https://2026.dorscluc.org/,mailto:info@dorscluc.org,"Open-source developers, architects, DevOps practitioners, and regional community",Recurring Croatian open-source conference; 2026 public speaker route exists but timing evidence is incomplete.,src-adaptive-systems-ev-dors-current
evt-dutch-ai-conference,Dutch AI Conference,Dawn Technology,applied-AI developer conference,https://aiconference.nl/,https://aiconference.nl/contact/,"Developers, software engineers, architects, and AI/product practitioners","Inaugural 2026 edition received 489 proposals; program included RAG, vector search, and MCP sessions.",src-retrieval-src-dutch-ai-cfp;src-retrieval-src-dutch-ai-rag;src-retrieval-src-dutch-ai-vector
evt-dx-annual,DX Annual,DX,invitation-only conference,https://getdx.com/dxannual/,mailto:dxannual@getdx.com,CTOs; VPs; heads of engineering; developer-productivity leaders,Inaugural 2026 San Francisco event; expands to San Francisco and London in 2027.,src-judgment-ev-ju-dx-past1;src-judgment-ev-ju-dx-past2;src-product-engineering-ev-pe-dx-past1;src-product-engineering-ev-pe-dx-past2
evt-educause-annual-conference,EDUCAUSE Annual Conference,EDUCAUSE,higher-education technology conference; conference,https://events.educause.edu/annual-conference,https://events.educause.edu/annual-conference/call-for-proposals,"Higher-education technology leaders and teaching-and-learning professionals | Higher-education IT, teaching-and-learning, student-success, and technology-provider communities","Recurring flagship; 2026 CFP closed, with separate in-person and online delivery choices. | Large annual conference; official calendar confirms future editions through 2028 and beyond.",src-evidence-learning-src-educause-2026;src-skeptic-education-ev-032;src-skeptic-education-ev-033;src-skeptic-education-ev-077;src-skeptic-education-ev-078
evt-elearning-africa,eLearning Africa,ICWE GmbH with host government partners,conference and exhibition,https://www.elearning-africa.com/conference2027/,https://proposals.elearning-africa.com/,"African and international education, government, training, skills, and digital-learning professionals","Established in 2005; official history lists annual host cities and 24,000 participants from 100+ countries over 20 years.",src-skeptic-education-ev-028;src-skeptic-education-ev-029;src-skeptic-education-ev-075;src-skeptic-education-ev-076
evt-engineering-leaders-conference-prague,Engineering Leaders Conference Prague,Engineering Leaders Community,regional conference,https://www.elc-conference.io/,https://www.elc-conference.io/contact,Engineering and product leaders in Central Europe,Established Central European leadership community; 2027 conference announced with 500+ attendee projection.,src-judgment-ev-ju-elc-past1;src-judgment-ev-ju-elc-past2;src-product-engineering-ev-pe-elc-past1;src-product-engineering-ev-pe-elc-past2
evt-enrio-congress,ENRIO Congress,European Network of Research Integrity Offices,research-integrity congress,https://www.enrio.eu/enrio-congress/enrio2027/,https://www.enrio.eu/enrio-congress/enrio2027/,"Research-integrity officers, trainers, policymakers, researchers, and funders",Recurring European research-integrity congress; 2027 edition announced without a public speaker route.,src-evidence-learning-src-enrio-2027
evt-european-chatbot-and-agentic-ai-summit,European Chatbot & Agentic AI Summit,European Chatbot Summit organizers,AI practitioner summit,https://theeuropeanchatbot.com/,https://theeuropeanchatbot.com/contact/,"Conversational-AI and agentic-AI builders, researchers, founders, and enterprise practitioners",Seventh edition in 2027; prior speaker program and recordings are listed by the organizer.,src-retrieval-src-eu-chatbot-cfp;src-retrieval-src-eu-chatbot-home
evt-european-conference-on-ethics-and-integrity-in-academia,European Conference on Ethics and Integrity in Academia,European Network for Academic Integrity,academic-integrity conference,https://www.academicintegrity.eu/conference/,https://www.academicintegrity.eu/conference/,European and international academic-integrity educators and researchers,Recurring European conference; 2026 edition is within the horizon but no current open CFP was found.,src-evidence-learning-src-enai-2026;src-evidence-learning-src-enai-series
evt-eurostar-software-testing-conference,EuroSTAR Software Testing Conference,EuroSTAR Conferences,conference,https://conference.eurostarsoftwaretesting.com/,https://conference.eurostarsoftwaretesting.com/contact/,"Software testers, quality engineers, test leaders, and engineering managers | Software testers; quality engineers; test leaders",Thirty-year international testing conference; official program archive is available. | Long-running European testing conference with yearly public programs.,src-benchmarks-ev-eurostar-current;src-failure-improvement-ev-fi-euro-past1;src-failure-improvement-ev-fi-euro-past2;src-parallelization-ev-pa-euro-past1;src-parallelization-ev-pa-euro-past2
evt-experts-live-uk,Experts Live UK,Experts Live UK,community conference,https://expertslive.co.uk/,https://expertslive.co.uk/contact/,"Microsoft cloud, data, security, Copilot, and agent practitioners",2026 had about 50 practitioner speakers; 2027 speaker timeline is announced but provisional.,src-adaptive-systems-ev-eluk-current
evt-expo-qa,expo:QA,NEXO QA,conference,https://expoqa.com/,https://expoqa.com/contact/,Software testing and quality-engineering practitioners and leaders | QA; testing; automation; quality engineering practitioners,"Official site reports 22 years, 931 speakers, and 955 sessions. | Annual Spanish quality conference; 2026 archive shows AI automation and observability sessions. | MERGE NOTES — Name aliases: EXPOQA",src-benchmarks-ev-expoqa-current;src-failure-improvement-ev-fi-expo-past1;src-failure-improvement-ev-fi-expo-past2;src-parallelization-ev-pa-expo-past1;src-parallelization-ev-pa-expo-past2
evt-finops-chicago,FinOPS Chicago,Community organizer,community meetup,https://www.meetup.com/finops-chicago/,https://www.meetup.com/finops-chicago/,"Cloud, SaaS, AI, and financial-operations practitioners",Small nascent group whose only listed prior event focused on FinOps for SaaS and business value.,src-free-tier-src-finops-chicago
evt-finops-connect,FinOps Connect,Community organizers,community meetup,https://www.meetup.com/finops-connect/,https://www.meetup.com/finops-connect/,"FinOps practitioners interested in cloud funding, optimization, and adoption","Small international community running in-person and virtual meetups; prior program included the AI shift in building, running, and funding cloud.",src-free-tier-src-finops-connect
evt-finops-foundation-virtual-summit,FinOps Foundation Virtual Summit,FinOps Foundation,virtual summit,https://www.finops.org/events/,https://www.finops.org/contact/,Global FinOps practitioners and technology-spend leaders,Foundation runs virtual programming; a paid membership tier includes a virtual-summit presentation and therefore is not an editorial CFP.,src-free-tier-src-finops-paid-placement
evt-finops-x-greenops-france,FinOps x GreenOps France,Community organizers,community meetup,https://www.meetup.com/fr-fr/meetup-cloud-finops-paris/,https://www.meetup.com/fr-fr/meetup-cloud-finops-paris/,"French-speaking FinOps and GreenOps practitioners, vendors, associations, and consultants","Active Paris community with 1,400+ members, 26 prior events, and an explicit invitation for speakers to contact organizers.",src-free-tier-src-finops-paris
evt-florida-online-innovation-summit,Florida Online Innovation Summit,University of Central Florida Digital Learning Innovation Lab,regional conference,https://digitallearning.ucf.edu/ilab/innovation-summit/,mailto:iLab@ucf.edu,"Online administrators, faculty, instructional designers, researchers, technologists, and training professionals in higher education",Annual one-day summit with public programs archived from 2020 through 2026; proposals are not limited to Florida institutions.,src-skeptic-education-ev-021;src-skeptic-education-ev-022;src-skeptic-education-ev-073;src-skeptic-education-ev-074
evt-fort-wayne-teaching-and-learning-conference,Fort Wayne Teaching and Learning Conference,Purdue University Fort Wayne,regional university conference,https://www.pfw.edu/faculty-support/teaching-and-learning-conference,https://www.pfw.edu/faculty-support/teaching-and-learning-conference,"Faculty, staff, and higher-education educators",Recurring conference; official page says the 2027 CFP will open in October.,src-evidence-learning-src-pfw-2027
evt-global-ai-community-seattle,Global AI Community Seattle,Global AI Community Seattle volunteers,meetup series,https://globalai.community/chapters/seattle/,https://sessionize.com/global-ai-community-seattle/,AI developers; data and platform engineers; local practitioners,Volunteer-run recurring Seattle/Bellevue community series with a rolling Sessionize route.,
evt-great-international-developer-summit,Great International Developer Summit,Saltmarch Media,conference; developer and architecture conference,https://developersummit.com/,https://developersummit.com/contact; https://developersummit.com/contact-us,"Software engineers, architects, tech leads, platform/data practitioners, and engineering leaders | Software engineers, architects, tech leads, platform, data, and AI practitioners | Software developers; architects; platform and engineering leaders | Software engineers; architects; product engineers; engineering leaders | Software engineers, architects, tech leads, platform and data practitioners, and engineering leaders","2027 is the 20th edition; official site says 150+ curated sessions. | 2027 is advertised as the twentieth edition. | 2027 is advertised as the twentieth edition; prior programs include AI-assisted testing and architecture. | 2027 is advertised as the twentieth edition; program stresses real engineering decisions and tradeoffs. | 2027 is the twentieth edition; official site describes 150+ curated sessions across architecture, AI, data, testing, reliability, and leadership.",src-adaptive-systems-ev-gids-current;src-adaptive-systems-ev-gids-past1;src-adaptive-systems-ev-gids-past2;src-benchmarks-ev-gids;src-failure-improvement-ev-fi-gids-past1;src-failure-improvement-ev-fi-gids-past2;src-judgment-ev-ju-gids-past1;src-judgment-ev-ju-gids-past2;src-parallelization-ev-pa-gids-past1;src-parallelization-ev-pa-gids-past2;src-product-engineering-ev-pe-gids-past1;src-product-engineering-ev-pe-gids-past2;src-retrieval-src-gids-home;src-retrieval-src-gids-cfp
evt-haystack-conference,Haystack Conference,OpenSource Connections,search practitioner conference,https://haystackconf.com/,https://haystackconf.com/,"Search, relevance, information-retrieval, and AI engineers",Long-running search practitioner conference with extensive session and slide archives; 2026 program is unusually saturated with RAG and retrieval content.,src-retrieval-src-haystack-program;src-retrieval-src-haystack-history
