talk_id,source_event_id,consolidated_event_id,event_name,organizer,series_url
adaptive-systems,evt-agntcon-na,evt-agntcon-mcpcon-north-america,AGNTCon + MCPCon North America,The Linux Foundation,https://events.linuxfoundation.org/about/calendar/
adaptive-systems,evt-ai-agent-event,evt-ai-agent-event,AI Agent Event,TMC,https://www.aiagentevent.com/east/
benchmarks,evt-ai-agent-event,evt-ai-agent-event,AI Agent Event,TMC,https://www.aiagentevent.com/east/
retrieval,ev-ai-agent-event,evt-ai-agent-event,AI Agent Event,TMC,https://www.aiagentevent.com/east/
judgment,evt-ju-aifestival,evt-ai-festival,AI Festival,Search On Media Group / WMF,https://en.aifestival.it/
product-engineering,evt-pe-aifestival,evt-ai-festival,AI Festival,Search On Media Group / WMF,https://en.aifestival.it/
judgment,evt-ju-ainext,evt-ainext-awards-and-conference,AINext Awards & Conference,Next Business Media,https://ainextconference.com/
product-engineering,evt-pe-ainext,evt-ainext-awards-and-conference,AINext Awards & Conference,Next Business Media,https://ainextconference.com/
retrieval,ev-ai-tink-boston,evt-ai-tinkerers-boston,AI Tinkerers Boston,AI Tinkerers Boston,https://boston.aitinkerers.org/
retrieval,ev-ai-tink-calgary,evt-ai-tinkerers-calgary,AI Tinkerers Calgary,AI Tinkerers Calgary,https://calgary.aitinkerers.org/
retrieval,ev-ai-tink-seattle,evt-ai-tinkerers-seattle,AI Tinkerers Seattle,AI Tinkerers Seattle,https://seattle.aitinkerers.org/
evidence-learning,ev-ala,evt-ala-annual-conference-and-exhibition,ALA Annual Conference & Exhibition,American Library Association,https://2027.alaannual.org/
skeptic-education,evt-ala-annual,evt-ala-annual-conference-and-exhibition,ALA Annual Conference and Exhibition,American Library Association,https://www.ala.org/conferencesevents/
skeptic-education,evt-altc,evt-alt-annual-conference,ALT Annual Conference,Association for Learning Technology,https://www.alt.ac.uk/events
adaptive-systems,evt-aoma,evt-aoma-adaptive-organizations-meet-architecture,AOmA / Adaptive Organizations meet Architecture,AOmA organizing committee,https://aoma-conference.com/
retrieval,ev-aoma,evt-aoma-adaptive-organizations-meet-architecture,Adaptive Organizations meet Architecture,AOmA organizers / INNOQ,https://aoma-conference.com/
judgment,evt-ju-apqc,evt-apqc-connect,APQC CONNECT,APQC,https://www.apqcconnect.org/
product-engineering,evt-pe-apqc,evt-apqc-connect,APQC CONNECT,APQC,https://www.apqcconnect.org/
adaptive-systems,evt-arc,evt-arc-software-architecture-and-engineering-conference,ARC Software Architecture & Engineering Conference,ARC,https://futurewitharc.com/
judgment,evt-ju-arc,evt-arc-software-architecture-and-engineering-conference,ARC Software Architecture & Engineering Conference,ARC,https://futurewitharc.com/
product-engineering,evt-pe-arc,evt-arc-software-architecture-and-engineering-conference,ARC Software Architecture & Engineering Conference,ARC,https://futurewitharc.com/
retrieval,ev-arc,evt-arc-software-architecture-and-engineering-conference,ARC Software Architecture & Engineering Conference,ARC organizers,https://futurewitharc.com/
skeptic-education,evt-aste,evt-aste-educational-technology-conference,ASTE Educational Technology Conference,Alaska Society for Technology in Education,https://www.aste.org/conference/
skeptic-education,evt-asugsv,evt-asu-gsv-summit,ASU+GSV Summit,GSV Summit LLC in partnership with Arizona State University,https://asugsvsummit.com/
skeptic-education,evt-atd-ice,evt-atd-international-conference-and-expo,ATD International Conference and Expo,Association for Talent Development,https://atdconference.td.org/
judgment,evt-ju-bacon,evt-bacon,BACon,IIBA Columbus Chapter,https://columbusoh.iiba.org/
product-engineering,evt-pe-bacon,evt-bacon,BACon,IIBA Columbus Chapter,https://columbusoh.iiba.org/
retrieval,ev-berlin-buzzwords,evt-berlin-buzzwords,Berlin Buzzwords,Plain Schwarz,https://berlinbuzzwords.de/
free-tier,ev-finops-berlin,evt-berlin-finops-and-cloud-cost-optimization,Berlin FinOps and Cloud Cost Optimization,Community organizers,https://www.meetup.com/berlin-finops/
skeptic-education,evt-bett-asia,evt-bett-asia,Bett Asia,Hyve Group / Bett,https://asia.bettshow.com/
skeptic-education,evt-bett-uk,evt-bett-uk,Bett UK,Hyve Group / Bett,https://uk.bettshow.com/
judgment,evt-ju-ces,evt-ces,CES,Consumer Technology Association,https://www.ces.tech/
product-engineering,evt-pe-ces,evt-ces,CES,Consumer Technology Association,https://www.ces.tech/
evidence-learning,ev-chea,evt-chea-annual-conference,CHEA Annual Conference,Council for Higher Education Accreditation,https://www.chea.org/2027-annual-conference
skeptic-education,evt-chea-annual,evt-chea-annual-conference,CHEA Annual Conference,Council for Higher Education Accreditation,https://www.chea.org/chea-2027-annual-conference
free-tier,ev-cloudfest,evt-cloudfest,CloudFest,WHMCS / CloudFest organizers,https://www.cloudfest.com/event
adaptive-systems,evt-cnai-eu,evt-cloud-native-ai-inference-day-europe,Cloud Native AI + Inference Day Europe,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cloud-native-ai-inference-day-europe/
retrieval,ev-cnai-day,evt-cloud-native-ai-inference-day-europe,Cloud Native AI + Inference Day Europe,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cloud-native-ai-inference-day-europe/
failure-improvement,evt-fi-cn-mumbai,evt-cloud-native-mumbai,Cloud Native Mumbai,Cloud Native Mumbai community,https://community.cncf.io/cloud-native-mumbai/
parallelization,evt-pa-cn-mumbai,evt-cloud-native-mumbai,Cloud Native Mumbai,Cloud Native Mumbai community,https://community.cncf.io/cloud-native-mumbai/
free-tier,ev-cncf-montreal,evt-cncf-cloud-native-montr-al,CNCF Cloud Native Montréal,CNCF local community organizers,https://community.cncf.io/montreal/
free-tier,ev-cncf-thane,evt-cncf-cloud-native-thane,CNCF Cloud Native Thane,CNCF local community organizers,https://community.cncf.io/cloud-native-thane/
adaptive-systems,evt-conf42,evt-conf42,Conf42,Conf42,https://www.conf42.com/
benchmarks,evt-conf42,evt-conf42,Conf42,Conf42,https://www.conf42.com/
failure-improvement,evt-fi-ctocraft,evt-cto-craft-con-europe,CTO Craft Con Europe,CTO Craft,https://conference.ctocraft.com/london/
judgment,evt-ju-ctocraft,evt-cto-craft-con-europe,CTO Craft Con Europe,CTO Craft,https://conference.ctocraft.com/london/
parallelization,evt-pa-ctocraft,evt-cto-craft-con-europe,CTO Craft Con Europe,CTO Craft,https://conference.ctocraft.com/london/
product-engineering,evt-pe-ctocraft,evt-cto-craft-con-europe,CTO Craft Con Europe,CTO Craft,https://conference.ctocraft.com/london/
failure-improvement,evt-fi-data-summit,evt-data-summit,Data Summit,Information Today / Database Trends and Applications,https://www.dbta.com/DataSummit/2027/
parallelization,evt-pa-data-summit,evt-data-summit,Data Summit,Information Today / Database Trends and Applications,https://www.dbta.com/DataSummit/2027/
failure-improvement,evt-fi-developerweek,evt-developerweek,DeveloperWeek,DevNetwork,https://www.developerweek.com/
free-tier,ev-developerweek,evt-developerweek,DeveloperWeek,DevNetwork,https://www.developerweek.com/
parallelization,evt-pa-developerweek,evt-developerweek,DeveloperWeek,DevNetwork,https://www.developerweek.com/
retrieval,ev-developerweek,evt-developerweek,DeveloperWeek,DevNetwork,https://www.developerweek.com/
skeptic-education,evt-devlearn,evt-devlearn-conference-and-expo,DevLearn Conference and Expo,The Learning Guild,https://www.learningguild.com/devlearn
adaptive-systems,evt-devnexus,evt-devnexus,Devnexus,Atlanta Java Users Group,https://devnexus.com/
free-tier,ev-devopsdays-almaty,evt-devopsdays-almaty,DevOpsDays Almaty,DevOpsDays Almaty organizers,https://devopsdays.org/events/2026-almaty/welcome/
free-tier,ev-devopsdays-la,evt-devopsdays-los-angeles,DevOpsDays Los Angeles,DevOpsDays Los Angeles organizers,https://devopsdays.org/events/2027-los-angeles/welcome/
retrieval,ev-dod-la,evt-devopsdays-los-angeles,DevOpsDays Los Angeles,DevOpsDays Los Angeles organizers,https://devopsdays.org/events/2027-los-angeles/welcome/
free-tier,ev-devopsdays-raleigh,evt-devopsdays-raleigh,DevOpsDays Raleigh,DevOpsDays Raleigh organizers,https://devopsdays.org/events/2027-raleigh/welcome/
retrieval,ev-dod-raleigh,evt-devopsdays-raleigh,DevOpsDays Raleigh,DevOpsDays Raleigh organizers,https://devopsdays.org/events/2027-raleigh/welcome/
free-tier,ev-devopsdays-telaviv,evt-devopsdays-tel-aviv,DevOpsDays Tel Aviv,DevOpsDays Tel Aviv organizers,https://devopsdays.org/events/2026-tel-aviv/welcome/
failure-improvement,evt-fi-devopspro,evt-devops-pro-europe,DevOps Pro Europe,UAB DATA MINER,https://devopsproeurope.eu/
parallelization,evt-pa-devopspro,evt-devops-pro-europe,DevOps Pro Europe,UAB DATA MINER,https://devopsproeurope.eu/
adaptive-systems,evt-dorscluc,evt-dors-cluc,DORS/CLUC,DORS/CLUC organizers,https://2026.dorscluc.org/
retrieval,ev-dutch-ai,evt-dutch-ai-conference,Dutch AI Conference,Dawn Technology,https://aiconference.nl/
judgment,evt-ju-dxannual,evt-dx-annual,DX Annual,DX,https://getdx.com/dxannual/
product-engineering,evt-pe-dxannual,evt-dx-annual,DX Annual,DX,https://getdx.com/dxannual/
evidence-learning,ev-educause,evt-educause-annual-conference,EDUCAUSE Annual Conference,EDUCAUSE,https://events.educause.edu/annual-conference
skeptic-education,evt-educause-annual,evt-educause-annual-conference,EDUCAUSE Annual Conference,EDUCAUSE,https://events.educause.edu/annual-conference
skeptic-education,evt-elearning-africa,evt-elearning-africa,eLearning Africa,ICWE GmbH with host government partners,https://www.elearning-africa.com/conference2027/
judgment,evt-ju-elc,evt-engineering-leaders-conference-prague,Engineering Leaders Conference Prague,Engineering Leaders Community,https://www.elc-conference.io/
product-engineering,evt-pe-elc,evt-engineering-leaders-conference-prague,Engineering Leaders Conference Prague,Engineering Leaders Community,https://www.elc-conference.io/
evidence-learning,ev-enrio,evt-enrio-congress,ENRIO Congress,European Network of Research Integrity Offices,https://www.enrio.eu/enrio-congress/enrio2027/
retrieval,ev-eu-chatbot,evt-european-chatbot-and-agentic-ai-summit,European Chatbot & Agentic AI Summit,European Chatbot Summit organizers,https://theeuropeanchatbot.com/
evidence-learning,ev-enai,evt-european-conference-on-ethics-and-integrity-in-academia,European Conference on Ethics and Integrity in Academia,European Network for Academic Integrity,https://www.academicintegrity.eu/conference/
benchmarks,evt-eurostar,evt-eurostar-software-testing-conference,EuroSTAR Software Testing Conference,EuroSTAR Conferences,https://conference.eurostarsoftwaretesting.com/
failure-improvement,evt-fi-eurostar,evt-eurostar-software-testing-conference,EuroSTAR Software Testing Conference,EuroSTAR Conferences,https://conference.eurostarsoftwaretesting.com/
parallelization,evt-pa-eurostar,evt-eurostar-software-testing-conference,EuroSTAR Software Testing Conference,EuroSTAR Conferences,https://conference.eurostarsoftwaretesting.com/
adaptive-systems,evt-experts-live-uk,evt-experts-live-uk,Experts Live UK,Experts Live UK,https://expertslive.co.uk/
benchmarks,evt-expoqa,evt-expo-qa,EXPOQA,NEXO QA,https://expoqa.com/
failure-improvement,evt-fi-expoqa,evt-expo-qa,expo:QA,NEXO QA,https://expoqa.com/
parallelization,evt-pa-expoqa,evt-expo-qa,expo:QA,NEXO QA,https://expoqa.com/
free-tier,ev-finops-chicago,evt-finops-chicago,FinOPS Chicago,Community organizer,https://www.meetup.com/finops-chicago/
free-tier,ev-finops-connect,evt-finops-connect,FinOps Connect,Community organizers,https://www.meetup.com/finops-connect/
free-tier,ev-finops-virtual,evt-finops-foundation-virtual-summit,FinOps Foundation Virtual Summit,FinOps Foundation,https://www.finops.org/events/
free-tier,ev-finops-paris,evt-finops-x-greenops-france,FinOps x GreenOps France,Community organizers,https://www.meetup.com/fr-fr/meetup-cloud-finops-paris/
skeptic-education,evt-fl-innovation,evt-florida-online-innovation-summit,Florida Online Innovation Summit,University of Central Florida Digital Learning Innovation Lab,https://digitallearning.ucf.edu/ilab/innovation-summit/
evidence-learning,ev-pfw-tlc,evt-fort-wayne-teaching-and-learning-conference,Fort Wayne Teaching and Learning Conference,Purdue University Fort Wayne,https://www.pfw.edu/faculty-support/teaching-and-learning-conference
failure-improvement,evt-fi-gaic-seattle,evt-global-ai-community-seattle,Global AI Community Seattle,Global AI Community Seattle volunteers,https://globalai.community/chapters/seattle/
parallelization,evt-pa-gaic-seattle,evt-global-ai-community-seattle,Global AI Community Seattle,Global AI Community Seattle volunteers,https://globalai.community/chapters/seattle/
adaptive-systems,evt-gids,evt-great-international-developer-summit,Great International Developer Summit,Saltmarch Media,https://developersummit.com/
benchmarks,evt-gids,evt-great-international-developer-summit,Great International Developer Summit,Saltmarch Media,https://developersummit.com/
failure-improvement,evt-fi-gids,evt-great-international-developer-summit,Great International Developer Summit,Saltmarch Media,https://developersummit.com/
judgment,evt-ju-gids,evt-great-international-developer-summit,Great International Developer Summit,Saltmarch Media,https://developersummit.com/
parallelization,evt-pa-gids,evt-great-international-developer-summit,Great International Developer Summit,Saltmarch Media,https://developersummit.com/
product-engineering,evt-pe-gids,evt-great-international-developer-summit,Great International Developer Summit,Saltmarch Media,https://developersummit.com/
retrieval,ev-gids,evt-great-international-developer-summit,Great International Developer Summit,Saltmarch Media,https://developersummit.com/
retrieval,ev-haystack,evt-haystack-conference,Haystack Conference,OpenSource Connections,https://haystackconf.com/
evidence-learning,ev-herdsa,evt-herdsa-annual-conference,HERDSA Annual Conference,Higher Education Research and Development Society of Australasia,https://conference.herdsa.org.au/2027/
skeptic-education,evt-herdsa,evt-herdsa-annual-conference,HERDSA Annual Conference,Higher Education Research and Development Society of Australasia,https://herdsa.org.au/conference
skeptic-education,evt-hi-ai,evt-hi-ai,Hi AI!,Learning Technology Center of Illinois,https://www.ltcillinois.org/hiai/
evidence-learning,ev-hec,evt-honolulu-education-conference,Honolulu Education Conference,International Education for Sustainable Development Alliance,https://intesda.org/education-conference/
skeptic-education,evt-hec-honolulu,evt-honolulu-education-conference,Honolulu Education Conference,International Education for Sustainable Development Alliance,https://intesda.org/education-conference/
evidence-learning,ev-icai,evt-icai-annual-conference,ICAI Annual Conference,International Center for Academic Integrity,https://academicintegrity.org/aws/ICAI/pt/sp/conference_home_page
evidence-learning,ev-ieee-educon,evt-ieee-global-engineering-education-conference-educon,IEEE Global Engineering Education Conference (EDUCON),IEEE Education Society,https://educon-conference.org/current/
adaptive-systems,evt-icsa,evt-ieee-international-conference-on-software-architecture,IEEE International Conference on Software Architecture,IEEE Computer Society / ICSA steering community,https://icsa-conferences.org/
failure-improvement,evt-fi-idi,evt-incontro-devops-italia,Incontro DevOps Italia,GrUSP,https://www.incontrodevops.it/
parallelization,evt-pa-idi,evt-incontro-devops-italia,Incontro DevOps Italia,GrUSP,https://www.incontrodevops.it/
evidence-learning,ev-inqaahe,evt-inqaahe-biennial-conference,INQAAHE Biennial Conference,International Network for Quality Assurance Agencies in Higher Education,https://inqaahe2027-doha.org/
evidence-learning,ev-icaied,evt-international-conference-on-ai-in-education-2027,International Conference on AI in Education 2027,ICAIED,https://www.icaied.org/
skeptic-education,evt-icaied,evt-international-conference-on-ai-in-education-2027,International Conference on AI in Education,ICAIED,https://www.icaied.org/
skeptic-education,evt-learner-conference,evt-international-conference-on-learning,International Conference on Learning,The Learner Research Network,https://thelearner.com/2027-conference
adaptive-systems,evt-sag,evt-isaqb-software-architecture-gathering,iSAQB Software Architecture Gathering,iSAQB with heise conferences,https://www.software-architecture-gathering.com/
evidence-learning,ev-isls,evt-isls-annual-meeting-icls-and-cscl,ISLS Annual Meeting / ICLS and CSCL,International Society of the Learning Sciences,https://2027.isls.org/
evidence-learning,ev-issotl,evt-issotl-annual-conference,ISSOTL Annual Conference,International Society for the Scholarship of Teaching and Learning,https://issotl.com/
skeptic-education,evt-iste-live,evt-istelive,ISTELive,International Society for Transforming Education,https://conference.iste.org/
adaptive-systems,evt-javaland,evt-javaland,JavaLand,JavaLand GmbH / iJUG,https://www.javaland.eu/en/home/
judgment,evt-ju-kmweu,evt-kmworld-europe,KMWorld Europe,Information Today,https://www.kmworld.com/Europe/2027/
product-engineering,evt-pe-kmweu,evt-kmworld-europe,KMWorld Europe,Information Today,https://www.kmworld.com/Europe/2027/
adaptive-systems,evt-kccnc-eu,evt-kubecon-cloudnativecon-europe,KubeCon + CloudNativeCon Europe,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/
benchmarks,evt-kccnc-eu,evt-kubecon-cloudnativecon-europe,KubeCon + CloudNativeCon Europe,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/
failure-improvement,evt-fi-kubecon-eu,evt-kubecon-cloudnativecon-europe,KubeCon + CloudNativeCon Europe,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/
free-tier,ev-kubecon-eu,evt-kubecon-cloudnativecon-europe,KubeCon + CloudNativeCon Europe,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/
parallelization,evt-pa-kubecon-eu,evt-kubecon-cloudnativecon-europe,KubeCon + CloudNativeCon Europe,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/
retrieval,ev-kubecon-eu,evt-kubecon-cloudnativecon-europe,KubeCon + CloudNativeCon Europe,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/
adaptive-systems,evt-kccnc-na,evt-kubecon-cloudnativecon-north-america,KubeCon + CloudNativeCon North America,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/
benchmarks,evt-kccnc-na,evt-kubecon-cloudnativecon-north-america,KubeCon + CloudNativeCon North America,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/
free-tier,ev-kubecon-na,evt-kubecon-cloudnativecon-north-america,KubeCon + CloudNativeCon North America,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/
judgment,evt-ju-leaddev,evt-ldx3-leaddev,LDX3 / LeadDev,LeadDev,https://leaddev.com/
product-engineering,evt-pe-leaddev,evt-ldx3-leaddev,LDX3 / LeadDev,LeadDev,https://leaddev.com/
retrieval,ev-leaddev-london,evt-ldx3-london-leaddev,LDX3 London / LeadDev,LeadDev,https://leaddev.com/
evidence-learning,ev-lilac,evt-lilac,LILAC,Information Literacy Group of CILIP,https://www.lilacconference.com/
evidence-learning,ev-lilly-austin,evt-lilly-conference-austin,Lilly Conference Austin,International Teaching Learning Cooperative,https://www.lillyconferences.com/
skeptic-education,evt-lilly-austin,evt-lilly-conference-austin,Lilly Conference Austin,International Teaching Learning Cooperative,https://www.lillyconferences.com/
evidence-learning,ev-lilly-sd,evt-lilly-conference-san-diego,Lilly Conference San Diego,International Teaching Learning Cooperative,https://www.lillyconferences.com/
skeptic-education,evt-lilly-san-diego,evt-lilly-conference-san-diego,Lilly Conference San Diego,International Teaching Learning Cooperative,https://www.lillyconferences.com/
benchmarks,evt-live2test,evt-live2test,Live2Test,Live2Test,https://live2test.com/
adaptive-systems,evt-mlops-community,evt-mlops-community,MLOps Community,MLOps Community,https://mlops.community/
benchmarks,evt-mlops-community,evt-mlops-community,MLOps Community,MLOps Community,https://mlops.community/
retrieval,ev-mlops-community,evt-mlops-community-meetups,MLOps Community Meetups,MLOps Community,https://mlops.community/meetups
retrieval,ev-naacl,evt-naacl-conference,NAACL Conference,Association for Computational Linguistics,https://2027.naacl.org/
adaptive-systems,evt-ndc-london,evt-ndc-london,NDC London,NDC Conferences UK Ltd,https://ndclondon.com/
benchmarks,evt-ndc-london,evt-ndc-london,NDC London,NDC Conferences UK Ltd,https://ndclondon.com/
free-tier,ev-ndc-london,evt-ndc-london,NDC London,NDC Conferences,https://ndclondon.com/
retrieval,ev-ndc-london,evt-ndc-london,NDC London,NDC Conferences,https://ndclondon.com/
evidence-learning,ev-nercomp,evt-nercomp-annual-conference,NERCOMP Annual Conference,NERCOMP in partnership with EDUCAUSE,https://events.educause.edu/nercomp-annual-conference/2027
skeptic-education,evt-nercomp,evt-nercomp-annual-conference,NERCOMP Annual Conference,NERCOMP in partnership with EDUCAUSE,https://events.educause.edu/nercomp-annual-conference/2027
benchmarks,evt-obsday-eu,evt-observability-day-europe,Observability Day Europe,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/observability-day/
skeptic-education,evt-oeb,evt-oeb-global,OEB Global,ICWE GmbH,https://oeb.global/
skeptic-education,evt-osu-learning-design,evt-ohio-state-learning-design-day,Ohio State Learning Design Day,Ohio State University Center on Education and Training for Employment,https://cete.osu.edu/ohio-state-learning-design-day-call-for-proposals/
evidence-learning,ev-osu-ldd,evt-ohio-state-learning-design-day-fresh-ideas,Ohio State Learning Design Day: Fresh Ideas,Ohio State University Center on Education and Training for Employment,https://cete.osu.edu/ohio-state-learning-design-day/
evidence-learning,ev-olc-innovate,evt-olc-innovate,OLC Innovate,Online Learning Consortium and MERLOT,https://onlinelearningconsortium.org/conferences/olc-innovate2027/
skeptic-education,evt-olc-innovate,evt-olc-innovate,OLC Innovate,Online Learning Consortium and MERLOT,https://onlinelearningconsortium.org/conferences/olc-innovate2027/
adaptive-systems,evt-oop,evt-oop-conference,OOP Conference,heise conferences / SIGS DATACOM,https://www.oop-konferenz.de/de
adaptive-systems,evt-oss-na,evt-open-source-summit-north-america,Open Source Summit North America,The Linux Foundation,https://events.linuxfoundation.org/open-source-summit-north-america/
benchmarks,evt-oss-na,evt-open-source-summit-north-america,Open Source Summit North America,The Linux Foundation,https://events.linuxfoundation.org/open-source-summit-north-america/
judgment,evt-ju-optimizers,evt-optimizers-conference,Optimizers Conference,Test & Learn Community,https://optimizersconference.com/
product-engineering,evt-pe-optimizers,evt-optimizers-conference,Optimizers Conference,Test & Learn Community,https://optimizersconference.com/
free-tier,ev-platformcon,evt-platformcon,PlatformCon,Humanitec / Platform Engineering community,https://platformcon.com/
failure-improvement,evt-fi-platformcon-sf,evt-platformcon-live-day-san-francisco,PlatformCon Live Day San Francisco,Platform Engineering,https://sanfrancisco.platformcon.com/
free-tier,ev-platformcon-sf,evt-platformcon-live-day-san-francisco,PlatformCon Live Day San Francisco,Platform Engineering community,https://sanfrancisco.platformcon.com/
parallelization,evt-pa-platformcon-sf,evt-platformcon-live-day-san-francisco,PlatformCon Live Day San Francisco,Platform Engineering,https://sanfrancisco.platformcon.com/
retrieval,ev-platformcon-sf,evt-platformcon-live-day-san-francisco,PlatformCon Live Day San Francisco,Platform Engineering community,https://sanfrancisco.platformcon.com/
adaptive-systems,evt-platform-day-eu,evt-platform-engineering-day-europe,Platform Engineering Day Europe,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/platform-engineering-day/
retrieval,ev-platform-day,evt-platform-engineering-day-europe,Platform Engineering Day Europe,Cloud Native Computing Foundation / Linux Foundation,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/platform-engineering-day/
evidence-learning,ev-pod,evt-pod-network-annual-conference,POD Network Annual Conference,Professional and Organizational Development Network in Higher Education,https://podnetwork.org/annual-conference/
skeptic-education,evt-pod,evt-pod-network-annual-conference,POD Network Annual Conference,Professional and Organizational Development Network in Higher Education,https://podnetwork.org/annual-conference/
judgment,evt-ju-possible,evt-possible,POSSIBLE,Hyve Group,https://possibleevent.com/
product-engineering,evt-pe-possible,evt-possible,POSSIBLE,Hyve Group,https://possibleevent.com/
judgment,evt-ju-productatheart,evt-product-at-heart,Product at Heart,Product at Heart,https://productatheart.com/conference
product-engineering,evt-pe-productatheart,evt-product-at-heart,Product at Heart,Product at Heart,https://productatheart.com/conference
judgment,evt-ju-productcon,evt-productcon,ProductCon,Product School,https://productschool.com/productcon
product-engineering,evt-pe-productcon,evt-productcon,ProductCon,Product School,https://productschool.com/productcon
judgment,evt-ju-pls,evt-product-led-summit,Product-Led Summit,Product-Led Alliance,https://world.productledalliance.com/
product-engineering,evt-pe-pls,evt-product-led-summit,Product-Led Summit,Product-Led Alliance,https://world.productledalliance.com/
judgment,evt-ju-producttank,evt-producttank,ProductTank,Mind the Product,https://www.mindtheproduct.com/producttank/
product-engineering,evt-pe-producttank,evt-producttank,ProductTank,Mind the Product,https://www.mindtheproduct.com/producttank/
judgment,evt-ju-productworld,evt-productworld,ProductWorld,DevNetwork,https://productworld.co/
product-engineering,evt-pe-productworld,evt-productworld,ProductWorld,DevNetwork,https://productworld.co/
failure-improvement,evt-fi-pydata-venice,evt-pydata-venice,PyData Venice,PyData Venice community,https://www.meetup.com/pydata-venice/
parallelization,evt-pa-pydata-venice,evt-pydata-venice,PyData Venice,PyData Venice community,https://www.meetup.com/pydata-venice/
benchmarks,evt-qcon-london,evt-qcon-london,QCon London,InfoQ / C4Media,https://qconlondon.com/
retrieval,ev-qcon-london,evt-qcon-london,QCon London,C4Media / InfoQ,https://qconlondon.com/
retrieval,ev-qcon-sf,evt-qcon-san-francisco,QCon San Francisco,C4Media / InfoQ,https://qconsf.com/
benchmarks,evt-qualityland,evt-quality-land,Quality Land,Lithuanian Software Testing Qualifications Board,https://qualityland.lt/
failure-improvement,evt-fi-qualityland,evt-quality-land,Quality Land,LTSTQB,https://qualityland.lt/
