event_id,event_name,organizer,opportunity_type,series_url,public_contact_url,audience,history_summary,history_source_ids
evt-ai-agent-event,AI Agent Event,TMC,commercial conference with editorial CFP,https://www.aiagentevent.com/east/,https://www.aiagentevent.com/east/contact.aspx,"Enterprise AI leaders, architects, developers, systems integrators, and buyers","2026 program remains visible while the 2027 CFP and edition are live.",ev-aiae-current;ev-aiae-past1;ev-aiae-past2
evt-thinkai,Think!AI Summit,Pittsburgh Technology Council,regional industry summit,https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers,https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers,"AI practitioners, enterprise leaders, technologists, and regional innovation community","Official page describes 2027 as the 13th year.",ev-thinkai-current
evt-experts-live-uk,Experts Live UK,Experts Live UK,community conference,https://expertslive.co.uk/,https://expertslive.co.uk/contact/,"Microsoft cloud, data, security, Copilot, and agent practitioners","2026 had about 50 practitioner speakers; 2027 speaker timeline is announced but provisional.",ev-eluk-current
evt-conf42,Conf42,Conf42,online conference series,https://www.conf42.com/,https://www.conf42.com/,"Global online software and infrastructure practitioners","Runs recurring free online topic events; 2026 AI Agents program supplies strong topic evidence.",ev-conf42-series;ev-conf42-past1;ev-conf42-past2
evt-ndc-london,NDC London,NDC Conferences UK Ltd,conference,https://ndclondon.com/,https://ndclondon.com/call-for-papers,"Software developers and architects across AI, agents, architecture, cloud, platform, and languages","Recurring member of the NDC worldwide conference series.",ev-ndc-current
evt-oop,OOP Conference,heise conferences / SIGS DATACOM,conference,https://www.oop-konferenz.de/de,https://www.oop-konferenz.de/de/kontakt,"Experienced software architects, technical leaders, and developers","Annual German software-architecture conference; 2027 is described as its 35th year.",ev-oop-current
evt-sag,iSAQB Software Architecture Gathering,iSAQB with heise conferences,conference,https://www.software-architecture-gathering.com/,mailto:conference@isaqb.org,"Software architects from early career through senior leadership","Recurring international software architecture gathering; 2026 CFP explicitly included Architecture in the Age of AI.",ev-sag-current
evt-devnexus,Devnexus,Atlanta Java Users Group,community conference,https://devnexus.com/,https://devnexus.com/,"Enterprise Java developers, architects, managers, and technical leaders","Founded in 2004; official site reports 1,500+ developers, 10 tracks, and 100+ sessions.",ev-devnexus-series;ev-devnexus-past
evt-agenticdays,Agentic Engineering Days Zurich,Agentic Engineering Days,regional conference,https://www.agenticdays.com/,https://www.agenticdays.com/,"Engineers building with AI coding tools and building agent platforms/products","2026 inaugural/current program has 38+ sessions selected from 344 submissions; site promises a 2027 CFP.",ev-aed-current
evt-kccnc-na,KubeCon + CloudNativeCon North America,Cloud Native Computing Foundation / Linux Foundation,conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/,https://events.linuxfoundation.org/about/contact/,"Cloud-native developers, architects, platform engineers, and technical leaders","2027 edition is on the official Linux Foundation event calendar; details are forthcoming.",ev-lf-calendar
evt-agntcon-na,AGNTCon + MCPCon North America,The Linux Foundation,conference,https://events.linuxfoundation.org/about/calendar/,https://events.linuxfoundation.org/about/contact/,"Agent and MCP builders and infrastructure practitioners","2027 edition is announced on the official calendar; CFP details not yet published.",ev-lf-calendar
evt-agntcon-eu,AGNTCon + MCPCon Europe,The Linux Foundation,conference,https://events.linuxfoundation.org/about/calendar/,https://events.linuxfoundation.org/about/contact/,"Agent and MCP builders and infrastructure practitioners","2027 edition is announced on the official calendar; CFP details not yet published.",ev-lf-calendar
evt-oss-na,Open Source Summit North America,The Linux Foundation,conference,https://events.linuxfoundation.org/open-source-summit-north-america/,https://events.linuxfoundation.org/about/contact/,"Open-source developers, maintainers, architects, and technical leaders","Recurring Linux Foundation conference; 2027 edition is announced and CFP details are forthcoming.",ev-lf-calendar
evt-mlops-community,MLOps Community,MLOps Community,community meetup/webinar/podcast route,https://mlops.community/,https://mlops.community/,"Global MLOps and production-AI practitioners","Community states 90,000+ members and runs in-person events, virtual tech talks, and practitioner podcasts; no standing public speaker intake verified.",ev-mlops-series;ev-mlops-ended
evt-softwarearch-vienna,Softwarearchitektur Wien,Community organizers,local meetup,https://www.meetup.com/de-de/softwarearchitektur-wien/,https://www.meetup.com/de-de/softwarearchitektur-wien/,"Local software architecture practitioners in Vienna","Active local meetup with multi-speaker architecture sessions; no public CFP route verified.",ev-vienna-current
evt-dorscluc,DORS/CLUC,DORS/CLUC organizers,regional open-source conference,https://2026.dorscluc.org/,mailto:info@dorscluc.org,"Open-source developers, architects, DevOps practitioners, and regional community","Recurring Croatian open-source conference; 2026 public speaker route exists but timing evidence is incomplete.",ev-dors-current
