edition_id,event_id,edition_label,edition_url,start_date,end_date,date_status,city,country,mode,language,cfp_url,guidelines_url,cfp_status,eligibility,formats_and_durations,submission_requirements,compensation,travel_support,speaker_costs,recording_rights,accessibility,attendance_value,attendance_year,verified_at,source_ids,unknowns
ed-srecon-2027,ev-srecon,SREcon27 Americas,https://www.usenix.org/conference/srecon27americas,2027-04-12,2027-04-14,exact,Seattle,USA,in-person,English,https://www.usenix.org/conference/srecon27americas/call-for-participation,https://www.usenix.org/conference/srecon27americas/call-for-participation,open,"International and new speakers welcome; presenter must submit own proposal and attest content is primarily human-written","15+5 Q&A; 35+10 Q&A; lightning CFP later","Two-phase submission; technical guidance and applied experience favored",unknown,unknown,unknown,unknown,unknown,"Open-access archive in prior cycles",2027,2026-09-04T12:00:00-06:00,src-srecon27-cfp;src-srecon26-agents;src-srecon26-language,"Speaker registration, travel/honorarium, rights, accessibility, and sufficient SRE connection"
ed-dutch-ai-2027,ev-dutch-ai,Dutch AI Conference 2027,https://aiconference.nl/,2027-03-16,2027-03-18,official-conflict,Amsterdam,Netherlands,in-person,English,https://aiconference.nl/meet-the-speakers/call-for-presentations/,https://aiconference.nl/meet-the-speakers/call-for-presentations/,open,"Inclusive public call; blind abstracts; multiple submissions encouraged",unknown,"Concise anonymous abstract; original practical no-nonsense content favored",unknown,"Travel to Amsterdam and hotel covered; one night for nonlocal Netherlands speakers, two for international speakers, three for workshop speakers","Conference entry included",unknown,unknown,"About 500 attendees expected; 25–30 speaking slots",2027,2026-09-04T12:00:00-06:00,src-dutch-ai-cfp;src-dutch-ai-rag;src-dutch-ai-vector,"Page headline/footer say March 16–18 while a highlight says workshop March 10–11 and main conference March 12; format duration, rights, accessibility"
ed-arc-2027,ev-arc,ARC 2027,https://futurewitharc.com/,2027-01-12,2027-01-14,exact,Abu Dhabi,UAE,in-person,English,https://futurewitharc.com/,https://futurewitharc.com/,open,"Every speaker described as a practitioner; peer review and real-system ownership emphasized",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-arc-home,"Application deadline, formats, economics, rights, accessibility, and Dan's practitioner evidence"
ed-dod-raleigh-2027,ev-dod-raleigh,DevOpsDays Raleigh 2027,https://devopsdays.org/events/2027-raleigh/welcome/,2027-04-27,2027-04-28,exact,Raleigh,USA,in-person,English,https://devopsdays.org/events/2027-raleigh/propose/,https://devopsdays.org/events/2027-raleigh/propose/,open,"Direct speaker involvement; local and underrepresented voices favored; no vendor pitches","30-minute talk; 5-minute Ignite; Open Space","Google Form; original content preferred",unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-dod-raleigh,"Official notification date precedes deadline and is unusable; economics, rights, accessibility, travel"
ed-dod-la-2027,ev-dod-la,DevOpsDays Los Angeles 2027,https://devopsdays.org/events/2027-los-angeles/welcome/,2027-04-02,2027-04-02,exact,Pasadena,USA,in-person,English,https://devopsdays.org/events/2027-los-angeles/propose/,https://devopsdays.org/events/2027-los-angeles/propose/,conflicting-official-pages,"Direct speaker involvement; local stories favored; no vendor pitches","30–40-minute talk; 10-minute lightning; Open Space","SCaLE submission route",unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-dod-la;src-dod-global,"Local page says CFP TBD while global index labels open and gives 2026-11-01 deadline; economics and rights unknown"
ed-voxxed-lux-2027,ev-voxxed-lux,Voxxed Days Luxembourg 2027,https://luxembourg.voxxeddays.com/en/,2027-06-21,2027-06-22,exact,Luxembourg,Luxembourg,in-person,English,https://luxembourg.voxxeddays.com/en/,https://luxembourg.voxxeddays.com/en/,announced-not-open,unknown,unknown,"CFP announced for early November through December 2026",unknown,unknown,unknown,unknown,unknown,"70+ talks",2027,2026-09-04T12:00:00-06:00,src-voxxed-lux,"Exact open/close dates, format, economics, rights, accessibility, travel"
ed-qcon-london-2027,ev-qcon-london,QCon London 2027,https://qconlondon.com/,2027-04-13,2027-04-16,exact,London,UK,in-person,English,https://qconferences.com/third-party-social-media,https://qconlondon.com/faq/apr2025,invitation-only-with-spontaneous-route,"Usually direct invitation; spontaneous submission form exists; production practitioner evidence strongly favored",unknown,unknown,unknown,"Organizer says travel/accommodation budget is offered to all speakers",unknown,unknown,https://qconlondon.com/qcon-cares,"75+ handpicked practitioners; one speaker per 11 attendees claimed",2027,2026-09-04T12:00:00-06:00,src-qcon-london;src-qcon-selection,"Spontaneous form fields/status, format, honorarium, rights, and Dan's production credentials"
ed-qcon-sf-2026,ev-qcon-sf,QCon San Francisco 2026,https://qconsf.com/,2026-11-16,2026-11-20,exact,San Francisco,USA,in-person,English,https://qconferences.com/third-party-social-media,https://qconferences.com/third-party-social-media,invitation-only-with-spontaneous-route,"Usually direct invitation; spontaneous submission route exists",unknown,unknown,unknown,unknown,unknown,unknown,unknown,"80+ confirmed speakers claimed",2026,2026-09-04T12:00:00-06:00,src-qcon-sf;src-qcon-selection,"Program appears effectively complete; form status, speaker economics, rights, and travel"
ed-haystack-2026,ev-haystack,Haystack Europe 2026,https://haystackconf.com/,2026-09-15,2026-09-16,exact,Berlin,Germany,in-person,English,https://haystackconf.com/,https://haystackconf.com/,closed,unknown,"45-minute talks visible in program",unknown,unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-haystack-program;src-haystack-history,"Current CFP unavailable/closed; future edition, economics, rights, accessibility"
ed-berlin-buzzwords-monitor,ev-berlin-buzzwords,Berlin Buzzwords next cycle,https://berlinbuzzwords.de/,,,,Berlin,Germany,in-person,English,https://2026.berlinbuzzwords.de/call-for-papers/,https://2026.berlinbuzzwords.de/call-for-papers/,historical-fit-to-monitor,unknown,"Prior cycle included talks and 45-minute panels","Detailed description and audience learning; community review",unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-berlin-buzzwords-cfp,"2027 edition and CFP not confirmed; all dates/economics unknown"
ed-ndc-london-2027,ev-ndc-london,NDC London 2027,https://ndclondon.com/,2027-01-25,2027-01-29,exact,London,UK,in-person,English,https://ndclondon.com/call-for-papers,https://ndclondon.com/call-for-papers,closed,"Public CFP; limit portfolio to 3–4 strongest talks","60-minute regular; 10–15-minute lightning; 60–120-minute workshop; two-day preconference","Previous speaking links requested when available",unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-ndc-london-cfp,"Closed before run date; future cycle and economics unknown"
ed-leaddev-london-2027,ev-leaddev-london,LDX3 London 2027,https://leaddev.com/,2027-06-28,2027-06-29,exact,London,UK,in-person,English,,,announced-not-open,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-leaddev-home;src-leaddev-past,"No current CFP found; formats, economics, rights, accessibility, and exact venue unknown"
ed-mlops-rolling,ev-mlops-community,MLOps Community local meetup route,https://mlops.community/meetups,,,rolling,Worldwide,,hybrid,English,https://mlops.community/meetups,https://mlops.community/meetups,rolling,"Local chapter selection applies",unknown,"Local organizer route; no universal CFP/deadline",unknown,unknown,unknown,unknown,unknown,"70,000+ global community claimed",2026,2026-09-04T12:00:00-06:00,src-mlops-meetups,"Specific chapter/date, format, economics, language, and whether bridge-level talk fits local depth"
ed-ai-tink-seattle-monitor,ev-ai-tink-seattle,AI Tinkerers Seattle next relevant meetup,https://seattle.aitinkerers.org/,,,historical-cycle,Seattle,USA,in-person,English,https://seattle.aitinkerers.org/,https://seattle.aitinkerers.org/,historical-fit-to-monitor,"Technical builders; past call demanded code/demo and a measured improvement","Past developer-tool event: roughly 2-minute demo plus Q&A",unknown,unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-ai-tink-seattle,"No current event; existing 15-minute talk is too long and too slide-based"
ed-ai-tink-calgary-monitor,ev-ai-tink-calgary,AI Tinkerers Calgary next relevant meetup,https://calgary.aitinkerers.org/,,,historical-cycle,Calgary,Canada,in-person,English,https://calgary.aitinkerers.org/,https://calgary.aitinkerers.org/,historical-fit-to-monitor,Technical builders,"Past call: 5–15-minute talks, demos, or workshops",,unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-ai-tink-calgary,"No current event/CFP; economics and travel unknown"
ed-ai-tink-boston-monitor,ev-ai-tink-boston,AI Tinkerers Boston next relevant meetup,https://boston.aitinkerers.org/,,,historical-cycle,Boston,USA,in-person,English,https://boston.aitinkerers.org/,https://boston.aitinkerers.org/,historical-fit-to-monitor,"Technical builders using LangChain and related systems",,,,,,,,,,2026-09-04T12:00:00-06:00,src-ai-tink-boston,"Past form is explicitly closed; no current event, format, economics, or travel details"
ed-trec-2026,ev-trec,TREC 2026,https://trec.nist.gov/,2026-11-16,2026-11-18,exact,Gaithersburg,USA,in-person,English,https://trec.nist.gov/cfp.html,https://trec.nist.gov/cfp.html,open-research-participation,"Organization must register and participate in evaluation tracks; results subject to dissemination agreement","Participants present results in poster session; some selected for plenary talks","Run track experiments and report results; not an ordinary speaker CFP",unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-trec-home;src-trec-cfp,"Anticipated timeline is TBA; Dan's organization, research capacity, travel, and conference registration"
ed-naacl-2027,ev-naacl,NAACL 2027,https://2027.naacl.org/,,,,,USA,in-person,English,https://2027.naacl.org/calls/main_conference_papers/,https://2027.naacl.org/calls/main_conference_papers/,open-research-paper-route,"Requires peer-reviewed original research paper and commitment through ARR",unknown,"Paper submission, revision, review, and commitment workflow",unknown,unknown,unknown,unknown,unknown,unknown,,2026-09-04T12:00:00-06:00,src-naacl-cfp,"Event dates/location and economics not captured; existing talk is not a research paper"
