event_id,event_name,organizer,opportunity_type,series_url,public_contact_url,audience,history_summary,history_source_ids
ev-platformcon-sf,PlatformCon Live Day San Francisco,Platform Engineering community,regional platform-engineering conference,https://sanfrancisco.platformcon.com/,https://sanfrancisco.platformcon.com/,"Platform engineers and teams building agentic development platforms","Two-day 2027 regional program covering platform foundations and agentic platforms; page exposes a CFP navigation route but extracted deadline unavailable.",src-platformcon-sf
ev-saastr,SaaStr AI Annual,SaaStr,B2B SaaS founder conference,https://www.saastrannual.com/,https://www.saastrannual.com/speaker-submission,"B2B SaaS founders, executives, product leaders, and investors","Long-running SaaS operator event; official 2027 page advertises 10,000+ attendees and an apply-to-speak route.",src-saastr-2027;src-saastr-speaker
ev-saastock-eu,SaaStock Europe / AI Growth Summit,Founderpath,AI and SaaS founder conference,https://saastock.com/,https://saastock.com/,"AI-native B2B software founders and operators","SaaStock was acquired by Founderpath and is rebranding as AI Growth Summit; official archive lists ten years, 17 events, 693 speakers, and 635 recordings.",src-saastock-speakers;src-saastock-home
ev-saastock-us,SaaStock USA / AI Growth Summit,Founderpath,AI and SaaS founder conference,https://saastock.com/,https://saastock.com/,"AI-native B2B software founders and operators","US flagship announced for San Francisco in 2027 after acquisition and rebrand; current public editorial speaker application not found.",src-saastock-speakers;src-saastock-home
ev-cloudfest,CloudFest,WHMCS / CloudFest organizers,internet-infrastructure conference,https://www.cloudfest.com/event,https://www.cloudfest.com/event,"Cloud and internet-infrastructure executives, operators, and vendors","Recurring large commercial cloud-industry event; official page reports 10,900 participants at 2026 and 10,000+ expected scale.",src-cloudfest-2027;src-cloudfest-partner
ev-srecon,SREcon Americas,USENIX,systems-reliability conference,https://www.usenix.org/srecon,https://www.usenix.org/conferences/contact,"SREs, systems engineers, platform teams, and operators of large-scale distributed systems","Recurring USENIX conference with open-access recordings; 2026 CFP welcomed AI and platform engineering and required technical depth.",src-srecon26-cfp;src-srecon26-home
ev-kubecon-na,KubeCon + CloudNativeCon North America,Cloud Native Computing Foundation / Linux Foundation,open-source conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/,https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/about/contact/,"Cloud-native adopters, developers, architects, and technical leaders","Recurring CNCF flagship; 2026 call and event remain useful current-cycle evidence but CFP is closed.",src-kubecon-na-cfp;src-kubecon-na-faq
ev-ndc-london,NDC London,NDC Conferences,developer conference,https://ndclondon.com/,https://ndclondon.com/call-for-papers,"Software developers, architects, and technical leaders","Recurring multi-track developer conference; 2027 call included AI, cloud, architecture, platform engineering, and SRE.",src-ndc-london-cfp
ev-finops-paris,FinOps x GreenOps France,Community organizers,community meetup,https://www.meetup.com/fr-fr/meetup-cloud-finops-paris/,https://www.meetup.com/fr-fr/meetup-cloud-finops-paris/,"French-speaking FinOps and GreenOps practitioners, vendors, associations, and consultants","Active Paris community with 1,400+ members, 26 prior events, and an explicit invitation for speakers to contact organizers.",src-finops-paris
ev-finops-berlin,Berlin FinOps and Cloud Cost Optimization,Community organizers,community meetup,https://www.meetup.com/berlin-finops/,https://www.meetup.com/berlin-finops/,"Cost-conscious DevOps engineers, developers, CTOs, and cloud-infrastructure practitioners","Active regional group with 15 past events and recent 2026 meetings; organizer-message route exists but no formal CFP.",src-finops-berlin
ev-finops-connect,FinOps Connect,Community organizers,community meetup,https://www.meetup.com/finops-connect/,https://www.meetup.com/finops-connect/,"FinOps practitioners interested in cloud funding, optimization, and adoption","Small international community running in-person and virtual meetups; prior program included the AI shift in building, running, and funding cloud.",src-finops-connect
ev-finops-chicago,FinOPS Chicago,Community organizer,community meetup,https://www.meetup.com/finops-chicago/,https://www.meetup.com/finops-chicago/,"Cloud, SaaS, AI, and financial-operations practitioners","Small nascent group whose only listed prior event focused on FinOps for SaaS and business value.",src-finops-chicago
ev-cncf-thane,CNCF Cloud Native Thane,CNCF local community organizers,community meetup,https://community.cncf.io/cloud-native-thane/,https://community.cncf.io/cloud-native-thane/,"Mumbai-area cloud-native practitioners and students","Past dedicated FinOps meetup included four cost-management sessions and a public talk-proposal form.",src-cncf-thane-finops
ev-cncf-montreal,CNCF Cloud Native Montréal,CNCF local community organizers,community meetup,https://community.cncf.io/montreal/,https://community.cncf.io/montreal/,"Montréal cloud-native practitioners","Past meetup advertised an open speaker form and featured Kubernetes bill-shock content; current-cycle route needs confirmation.",src-cncf-montreal
ev-finops-virtual,FinOps Foundation Virtual Summit,FinOps Foundation,virtual summit,https://www.finops.org/events/,https://www.finops.org/contact/,"Global FinOps practitioners and technology-spend leaders","Foundation runs virtual programming; a paid membership tier includes a virtual-summit presentation and therefore is not an editorial CFP.",src-finops-paid-placement
